place_id,installed,install_date,locked,terminal_name,temporary,removal_date,common_name
BikePoints_85,true,1279026060000,false,000994,false,,"Tanner Street, Bermondsey"
BikePoints_86,true,1279027140000,false,003434,false,,"Sancroft Street, Vauxhall"
BikePoints_87,true,1279027680000,false,003438,false,,"Devonshire Square, Liverpool Street"
BikePoints_88,true,1279028280000,false,001006,false,,"Bayley Street , Bloomsbury"
BikePoints_89,true,1279029360000,false,003439,false,,"Tavistock Place, Bloomsbury"
BikePoints_90,true,1279030020000,false,001038,false,,"Harrington Square 1, Camden Town"
BikePoints_91,true,1279036740000,false,001076,false,,"Walnut Tree Walk, Vauxhall"
BikePoints_92,true,1279037040000,false,001082,false,,"Borough Road, Elephant & Castle"
BikePoints_93,true,1279037760000,false,002586,false,,"Cloudesley Road, Angel"
BikePoints_94,true,1279038420000,false,001070,false,,"Bricklayers Arms, Borough"
BikePoints_95,true,1279096560000,false,001065,false,,"Aldersgate Street, Barbican"
BikePoints_96,true,1279096980000,false,001047,false,,"Falkirk Street, Hoxton"
BikePoints_97,true,1279097580000,false,003447,false,,"Gloucester Road (North), Kensington"
BikePoints_98,true,1279099080000,false,000972,false,,"Hampstead Road, Euston"
BikePoints_99,true,1279099680000,false,001085,false,,"Old Quebec Street, Marylebone"
BikePoints_100,true,1279099860000,false,001059,false,,"Albert Embankment, Vauxhall"
BikePoints_101,true,1279102680000,false,000999,false,,"Queen Street 1, Bank"
BikePoints_102,true,1279102860000,false,001045,false,,"Jewry Street, Aldgate"
BikePoints_103,true,1279103520000,false,003441,false,,"Vicarage Gate, Kensington"
BikePoints_104,true,1279103760000,false,000991,false,,"Crosswall, Tower"
BikePoints_105,true,1279105320000,false,001041,false,,"Westbourne Grove, Bayswater"
BikePoints_106,true,1279106880000,false,001042,false,,"Woodstock Street, Mayfair"
BikePoints_107,true,1279107480000,false,001049,false,,"Finsbury Leisure Centre, St. Luke's"
BikePoints_108,true,1279107720000,false,003429,false,,"Abbey Orchard Street, Westminster"
BikePoints_109,true,1279108320000,false,001052,false,,"Soho Square , Soho"
BikePoints_111,true,1279109160000,false,001037,false,,"Park Lane , Hyde Park"
