temporary,terminal_name,common_name,locked,place_id,install_date,installed,removal_date
false,000994,"Tanner Street, Bermondsey",false,BikePoints_85,1279026060000,true,
false,003434,"Sancroft Street, Vauxhall",false,BikePoints_86,1279027140000,true,
false,003438,"Devonshire Square, Liverpool Street",false,BikePoints_87,1279027680000,true,
false,001006,"Bayley Street , Bloomsbury",false,BikePoints_88,1279028280000,true,
false,003439,"Tavistock Place, Bloomsbury",false,BikePoints_89,1279029360000,true,
false,001038,"Harrington Square 1, Camden Town",false,BikePoints_90,1279030020000,true,
false,001076,"Walnut Tree Walk, Vauxhall",false,BikePoints_91,1279036740000,true,
false,001082,"Borough Road, Elephant & Castle",false,BikePoints_92,1279037040000,true,
false,002586,"Cloudesley Road, Angel",false,BikePoints_93,1279037760000,true,
false,001070,"Bricklayers Arms, Borough",false,BikePoints_94,1279038420000,true,
false,001065,"Aldersgate Street, Barbican",false,BikePoints_95,1279096560000,true,
false,001047,"Falkirk Street, Hoxton",false,BikePoints_96,1279096980000,true,
false,003447,"Gloucester Road (North), Kensington",false,BikePoints_97,1279097580000,true,
false,000972,"Hampstead Road, Euston",false,BikePoints_98,1279099080000,true,
false,001085,"Old Quebec Street, Marylebone",false,BikePoints_99,1279099680000,true,
false,001059,"Albert Embankment, Vauxhall",false,BikePoints_100,1279099860000,true,
false,000999,"Queen Street 1, Bank",false,BikePoints_101,1279102680000,true,
false,001045,"Jewry Street, Aldgate",false,BikePoints_102,1279102860000,true,
false,003441,"Vicarage Gate, Kensington",false,BikePoints_103,1279103520000,true,
false,000991,"Crosswall, Tower",false,BikePoints_104,1279103760000,true,
false,001041,"Westbourne Grove, Bayswater",false,BikePoints_105,1279105320000,true,
false,001042,"Woodstock Street, Mayfair",false,BikePoints_106,1279106880000,true,
false,001049,"Finsbury Leisure Centre, St. Luke's",false,BikePoints_107,1279107480000,true,
false,003429,"Abbey Orchard Street, Westminster",false,BikePoints_108,1279107720000,true,
false,001052,"Soho Square , Soho",false,BikePoints_109,1279108320000,true,
false,001037,"Park Lane , Hyde Park",false,BikePoints_111,1279109160000,true,
false,001061,"Stonecutter Street, Holborn",false,BikePoints_112,1279115460000,true,
false,003435,"Gloucester Road (Central), South Kensington",false,BikePoints_113,1279116600000,true,
false,001050,"Park Road (Baker Street), The Regent's Park",false,BikePoints_114,1279119900000,true,
false,001062,"Braham Street, Aldgate",false,BikePoints_115,1279120680000,true,
false,000995,"Little Argyll Street, West End",false,BikePoints_116,1279122360000,true,
false,000998,"Lollard Street, Vauxhall",false,BikePoints_117,1279124220000,true,
false,003457,"Rochester Row, Westminster",false,BikePoints_118,1279124520000,true,
false,000964,"Bath Street, St. Luke's",false,BikePoints_119,1279124760000,true,
false,001044,"The Guildhall, Guildhall",false,BikePoints_120,1279187040000,true,
false,001086,"Baker Street, Marylebone",false,BikePoints_121,1279189200000,true,
false,001068,"Norton Folgate, Liverpool Street",false,BikePoints_122,1279190040000,true,
false,000992,"St. John Street, Finsbury",false,BikePoints_123,1279191300000,true,
false,001069,"Eaton Square, Belgravia",false,BikePoints_124,1279191540000,true,
false,000996,"Borough High Street, The Borough",false,BikePoints_125,1279192200000,true,
false,001043,"Museum of London, Barbican",false,BikePoints_126,1279193340000,true,
false,001063,"Wood Street, Guildhall",false,BikePoints_127,1279193520000,true,
false,001116,"Emperor's Gate, South Kensington",false,BikePoints_128,1279194060000,true,
false,003451,"Golden Square, Soho",false,BikePoints_129,1279198500000,true,
false,001071,"Tower Gardens , Tower",false,BikePoints_130,1279198800000,true,
false,001005,"Eversholt Street , Camden Town",false,BikePoints_131,1279199280000,true,
false,000973,"Bethnal Green Road, Shoreditch",false,BikePoints_132,1279199520000,true,
false,003436,"Derry Street, Kensington",false,BikePoints_133,1279200240000,true,
false,001039,"Wapping High Street, Wapping",false,BikePoints_134,1279200900000,true,
false,001053,"Clerkenwell Green, Clerkenwell",false,BikePoints_135,1279201080000,true,
false,001048,"Queen Victoria Street, St. Paul's",false,BikePoints_136,1279201200000,true,
false,003464,"Green Street, Mayfair",false,BikePoints_138,1279205220000,true,
false,001078,"Lambeth Road, Vauxhall",false,BikePoints_139,1279205460000,true,
false,001056,"Finsbury Square , Moorgate",false,BikePoints_140,1279205580000,true,
false,001003,"Chapel Place, Marylebone",false,BikePoints_141,1279210980000,true,
false,001001,"West Cromwell Road, Earl's Court",false,BikePoints_142,1279211220000,true,
false,001114,"Pont Street, Knightsbridge",false,BikePoints_143,1279211400000,true,
false,001093,"Kennington Cross, Kennington",false,BikePoints_144,1279211580000,true,
false,001115,"Ilchester Place, Kensington",false,BikePoints_145,1279212180000,true,
false,001046,"Vauxhall Bridge , Pimlico",false,BikePoints_146,1279212360000,true,
false,000965,"Tachbrook Street, Victoria",false,BikePoints_148,,true,
false,001073,"Kennington Road Post Office, Oval",false,BikePoints_149,1279215360000,true,
false,001002,"Holy Trinity Brompton, Knightsbridge",false,BikePoints_150,1279215540000,true,
false,001118,"Hampton Street, Walworth",false,BikePoints_152,1279215900000,true,
false,001096,"Bayswater Road, Hyde Park",false,BikePoints_153,1279216080000,true,
false,001072,"Waterloo Station 3, Waterloo",false,BikePoints_154,,true,
false,001121,"Lexham Gardens, Kensington",false,BikePoints_155,1279272660000,true,
false,000966,"New Kent Road, The Borough",false,BikePoints_156,1279273080000,true,
false,001094,"Wright's Lane, Kensington",false,BikePoints_157,1279273200000,true,
false,001113,"Trebovir Road, Earl's Court",false,BikePoints_158,1279273320000,true,
false,003458,"Waterloo Place, St. James's",false,BikePoints_160,1279274280000,true,
false,003478,"Guildhouse Street, Victoria",false,BikePoints_161,1279286940000,true,
false,001123,"Southampton Place, Holborn",false,BikePoints_162,1279287120000,true,
false,003461,"Sloane Avenue, Knightsbridge",false,BikePoints_163,1279287300000,true,
false,001178,"Cleveland Gardens, Bayswater",false,BikePoints_164,1279287600000,true,
