removal_date,locked,install_date,place_id,temporary,common_name,installed,terminal_name
,false,1279026060000,BikePoints_85,false,"Tanner Street, Bermondsey",true,000994
,false,1279027140000,BikePoints_86,false,"Sancroft Street, Vauxhall",true,003434
,false,1279027680000,BikePoints_87,false,"Devonshire Square, Liverpool Street",true,003438
,false,1279028280000,BikePoints_88,false,"Bayley Street , Bloomsbury",true,001006
,false,1279029360000,BikePoints_89,false,"Tavistock Place, Bloomsbury",true,003439
,false,1279030020000,BikePoints_90,false,"Harrington Square 1, Camden Town",true,001038
,false,1279036740000,BikePoints_91,false,"Walnut Tree Walk, Vauxhall",true,001076
,false,1279037040000,BikePoints_92,false,"Borough Road, Elephant & Castle",true,001082
,false,1279037760000,BikePoints_93,false,"Cloudesley Road, Angel",true,002586
,false,1279038420000,BikePoints_94,false,"Bricklayers Arms, Borough",true,001070
,false,1279096560000,BikePoints_95,false,"Aldersgate Street, Barbican",true,001065
,false,1279096980000,BikePoints_96,false,"Falkirk Street, Hoxton",true,001047
,false,1279097580000,BikePoints_97,false,"Gloucester Road (North), Kensington",true,003447
,false,1279099080000,BikePoints_98,false,"Hampstead Road, Euston",true,000972
,false,1279099680000,BikePoints_99,false,"Old Quebec Street, Marylebone",true,001085
,false,1279099860000,BikePoints_100,false,"Albert Embankment, Vauxhall",true,001059
,false,1279102680000,BikePoints_101,false,"Queen Street 1, Bank",true,000999
,false,1279102860000,BikePoints_102,false,"Jewry Street, Aldgate",true,001045
,false,1279103520000,BikePoints_103,false,"Vicarage Gate, Kensington",true,003441
,false,1279103760000,BikePoints_104,false,"Crosswall, Tower",true,000991
,false,1279105320000,BikePoints_105,false,"Westbourne Grove, Bayswater",true,001041
,false,1279106880000,BikePoints_106,false,"Woodstock Street, Mayfair",true,001042
,false,1279107480000,BikePoints_107,false,"Finsbury Leisure Centre, St. Luke's",true,001049
,false,1279107720000,BikePoints_108,false,"Abbey Orchard Street, Westminster",true,003429
,false,1279108320000,BikePoints_109,false,"Soho Square , Soho",true,001052
,false,1279109160000,BikePoints_111,false,"Park Lane , Hyde Park",true,001037
,false,1279115460000,BikePoints_112,false,"Stonecutter Street, Holborn",true,001061
,false,1279116600000,BikePoints_113,false,"Gloucester Road (Central), South Kensington",true,003435
,false,1279119900000,BikePoints_114,false,"Park Road (Baker Street), The Regent's Park",true,001050
,false,1279120680000,BikePoints_115,false,"Braham Street, Aldgate",true,001062
,false,1279122360000,BikePoints_116,false,"Little Argyll Street, West End",true,000995
,false,1279124220000,BikePoints_117,false,"Lollard Street, Vauxhall",true,000998
,false,1279124520000,BikePoints_118,false,"Rochester Row, Westminster",true,003457
,false,1279124760000,BikePoints_119,false,"Bath Street, St. Luke's",true,000964
,false,1279187040000,BikePoints_120,false,"The Guildhall, Guildhall",true,001044
,false,1279189200000,BikePoints_121,false,"Baker Street, Marylebone",true,001086
,false,1279190040000,BikePoints_122,false,"Norton Folgate, Liverpool Street",true,001068
,false,1279191300000,BikePoints_123,false,"St. John Street, Finsbury",true,000992
,false,1279191540000,BikePoints_124,false,"Eaton Square, Belgravia",true,001069
,false,1279192200000,BikePoints_125,false,"Borough High Street, The Borough",true,000996
,false,1279193340000,BikePoints_126,false,"Museum of London, Barbican",true,001043
,false,1279193520000,BikePoints_127,false,"Wood Street, Guildhall",true,001063
,false,1279194060000,BikePoints_128,false,"Emperor's Gate, South Kensington",true,001116
,false,1279198500000,BikePoints_129,false,"Golden Square, Soho",true,003451
,false,1279198800000,BikePoints_130,false,"Tower Gardens , Tower",true,001071
,false,1279199280000,BikePoints_131,false,"Eversholt Street , Camden Town",true,001005
,false,1279199520000,BikePoints_132,false,"Bethnal Green Road, Shoreditch",true,000973
,false,1279200240000,BikePoints_133,false,"Derry Street, Kensington",true,003436
,false,1279200900000,BikePoints_134,false,"Wapping High Street, Wapping",true,001039
,false,1279201080000,BikePoints_135,false,"Clerkenwell Green, Clerkenwell",true,001053
,false,1279201200000,BikePoints_136,false,"Queen Victoria Street, St. Paul's",true,001048
,false,1279205220000,BikePoints_138,false,"Green Street, Mayfair",true,003464
,false,1279205460000,BikePoints_139,false,"Lambeth Road, Vauxhall",true,001078
,false,1279205580000,BikePoints_140,false,"Finsbury Square , Moorgate",true,001056
