installed,terminal_name,removal_date,common_name,locked,place_id,temporary,install_date
true,001023,,"River Street , Clerkenwell",false,BikePoints_1,false,1278947280000
true,001018,,"Phillimore Gardens, Kensington",false,BikePoints_2,false,1278585780000
true,001012,,"Christopher Street, Liverpool Street",false,BikePoints_3,false,1278240360000
true,001013,,"St. Chad's Street, King's Cross",false,BikePoints_4,false,1278241080000
true,003420,,"Sedding Street, Sloane Square",false,BikePoints_5,false,1278241440000
true,003424,,"Broadcasting House, Marylebone",false,BikePoints_6,false,1278241680000
true,003422,,"Charlbert Street, St. John's Wood",false,BikePoints_7,false,1278241800000
true,003423,,"Maida Vale, Maida Vale",false,BikePoints_8,false,1540984560000
true,001015,,"New Globe Walk, Bankside",false,BikePoints_9,false,1278242340000
true,001024,,"Park Street, Bankside",false,BikePoints_10,false,1278242460000
true,001022,,"Brunswick Square, Bloomsbury",false,BikePoints_11,false,1278340440000
true,000980,,"Malet Street, Bloomsbury",false,BikePoints_12,false,1278340620000
true,000970,,"Scala Street, Fitzrovia",false,BikePoints_13,false,1278340800000
true,001011,,"Belgrove Street , King's Cross",false,BikePoints_14,false,1278341040000
true,000988,,"Great Russell Street, Bloomsbury",false,BikePoints_15,false,1278341220000
true,001010,,"Cartwright Gardens , Bloomsbury",false,BikePoints_16,false,1278341400000
true,001008,,"Hatton Wall, Holborn",false,BikePoints_17,false,1278423720000
true,001007,,"Drury Lane, Covent Garden",false,BikePoints_18,false,1278426300000
true,001009,,"Taviton Street, Bloomsbury",false,BikePoints_19,false,1278426720000
true,000993,,"Drummond Street , Euston",false,BikePoints_20,false,1544659200000
true,003426,,"Lansdowne Drive, Hackney Central",false,BikePoints_21,false,1278427740000
true,003425,,"Northington Street , Holborn",false,BikePoints_22,false,1278428880000
true,003421,,"Red Lion Square, Holborn",false,BikePoints_23,false,1278429300000
true,000981,,"British Museum, Bloomsbury",false,BikePoints_24,false,1278430140000
true,001004,,"Doric Way , Somers Town",false,BikePoints_25,false,1278433200000
true,001019,,"Ampton Street , Clerkenwell",false,BikePoints_26,false,1278434160000
true,001021,,"Bouverie Street, Temple",false,BikePoints_27,false,1278500160000
true,001025,,"Bolsover Street, Fitzrovia",false,BikePoints_28,false,1278500460000
true,001016,,"Hereford Road, Bayswater",false,BikePoints_29,false,1278501180000
true,001029,,"Windsor Terrace, Hoxton",false,BikePoints_30,false,1278501420000
true,003427,,"Fanshaw Street, Hoxton",false,BikePoints_31,false,1278501600000
true,001020,,"Leonard Circus , Shoreditch",false,BikePoints_32,false,1278506700000
true,003430,,"Central House, Aldgate",false,BikePoints_33,false,1278506940000
true,003428,,"Pancras Road, King's Cross",false,BikePoints_34,false,1278507060000
true,003446,,"De Vere Gardens, Kensington",false,BikePoints_36,false,1278519900000
true,003444,,"Penywern Road, Earl's Court",false,BikePoints_37,false,1278520020000
true,003442,,"Abingdon Villas, Kensington",false,BikePoints_38,false,1278584880000
true,003445,,"Shoreditch High Street, Shoreditch",false,BikePoints_39,false,1278601740000
true,001083,,"Commercial Street, Shoreditch",false,BikePoints_40,false,1278601980000
true,001084,,"Pindar Street, Liverpool Street",false,BikePoints_41,false,1278602280000
true,000979,,"Wenlock Road , Hoxton",false,BikePoints_42,false,1278602700000
true,001036,,"Crawford Street, Marylebone",false,BikePoints_43,false,1278687720000
true,001034,,"Bruton Street, Mayfair",false,BikePoints_44,false,1278687900000
true,001035,,"Boston Place, Marylebone",false,BikePoints_45,false,1278691320000
true,001031,,"Nesham Street, Wapping",false,BikePoints_46,false,1278691800000
true,001027,,"Warwick Avenue Station, Maida Vale",false,BikePoints_47,false,1278749160000
