common_name,terminal_name,removal_date,locked,temporary,place_id,installed,install_date
"River Street , Clerkenwell",001023,,false,false,BikePoints_1,true,1278947280000
"Phillimore Gardens, Kensington",001018,,false,false,BikePoints_2,true,1278585780000
"Christopher Street, Liverpool Street",001012,,false,false,BikePoints_3,true,1278240360000
"St. Chad's Street, King's Cross",001013,,false,false,BikePoints_4,true,1278241080000
"Sedding Street, Sloane Square",003420,,false,false,BikePoints_5,true,1278241440000
"Broadcasting House, Marylebone",003424,,false,false,BikePoints_6,true,1278241680000
"Charlbert Street, St. John's Wood",003422,,false,false,BikePoints_7,true,1278241800000
"Maida Vale, Maida Vale",003423,,false,false,BikePoints_8,true,1540984560000
"New Globe Walk, Bankside",001015,,false,false,BikePoints_9,true,1278242340000
"Park Street, Bankside",001024,,false,false,BikePoints_10,true,1278242460000
"Brunswick Square, Bloomsbury",001022,,false,false,BikePoints_11,true,1278340440000
"Malet Street, Bloomsbury",000980,,false,false,BikePoints_12,true,1278340620000
"Scala Street, Fitzrovia",000970,,false,false,BikePoints_13,true,1278340800000
"Belgrove Street , King's Cross",001011,,false,false,BikePoints_14,true,1278341040000
"Great Russell Street, Bloomsbury",000988,,false,false,BikePoints_15,true,1278341220000
"Cartwright Gardens , Bloomsbury",001010,,false,false,BikePoints_16,true,1278341400000
"Hatton Wall, Holborn",001008,,false,false,BikePoints_17,true,1278423720000
"Drury Lane, Covent Garden",001007,,false,false,BikePoints_18,true,1278426300000
"Taviton Street, Bloomsbury",001009,,false,false,BikePoints_19,true,1278426720000
"Drummond Street , Euston",000993,,false,false,BikePoints_20,true,1544659200000
"Lansdowne Drive, Hackney Central",003426,,false,false,BikePoints_21,true,1278427740000
"Northington Street , Holborn",003425,,false,false,BikePoints_22,true,1278428880000
"Red Lion Square, Holborn",003421,,false,false,BikePoints_23,true,1278429300000
"British Museum, Bloomsbury",000981,,false,false,BikePoints_24,true,1278430140000
"Doric Way , Somers Town",001004,,false,false,BikePoints_25,true,1278433200000
"Ampton Street , Clerkenwell",001019,,false,false,BikePoints_26,true,1278434160000
