common_name,locked,place_id,install_date,removal_date,terminal_name,temporary,installed
"River Street , Clerkenwell",false,BikePoints_1,1278947280000,,001023,false,true
"Phillimore Gardens, Kensington",false,BikePoints_2,1278585780000,,001018,false,true
"Christopher Street, Liverpool Street",false,BikePoints_3,1278240360000,,001012,false,true
"St. Chad's Street, King's Cross",false,BikePoints_4,1278241080000,,001013,false,true
"Sedding Street, Sloane Square",false,BikePoints_5,1278241440000,,003420,false,true
"Broadcasting House, Marylebone",false,BikePoints_6,1278241680000,,003424,false,true
"Charlbert Street, St. John's Wood",false,BikePoints_7,1278241800000,,003422,false,true
"Maida Vale, Maida Vale",false,BikePoints_8,1540984560000,,003423,false,true
"New Globe Walk, Bankside",false,BikePoints_9,1278242340000,,001015,false,true
"Park Street, Bankside",false,BikePoints_10,1278242460000,,001024,false,true
"Brunswick Square, Bloomsbury",false,BikePoints_11,1278340440000,,001022,false,true
"Malet Street, Bloomsbury",false,BikePoints_12,1278340620000,,000980,false,true
"Scala Street, Fitzrovia",false,BikePoints_13,1278340800000,,000970,false,true
"Belgrove Street , King's Cross",false,BikePoints_14,1278341040000,,001011,false,true
"Great Russell Street, Bloomsbury",false,BikePoints_15,1278341220000,,000988,false,true
"Cartwright Gardens , Bloomsbury",false,BikePoints_16,1278341400000,,001010,false,true
"Hatton Wall, Holborn",false,BikePoints_17,1278423720000,,001008,false,true
"Drury Lane, Covent Garden",false,BikePoints_18,1278426300000,,001007,false,true
"Taviton Street, Bloomsbury",false,BikePoints_19,1278426720000,,001009,false,true
"Drummond Street , Euston",false,BikePoints_20,1544659200000,,000993,false,true
"Lansdowne Drive, Hackney Central",false,BikePoints_21,1278427740000,,003426,false,true
"Northington Street , Holborn",false,BikePoints_22,1278428880000,,003425,false,true
"Red Lion Square, Holborn",false,BikePoints_23,1278429300000,,003421,false,true
"British Museum, Bloomsbury",false,BikePoints_24,1278430140000,,000981,false,true
"Doric Way , Somers Town",false,BikePoints_25,1278433200000,,001004,false,true
"Ampton Street , Clerkenwell",false,BikePoints_26,1278434160000,,001019,false,true
"Bouverie Street, Temple",false,BikePoints_27,1278500160000,,001021,false,true
"Bolsover Street, Fitzrovia",false,BikePoints_28,1278500460000,,001025,false,true
"Hereford Road, Bayswater",false,BikePoints_29,1278501180000,,001016,false,true
"Windsor Terrace, Hoxton",false,BikePoints_30,1278501420000,,001029,false,true
"Fanshaw Street, Hoxton",false,BikePoints_31,1278501600000,,003427,false,true
"Leonard Circus , Shoreditch",false,BikePoints_32,1278506700000,,001020,false,true
"Central House, Aldgate",false,BikePoints_33,1278506940000,,003430,false,true
"Pancras Road, King's Cross",false,BikePoints_34,1278507060000,,003428,false,true
"De Vere Gardens, Kensington",false,BikePoints_36,1278519900000,,003446,false,true
"Penywern Road, Earl's Court",false,BikePoints_37,1278520020000,,003444,false,true
"Abingdon Villas, Kensington",false,BikePoints_38,1278584880000,,003442,false,true
"Shoreditch High Street, Shoreditch",false,BikePoints_39,1278601740000,,003445,false,true
"Commercial Street, Shoreditch",false,BikePoints_40,1278601980000,,001083,false,true
"Pindar Street, Liverpool Street",false,BikePoints_41,1278602280000,,001084,false,true
"Wenlock Road , Hoxton",false,BikePoints_42,1278602700000,,000979,false,true
"Crawford Street, Marylebone",false,BikePoints_43,1278687720000,,001036,false,true
"Bruton Street, Mayfair",false,BikePoints_44,1278687900000,,001034,false,true
"Boston Place, Marylebone",false,BikePoints_45,1278691320000,,001035,false,true
