installed,temporary,locked,common_name,install_date,removal_date,place_id,terminal_name
true,false,false,"Breams Buildings, Holborn",1279020240000,,BikePoints_84,003449
true,false,false,"Tanner Street, Bermondsey",1279026060000,,BikePoints_85,000994
true,false,false,"Sancroft Street, Vauxhall",1279027140000,,BikePoints_86,003434
true,false,false,"Devonshire Square, Liverpool Street",1279027680000,,BikePoints_87,003438
true,false,false,"Bayley Street , Bloomsbury",1279028280000,,BikePoints_88,001006
true,false,false,"Tavistock Place, Bloomsbury",1279029360000,,BikePoints_89,003439
true,false,false,"Harrington Square 1, Camden Town",1279030020000,,BikePoints_90,001038
true,false,false,"Walnut Tree Walk, Vauxhall",1279036740000,,BikePoints_91,001076
true,false,false,"Borough Road, Elephant & Castle",1279037040000,,BikePoints_92,001082
true,false,false,"Cloudesley Road, Angel",1279037760000,,BikePoints_93,002586
true,false,false,"Bricklayers Arms, Borough",1279038420000,,BikePoints_94,001070
true,false,false,"Aldersgate Street, Barbican",1279096560000,,BikePoints_95,001065
true,false,false,"Falkirk Street, Hoxton",1279096980000,,BikePoints_96,001047
true,false,false,"Gloucester Road (North), Kensington",1279097580000,,BikePoints_97,003447
true,false,false,"Hampstead Road, Euston",1279099080000,,BikePoints_98,000972
true,false,false,"Old Quebec Street, Marylebone",1279099680000,,BikePoints_99,001085
true,false,false,"Albert Embankment, Vauxhall",1279099860000,,BikePoints_100,001059
true,false,false,"Queen Street 1, Bank",1279102680000,,BikePoints_101,000999
true,false,false,"Jewry Street, Aldgate",1279102860000,,BikePoints_102,001045
true,false,false,"Vicarage Gate, Kensington",1279103520000,,BikePoints_103,003441
true,false,false,"Crosswall, Tower",1279103760000,,BikePoints_104,000991
true,false,false,"Westbourne Grove, Bayswater",1279105320000,,BikePoints_105,001041
true,false,false,"Woodstock Street, Mayfair",1279106880000,,BikePoints_106,001042
true,false,false,"Finsbury Leisure Centre, St. Luke's",1279107480000,,BikePoints_107,001049
true,false,false,"Abbey Orchard Street, Westminster",1279107720000,,BikePoints_108,003429
true,false,false,"Soho Square , Soho",1279108320000,,BikePoints_109,001052
true,false,false,"Wellington Road, St. John's Wood",1279108920000,,BikePoints_110,001055
true,false,false,"Park Lane , Hyde Park",1279109160000,,BikePoints_111,001037
true,false,false,"Gloucester Road (Central), South Kensington",1279116600000,,BikePoints_113,003435
true,false,false,"Park Road (Baker Street), The Regent's Park",1279119900000,,BikePoints_114,001050
true,false,false,"Braham Street, Aldgate",1279120680000,,BikePoints_115,001062
true,false,false,"Little Argyll Street, West End",1279122360000,,BikePoints_116,000995
true,false,false,"Lollard Street, Vauxhall",1279124220000,,BikePoints_117,000998
true,false,false,"Rochester Row, Westminster",1279124520000,,BikePoints_118,003457
true,false,false,"Bath Street, St. Luke's",1279124760000,,BikePoints_119,000964
true,false,false,"The Guildhall, Guildhall",1279187040000,,BikePoints_120,001044
true,false,false,"Baker Street, Marylebone",1279189200000,,BikePoints_121,001086
true,false,false,"Norton Folgate, Liverpool Street",1279190040000,,BikePoints_122,001068
true,false,false,"St. John Street, Finsbury",1279191300000,,BikePoints_123,000992
true,false,false,"Eaton Square, Belgravia",1279191540000,,BikePoints_124,001069
true,false,false,"Borough High Street, The Borough",1279192200000,,BikePoints_125,000996
true,false,false,"Museum of London, Barbican",1279193340000,,BikePoints_126,001043
true,false,false,"Wood Street, Guildhall",1279193520000,,BikePoints_127,001063
true,false,false,"Emperor's Gate, South Kensington",1279194060000,,BikePoints_128,001116
true,false,false,"Golden Square, Soho",1279198500000,,BikePoints_129,003451
true,false,false,"Tower Gardens , Tower",1279198800000,,BikePoints_130,001071
true,false,false,"Eversholt Street , Camden Town",1279199280000,,BikePoints_131,001005
true,false,false,"Bethnal Green Road, Shoreditch",1279199520000,,BikePoints_132,000973
true,false,false,"Derry Street, Kensington",1279200240000,,BikePoints_133,003436
true,false,false,"Wapping High Street, Wapping",1279200900000,,BikePoints_134,001039
