install_date,locked,installed,common_name,terminal_name,removal_date,temporary,place_id
1279020240000,false,true,"Breams Buildings, Holborn",003449,,false,BikePoints_84
1279026060000,false,true,"Tanner Street, Bermondsey",000994,,false,BikePoints_85
1279027140000,false,true,"Sancroft Street, Vauxhall",003434,,false,BikePoints_86
1279027680000,false,true,"Devonshire Square, Liverpool Street",003438,,false,BikePoints_87
1279028280000,false,true,"Bayley Street , Bloomsbury",001006,,false,BikePoints_88
1279029360000,false,true,"Tavistock Place, Bloomsbury",003439,,false,BikePoints_89
1279030020000,false,true,"Harrington Square 1, Camden Town",001038,,false,BikePoints_90
1279036740000,false,true,"Walnut Tree Walk, Vauxhall",001076,,false,BikePoints_91
1279037040000,false,true,"Borough Road, Elephant & Castle",001082,,false,BikePoints_92
1279037760000,false,true,"Cloudesley Road, Angel",002586,,false,BikePoints_93
1279038420000,false,true,"Bricklayers Arms, Borough",001070,,false,BikePoints_94
1279096560000,false,true,"Aldersgate Street, Barbican",001065,,false,BikePoints_95
1279096980000,false,true,"Falkirk Street, Hoxton",001047,,false,BikePoints_96
1279097580000,false,true,"Gloucester Road (North), Kensington",003447,,false,BikePoints_97
1279099080000,false,true,"Hampstead Road, Euston",000972,,false,BikePoints_98
1279099680000,false,true,"Old Quebec Street, Marylebone",001085,,false,BikePoints_99
1279099860000,false,true,"Albert Embankment, Vauxhall",001059,,false,BikePoints_100
1279102680000,false,true,"Queen Street 1, Bank",000999,,false,BikePoints_101
1279102860000,false,true,"Jewry Street, Aldgate",001045,,false,BikePoints_102
1279103520000,false,true,"Vicarage Gate, Kensington",003441,,false,BikePoints_103
1279103760000,false,true,"Crosswall, Tower",000991,,false,BikePoints_104
1279105320000,false,true,"Westbourne Grove, Bayswater",001041,,false,BikePoints_105
1279106880000,false,true,"Woodstock Street, Mayfair",001042,,false,BikePoints_106
1279107480000,false,true,"Finsbury Leisure Centre, St. Luke's",001049,,false,BikePoints_107
1279107720000,false,true,"Abbey Orchard Street, Westminster",003429,,false,BikePoints_108
1279108320000,false,true,"Soho Square , Soho",001052,,false,BikePoints_109
1279108920000,false,true,"Wellington Road, St. John's Wood",001055,,false,BikePoints_110
1279109160000,false,true,"Park Lane , Hyde Park",001037,,false,BikePoints_111
1279116600000,false,true,"Gloucester Road (Central), South Kensington",003435,,false,BikePoints_113
1279119900000,false,true,"Park Road (Baker Street), The Regent's Park",001050,,false,BikePoints_114
1279120680000,false,true,"Braham Street, Aldgate",001062,,false,BikePoints_115
1279122360000,false,true,"Little Argyll Street, West End",000995,,false,BikePoints_116
1279124220000,false,true,"Lollard Street, Vauxhall",000998,,false,BikePoints_117
1279124520000,false,true,"Rochester Row, Westminster",003457,,false,BikePoints_118
1279124760000,false,true,"Bath Street, St. Luke's",000964,,false,BikePoints_119
1279189200000,false,true,"Baker Street, Marylebone",001086,,false,BikePoints_121
1279190040000,false,true,"Norton Folgate, Liverpool Street",001068,,false,BikePoints_122
1279191300000,false,true,"St. John Street, Finsbury",000992,,false,BikePoints_123
1279191540000,false,true,"Eaton Square, Belgravia",001069,,false,BikePoints_124
1279192200000,false,true,"Borough High Street, The Borough",000996,,false,BikePoints_125
1279193340000,false,true,"Museum of London, Barbican",001043,,false,BikePoints_126
1279193520000,false,true,"Wood Street, Guildhall",001063,,false,BikePoints_127
1279194060000,false,true,"Emperor's Gate, South Kensington",001116,,false,BikePoints_128
1279198500000,false,true,"Golden Square, Soho",003451,,false,BikePoints_129
1279198800000,false,true,"Tower Gardens , Tower",001071,,false,BikePoints_130
1279199280000,false,true,"Eversholt Street , Camden Town",001005,,false,BikePoints_131
1279199520000,false,true,"Bethnal Green Road, Shoreditch",000973,,false,BikePoints_132
1279200240000,false,true,"Derry Street, Kensington",003436,,false,BikePoints_133
1279200900000,false,true,"Wapping High Street, Wapping",001039,,false,BikePoints_134
1279201080000,false,true,"Clerkenwell Green, Clerkenwell",001053,,false,BikePoints_135
1279201200000,false,true,"Queen Victoria Street, St. Paul's",001048,,false,BikePoints_136
1279205220000,false,true,"Green Street, Mayfair",003464,,false,BikePoints_138
1279205460000,false,true,"Lambeth Road, Vauxhall",001078,,false,BikePoints_139
1279205580000,false,true,"Finsbury Square , Moorgate",001056,,false,BikePoints_140
1279210980000,false,true,"Chapel Place, Marylebone",001003,,false,BikePoints_141
1279211220000,false,true,"West Cromwell Road, Earl's Court",001001,,false,BikePoints_142
1279211400000,false,true,"Pont Street, Knightsbridge",001114,,false,BikePoints_143
1279211580000,false,true,"Kennington Cross, Kennington",001093,,false,BikePoints_144
1279212180000,false,true,"Ilchester Place, Kensington",001115,,false,BikePoints_145
1279212360000,false,true,"Vauxhall Bridge , Pimlico",001046,,false,BikePoints_146
,false,true,"Tachbrook Street, Victoria",000965,,false,BikePoints_148
1279215360000,false,true,"Kennington Road Post Office, Oval",001073,,false,BikePoints_149
1279215540000,false,true,"Holy Trinity Brompton, Knightsbridge",001002,,false,BikePoints_150
1279215900000,false,true,"Hampton Street, Walworth",001118,,false,BikePoints_152
1279216080000,false,true,"Bayswater Road, Hyde Park",001096,,false,BikePoints_153
,false,true,"Waterloo Station 3, Waterloo",001072,,false,BikePoints_154
1279272660000,false,true,"Lexham Gardens, Kensington",001121,,false,BikePoints_155
1279273080000,false,true,"New Kent Road, The Borough",000966,,false,BikePoints_156
1279273200000,false,true,"Wright's Lane, Kensington",001094,,false,BikePoints_157
1279273320000,false,true,"Trebovir Road, Earl's Court",001113,,false,BikePoints_158
1279274280000,false,true,"Waterloo Place, St. James's",003458,,false,BikePoints_160
1279286940000,false,true,"Guildhouse Street, Victoria",003478,,false,BikePoints_161
1279287120000,false,true,"Southampton Place, Holborn",001123,,false,BikePoints_162
1279287300000,false,true,"Sloane Avenue, Knightsbridge",003461,,false,BikePoints_163
1279287600000,false,true,"Cleveland Gardens, Bayswater",001178,,false,BikePoints_164
1279287960000,false,true,"Orsett Terrace, Bayswater",002585,,false,BikePoints_165
1279288140000,false,true,"Seville Street, Knightsbridge",001177,,false,BikePoints_166
,false,true,"Eccleston Place, Victoria",003465,,false,BikePoints_167
1279289400000,false,true,"Argyll Road, Kensington",003463,,false,BikePoints_168
1323361560000,false,true,"Wren Street, Holborn",022169,,false,BikePoints_433
1323346020000,false,true,"Kennington Station, Kennington",022170,,false,BikePoints_435
1323350220000,false,true,"Red Lion Street, Holborn",022171,,false,BikePoints_436
1325746380000,false,true,"Vauxhall Walk, Vauxhall",200056,,false,BikePoints_437
1325705460000,false,true,"Killick Street, King's Cross",200053,,false,BikePoints_439
1325708160000,false,true,"Kennington Oval, Oval",200032,,false,BikePoints_440
1325711220000,false,true,"Sail Street, Vauxhall",200039,,false,BikePoints_441
1325940420000,false,true,"Walmer Road, Avondale",200035,,false,BikePoints_442
1325941800000,false,true,"Philpot Street, Whitechapel",200033,,false,BikePoints_443
1325944680000,false,true,"Bethnal Green Garden, Bethnal Green",200047,,false,BikePoints_444
1325945820000,false,true,"Cheshire Street, Bethnal Green",200003,,false,BikePoints_445
1325948880000,false,true,"York Hall, Bethnal Green",200042,,false,BikePoints_446
1325949000000,false,true,"Jubilee Crescent, Cubitt Town",200054,,false,BikePoints_447
1325952660000,false,true,"Fisherman's Walk West, Canary Wharf",022165,,false,BikePoints_448
1325952900000,false,true,"Shadwell Station, Shadwell",200020,,false,BikePoints_449
1326105240000,false,true,"Jubilee Street, Stepney",200002,,false,BikePoints_450
1325501400000,false,true,"Hermitage Court, Wapping",200021,,false,BikePoints_451
1326109140000,false,true,"St. Katharine's Way, Tower",200049,,false,BikePoints_452
1326111060000,false,true,"Garnet Street, Shadwell",200045,,false,BikePoints_453
1326115380000,false,true,"Napier Avenue, Millwall",200046,,false,BikePoints_454
1326117780000,false,true,"East Ferry Road, Cubitt Town",200031,,false,BikePoints_455
1326197580000,false,true,"Parkway, Camden Town",200118,,false,BikePoints_456
1326203280000,false,true,"Castlehaven Road, Camden Town",200016,,false,BikePoints_457
1326294780000,false,true,"Wapping Lane, Wapping",200034,,false,BikePoints_458
,false,true,"Gunmakers Lane, Old Ford",200014,,false,BikePoints_459
1326284820000,false,true,"Burdett Road, Mile End",200123,,false,BikePoints_460
1326293640000,false,true,"Aston Street, Stepney",200013,,true,BikePoints_461
1326294600000,false,true,"Bonny Street, Camden Town",200105,,false,BikePoints_462
,false,true,"Thurtle Road, Haggerston",200093,,false,BikePoints_463
1326304980000,false,true,"St. Mary & St. Michael Church, Stepney",200082,,false,BikePoints_464
1333613280000,false,true,"Pitfield Street North,Hoxton",200152,,false,BikePoints_465
1326360000000,false,true,"Whiston Road, Haggerston",200158,,false,BikePoints_466
1326374040000,false,true,"Southern Grove, Bow",200168,,false,BikePoints_467
1326375720000,false,true,"Cantrell Road, Bow",200150,,false,BikePoints_468
1326381060000,false,true,"Lindfield Street, Poplar",022178,,false,BikePoints_469
1326790620000,false,true,"Mostyn Grove, Bow",200174,,false,BikePoints_470
1326790860000,false,true,"Hewison Street, Old Ford",200006,,false,BikePoints_471
1326791160000,false,true,"Malmesbury Road, Bow",200019,,false,BikePoints_472
1326816540000,false,true,"Millharbour, Millwall",022167,,false,BikePoints_473
1326822960000,false,true,"Gascoyne Road, Victoria Park",200155,,false,BikePoints_474
1326825480000,false,true,"Lightermans Road, Millwall",200004,,false,BikePoints_475
1326962100000,false,true,"Stebondale Street, Cubitt Town",200009,,false,BikePoints_476
1326963780000,false,true,"Spindrift Avenue, Millwall",200018,,false,BikePoints_477
1326965580000,false,true,"Stepney Green Station, Stepney",200012,,false,BikePoints_478
1326966240000,false,true,"Pott Street, Bethnal Green",200156,,false,BikePoints_479
1326975420000,false,true,"Flamborough Street, Limehouse",200115,,false,BikePoints_480
1326996480000,false,true,"Saunders Ness Road, Cubitt Town",200022,,false,BikePoints_481
1326996720000,false,true,"Exhibition Road Museums 2, South Kensington",200052,,false,BikePoints_482
1327088280000,false,true,"Albert Gardens, Stepney",022166,,false,BikePoints_483
1327339740000,false,true,"Bromley High Street, Bow",022172,,false,BikePoints_484
1327255440000,false,true,"Old Ford Road, Bethnal Green",022173,,false,BikePoints_485
1327338660000,false,true,"Granby Street, Shoreditch",022174,,false,BikePoints_486
1327936860000,false,true,"Canton Street, Poplar",022175,,false,BikePoints_487
1327254960000,false,true,"Reardon Street, Wapping",022176,,false,BikePoints_488
,false,true,"Pennington Street, Wapping",200090,,false,BikePoints_490
1327256220000,false,true,"Queen Mary's, Mile End",200249,,false,BikePoints_491
1327256520000,false,true,"Maplin Street, Mile End",200230,,false,BikePoints_492
1327433220000,false,true,"South Quay East, Canary Wharf",200233,,false,BikePoints_494
1327340460000,false,true,"Bow Church Station, Bow",200252,,false,BikePoints_495
1327400820000,false,true,"Devons Road, Bow",200255,,false,BikePoints_496
1327398420000,false,true,"Merchant Street, Bow",200242,,false,BikePoints_497
