installed,terminal_name,removal_date,install_date,locked,temporary,place_id,common_name
true,003449,,1279020240000,false,false,BikePoints_84,"Breams Buildings, Holborn"
true,000994,,1279026060000,false,false,BikePoints_85,"Tanner Street, Bermondsey"
true,003434,,1279027140000,false,false,BikePoints_86,"Sancroft Street, Vauxhall"
true,003438,,1279027680000,false,false,BikePoints_87,"Devonshire Square, Liverpool Street"
true,001006,,1279028280000,false,false,BikePoints_88,"Bayley Street , Bloomsbury"
true,003439,,1279029360000,false,false,BikePoints_89,"Tavistock Place, Bloomsbury"
true,001038,,1279030020000,false,false,BikePoints_90,"Harrington Square 1, Camden Town"
true,001076,,1279036740000,false,false,BikePoints_91,"Walnut Tree Walk, Vauxhall"
true,001082,,1279037040000,false,false,BikePoints_92,"Borough Road, Elephant & Castle"
true,002586,,1279037760000,false,false,BikePoints_93,"Cloudesley Road, Angel"
true,001070,,1279038420000,false,false,BikePoints_94,"Bricklayers Arms, Borough"
true,001065,,1279096560000,false,false,BikePoints_95,"Aldersgate Street, Barbican"
true,001047,,1279096980000,false,false,BikePoints_96,"Falkirk Street, Hoxton"
true,003447,,1279097580000,false,false,BikePoints_97,"Gloucester Road (North), Kensington"
true,000972,,1279099080000,false,false,BikePoints_98,"Hampstead Road, Euston"
true,001085,,1279099680000,false,false,BikePoints_99,"Old Quebec Street, Marylebone"
true,001059,,1279099860000,false,false,BikePoints_100,"Albert Embankment, Vauxhall"
true,000999,,1279102680000,false,false,BikePoints_101,"Queen Street 1, Bank"
true,001045,,1279102860000,false,false,BikePoints_102,"Jewry Street, Aldgate"
true,003441,,1279103520000,false,false,BikePoints_103,"Vicarage Gate, Kensington"
true,000991,,1279103760000,false,false,BikePoints_104,"Crosswall, Tower"
true,001041,,1279105320000,false,false,BikePoints_105,"Westbourne Grove, Bayswater"
true,001042,,1279106880000,false,false,BikePoints_106,"Woodstock Street, Mayfair"
true,001049,,1279107480000,false,false,BikePoints_107,"Finsbury Leisure Centre, St. Luke's"
true,003429,,1279107720000,false,false,BikePoints_108,"Abbey Orchard Street, Westminster"
true,001052,,1279108320000,false,false,BikePoints_109,"Soho Square , Soho"
true,001055,,1279108920000,false,false,BikePoints_110,"Wellington Road, St. John's Wood"
true,001037,,1279109160000,false,false,BikePoints_111,"Park Lane , Hyde Park"
true,003435,,1279116600000,false,false,BikePoints_113,"Gloucester Road (Central), South Kensington"
true,001050,,1279119900000,false,false,BikePoints_114,"Park Road (Baker Street), The Regent's Park"
true,001062,,1279120680000,false,false,BikePoints_115,"Braham Street, Aldgate"
true,000995,,1279122360000,false,false,BikePoints_116,"Little Argyll Street, West End"
true,000998,,1279124220000,false,false,BikePoints_117,"Lollard Street, Vauxhall"
true,003457,,1279124520000,false,false,BikePoints_118,"Rochester Row, Westminster"
true,000964,,1279124760000,false,false,BikePoints_119,"Bath Street, St. Luke's"
true,001086,,1279189200000,false,false,BikePoints_121,"Baker Street, Marylebone"
true,001068,,1279190040000,false,false,BikePoints_122,"Norton Folgate, Liverpool Street"
true,000992,,1279191300000,false,false,BikePoints_123,"St. John Street, Finsbury"
true,001069,,1279191540000,false,false,BikePoints_124,"Eaton Square, Belgravia"
true,000996,,1279192200000,false,false,BikePoints_125,"Borough High Street, The Borough"
true,001043,,1279193340000,false,false,BikePoints_126,"Museum of London, Barbican"
true,001063,,1279193520000,false,false,BikePoints_127,"Wood Street, Guildhall"
true,001116,,1279194060000,false,false,BikePoints_128,"Emperor's Gate, South Kensington"
true,003451,,1279198500000,false,false,BikePoints_129,"Golden Square, Soho"
true,001071,,1279198800000,false,false,BikePoints_130,"Tower Gardens , Tower"
true,001005,,1279199280000,false,false,BikePoints_131,"Eversholt Street , Camden Town"
true,000973,,1279199520000,false,false,BikePoints_132,"Bethnal Green Road, Shoreditch"
true,003436,,1279200240000,false,false,BikePoints_133,"Derry Street, Kensington"
true,001039,,1279200900000,false,false,BikePoints_134,"Wapping High Street, Wapping"
true,001053,,1279201080000,false,false,BikePoints_135,"Clerkenwell Green, Clerkenwell"
true,001048,,1279201200000,false,false,BikePoints_136,"Queen Victoria Street, St. Paul's"
true,003464,,1279205220000,false,false,BikePoints_138,"Green Street, Mayfair"
true,001078,,1279205460000,false,false,BikePoints_139,"Lambeth Road, Vauxhall"
true,001056,,1279205580000,false,false,BikePoints_140,"Finsbury Square , Moorgate"
true,001003,,1279210980000,false,false,BikePoints_141,"Chapel Place, Marylebone"
true,001001,,1279211220000,false,false,BikePoints_142,"West Cromwell Road, Earl's Court"
