common_name,removal_date,temporary,terminal_name,place_id,installed,locked,install_date
"Breams Buildings, Holborn",,false,003449,BikePoints_84,true,false,1279020240000
"Tanner Street, Bermondsey",,false,000994,BikePoints_85,true,false,1279026060000
"Sancroft Street, Vauxhall",,false,003434,BikePoints_86,true,false,1279027140000
"Devonshire Square, Liverpool Street",,false,003438,BikePoints_87,true,false,1279027680000
"Bayley Street , Bloomsbury",,false,001006,BikePoints_88,true,false,1279028280000
"Tavistock Place, Bloomsbury",,false,003439,BikePoints_89,true,false,1279029360000
"Harrington Square 1, Camden Town",,false,001038,BikePoints_90,true,false,1279030020000
"Walnut Tree Walk, Vauxhall",,false,001076,BikePoints_91,true,false,1279036740000
"Borough Road, Elephant & Castle",,false,001082,BikePoints_92,true,false,1279037040000
"Cloudesley Road, Angel",,false,002586,BikePoints_93,true,false,1279037760000
"Bricklayers Arms, Borough",,false,001070,BikePoints_94,true,false,1279038420000
"Aldersgate Street, Barbican",,false,001065,BikePoints_95,true,false,1279096560000
"Falkirk Street, Hoxton",,false,001047,BikePoints_96,true,false,1279096980000
"Gloucester Road (North), Kensington",,false,003447,BikePoints_97,true,false,1279097580000
"Hampstead Road, Euston",,false,000972,BikePoints_98,true,false,1279099080000
"Old Quebec Street, Marylebone",,false,001085,BikePoints_99,true,false,1279099680000
"Albert Embankment, Vauxhall",,false,001059,BikePoints_100,true,false,1279099860000
"Queen Street 1, Bank",,false,000999,BikePoints_101,true,false,1279102680000
"Jewry Street, Aldgate",,false,001045,BikePoints_102,true,false,1279102860000
"Vicarage Gate, Kensington",,false,003441,BikePoints_103,true,false,1279103520000
"Crosswall, Tower",,false,000991,BikePoints_104,true,false,1279103760000
"Westbourne Grove, Bayswater",,false,001041,BikePoints_105,true,false,1279105320000
"Woodstock Street, Mayfair",,false,001042,BikePoints_106,true,false,1279106880000
"Finsbury Leisure Centre, St. Luke's",,false,001049,BikePoints_107,true,false,1279107480000
"Abbey Orchard Street, Westminster",,false,003429,BikePoints_108,true,false,1279107720000
"Soho Square , Soho",,false,001052,BikePoints_109,true,false,1279108320000
"Wellington Road, St. John's Wood",,false,001055,BikePoints_110,true,false,1279108920000
"Park Lane , Hyde Park",,false,001037,BikePoints_111,true,false,1279109160000
"Gloucester Road (Central), South Kensington",,false,003435,BikePoints_113,true,false,1279116600000
"Park Road (Baker Street), The Regent's Park",,false,001050,BikePoints_114,true,false,1279119900000
"Braham Street, Aldgate",,false,001062,BikePoints_115,true,false,1279120680000
"Little Argyll Street, West End",,false,000995,BikePoints_116,true,false,1279122360000
"Lollard Street, Vauxhall",,false,000998,BikePoints_117,true,false,1279124220000
"Rochester Row, Westminster",,false,003457,BikePoints_118,true,false,1279124520000
"Bath Street, St. Luke's",,false,000964,BikePoints_119,true,false,1279124760000
"Baker Street, Marylebone",,false,001086,BikePoints_121,true,false,1279189200000
"Norton Folgate, Liverpool Street",,false,001068,BikePoints_122,true,false,1279190040000
"St. John Street, Finsbury",,false,000992,BikePoints_123,true,false,1279191300000
"Eaton Square, Belgravia",,false,001069,BikePoints_124,true,false,1279191540000
"Borough High Street, The Borough",,false,000996,BikePoints_125,true,false,1279192200000
"Museum of London, Barbican",,false,001043,BikePoints_126,true,false,1279193340000
"Wood Street, Guildhall",,false,001063,BikePoints_127,true,false,1279193520000
"Emperor's Gate, South Kensington",,false,001116,BikePoints_128,true,false,1279194060000
"Golden Square, Soho",,false,003451,BikePoints_129,true,false,1279198500000
"Tower Gardens , Tower",,false,001071,BikePoints_130,true,false,1279198800000
"Eversholt Street , Camden Town",,false,001005,BikePoints_131,true,false,1279199280000
"Bethnal Green Road, Shoreditch",,false,000973,BikePoints_132,true,false,1279199520000
"Derry Street, Kensington",,false,003436,BikePoints_133,true,false,1279200240000
"Wapping High Street, Wapping",,false,001039,BikePoints_134,true,false,1279200900000
"Clerkenwell Green, Clerkenwell",,false,001053,BikePoints_135,true,false,1279201080000
"Queen Victoria Street, St. Paul's",,false,001048,BikePoints_136,true,false,1279201200000
"Green Street, Mayfair",,false,003464,BikePoints_138,true,false,1279205220000
"Lambeth Road, Vauxhall",,false,001078,BikePoints_139,true,false,1279205460000
"Finsbury Square , Moorgate",,false,001056,BikePoints_140,true,false,1279205580000
"Chapel Place, Marylebone",,false,001003,BikePoints_141,true,false,1279210980000
"West Cromwell Road, Earl's Court",,false,001001,BikePoints_142,true,false,1279211220000
"Pont Street, Knightsbridge",,false,001114,BikePoints_143,true,false,1279211400000
"Kennington Cross, Kennington",,false,001093,BikePoints_144,true,false,1279211580000
"Ilchester Place, Kensington",,false,001115,BikePoints_145,true,false,1279212180000
"Vauxhall Bridge , Pimlico",,false,001046,BikePoints_146,true,false,1279212360000
"Tachbrook Street, Victoria",,false,000965,BikePoints_148,true,false,
"Kennington Road Post Office, Oval",,false,001073,BikePoints_149,true,false,1279215360000
"Holy Trinity Brompton, Knightsbridge",,false,001002,BikePoints_150,true,false,1279215540000
"Hampton Street, Walworth",,false,001118,BikePoints_152,true,false,1279215900000
"Bayswater Road, Hyde Park",,false,001096,BikePoints_153,true,false,1279216080000
"Waterloo Station 3, Waterloo",,false,001072,BikePoints_154,true,false,
"Lexham Gardens, Kensington",,false,001121,BikePoints_155,true,false,1279272660000
"New Kent Road, The Borough",,false,000966,BikePoints_156,true,false,1279273080000
"Wright's Lane, Kensington",,false,001094,BikePoints_157,true,false,1279273200000
"Trebovir Road, Earl's Court",,false,001113,BikePoints_158,true,false,1279273320000
"Waterloo Place, St. James's",,false,003458,BikePoints_160,true,false,1279274280000
"Guildhouse Street, Victoria",,false,003478,BikePoints_161,true,false,1279286940000
"Southampton Place, Holborn",,false,001123,BikePoints_162,true,false,1279287120000
"Sloane Avenue, Knightsbridge",,false,003461,BikePoints_163,true,false,1279287300000
"Cleveland Gardens, Bayswater",,false,001178,BikePoints_164,true,false,1279287600000
"Orsett Terrace, Bayswater",,false,002585,BikePoints_165,true,false,1279287960000
"Seville Street, Knightsbridge",,false,001177,BikePoints_166,true,false,1279288140000
"Eccleston Place, Victoria",,false,003465,BikePoints_167,true,false,
"Argyll Road, Kensington",,false,003463,BikePoints_168,true,false,1279289400000
"Wren Street, Holborn",,false,022169,BikePoints_433,true,false,1323361560000
"Kennington Station, Kennington",,false,022170,BikePoints_435,true,false,1323346020000
"Red Lion Street, Holborn",,false,022171,BikePoints_436,true,false,1323350220000
"Vauxhall Walk, Vauxhall",,false,200056,BikePoints_437,true,false,1325746380000
"Killick Street, King's Cross",,false,200053,BikePoints_439,true,false,1325705460000
"Kennington Oval, Oval",,false,200032,BikePoints_440,true,false,1325708160000
"Sail Street, Vauxhall",,false,200039,BikePoints_441,true,false,1325711220000
"Walmer Road, Avondale",,false,200035,BikePoints_442,true,false,1325940420000
"Philpot Street, Whitechapel",,false,200033,BikePoints_443,true,false,1325941800000
"Bethnal Green Garden, Bethnal Green",,false,200047,BikePoints_444,true,false,1325944680000
"Cheshire Street, Bethnal Green",,false,200003,BikePoints_445,true,false,1325945820000
"York Hall, Bethnal Green",,false,200042,BikePoints_446,true,false,1325948880000
"Jubilee Crescent, Cubitt Town",,false,200054,BikePoints_447,true,false,1325949000000
"Fisherman's Walk West, Canary Wharf",,false,022165,BikePoints_448,true,false,1325952660000
"Shadwell Station, Shadwell",,false,200020,BikePoints_449,true,false,1325952900000
"Jubilee Street, Stepney",,false,200002,BikePoints_450,true,false,1326105240000
"Hermitage Court, Wapping",,false,200021,BikePoints_451,true,false,1325501400000
"St. Katharine's Way, Tower",,false,200049,BikePoints_452,true,false,1326109140000
"Garnet Street, Shadwell",,false,200045,BikePoints_453,true,false,1326111060000
"Napier Avenue, Millwall",,false,200046,BikePoints_454,true,false,1326115380000
"East Ferry Road, Cubitt Town",,false,200031,BikePoints_455,true,false,1326117780000
"Parkway, Camden Town",,false,200118,BikePoints_456,true,false,1326197580000
"Castlehaven Road, Camden Town",,false,200016,BikePoints_457,true,false,1326203280000
"Wapping Lane, Wapping",,false,200034,BikePoints_458,true,false,1326294780000
"Gunmakers Lane, Old Ford",,false,200014,BikePoints_459,true,false,
"Burdett Road, Mile End",,false,200123,BikePoints_460,true,false,1326284820000
"Aston Street, Stepney",,true,200013,BikePoints_461,true,false,1326293640000
"Bonny Street, Camden Town",,false,200105,BikePoints_462,true,false,1326294600000
"Thurtle Road, Haggerston",,false,200093,BikePoints_463,true,false,
"St. Mary & St. Michael Church, Stepney",,false,200082,BikePoints_464,true,false,1326304980000
"Pitfield Street North,Hoxton",,false,200152,BikePoints_465,true,false,1333613280000
"Whiston Road, Haggerston",,false,200158,BikePoints_466,true,false,1326360000000
"Southern Grove, Bow",,false,200168,BikePoints_467,true,false,1326374040000
"Cantrell Road, Bow",,false,200150,BikePoints_468,true,false,1326375720000
"Lindfield Street, Poplar",,false,022178,BikePoints_469,true,false,1326381060000
"Mostyn Grove, Bow",,false,200174,BikePoints_470,true,false,1326790620000
"Hewison Street, Old Ford",,false,200006,BikePoints_471,true,false,1326790860000
