common_name,terminal_name,installed,install_date,locked,place_id,temporary,removal_date
"Breams Buildings, Holborn",003449,true,1279020240000,false,BikePoints_84,false,
"Tanner Street, Bermondsey",000994,true,1279026060000,false,BikePoints_85,false,
"Sancroft Street, Vauxhall",003434,true,1279027140000,false,BikePoints_86,false,
"Devonshire Square, Liverpool Street",003438,true,1279027680000,false,BikePoints_87,false,
"Bayley Street , Bloomsbury",001006,true,1279028280000,false,BikePoints_88,false,
"Tavistock Place, Bloomsbury",003439,true,1279029360000,false,BikePoints_89,false,
"Harrington Square 1, Camden Town",001038,true,1279030020000,false,BikePoints_90,false,
"Walnut Tree Walk, Vauxhall",001076,true,1279036740000,false,BikePoints_91,false,
"Borough Road, Elephant & Castle",001082,true,1279037040000,false,BikePoints_92,false,
"Cloudesley Road, Angel",002586,true,1279037760000,false,BikePoints_93,false,
"Bricklayers Arms, Borough",001070,true,1279038420000,false,BikePoints_94,false,
"Aldersgate Street, Barbican",001065,true,1279096560000,false,BikePoints_95,false,
"Falkirk Street, Hoxton",001047,true,1279096980000,false,BikePoints_96,false,
"Gloucester Road (North), Kensington",003447,true,1279097580000,false,BikePoints_97,false,
"Hampstead Road, Euston",000972,true,1279099080000,false,BikePoints_98,false,
"Old Quebec Street, Marylebone",001085,true,1279099680000,false,BikePoints_99,false,
"Albert Embankment, Vauxhall",001059,true,1279099860000,false,BikePoints_100,false,
"Queen Street 1, Bank",000999,true,1279102680000,false,BikePoints_101,false,
"Jewry Street, Aldgate",001045,true,1279102860000,false,BikePoints_102,false,
"Vicarage Gate, Kensington",003441,true,1279103520000,false,BikePoints_103,false,
"Crosswall, Tower",000991,true,1279103760000,false,BikePoints_104,false,
"Westbourne Grove, Bayswater",001041,true,1279105320000,false,BikePoints_105,false,
"Woodstock Street, Mayfair",001042,true,1279106880000,false,BikePoints_106,false,
"Finsbury Leisure Centre, St. Luke's",001049,true,1279107480000,false,BikePoints_107,false,
"Abbey Orchard Street, Westminster",003429,true,1279107720000,false,BikePoints_108,false,
"Soho Square , Soho",001052,true,1279108320000,false,BikePoints_109,false,
"Wellington Road, St. John's Wood",001055,true,1279108920000,false,BikePoints_110,false,
"Park Lane , Hyde Park",001037,true,1279109160000,false,BikePoints_111,false,
"Gloucester Road (Central), South Kensington",003435,true,1279116600000,false,BikePoints_113,false,
"Park Road (Baker Street), The Regent's Park",001050,true,1279119900000,false,BikePoints_114,false,
"Braham Street, Aldgate",001062,true,1279120680000,false,BikePoints_115,false,
"Little Argyll Street, West End",000995,true,1279122360000,false,BikePoints_116,false,
"Lollard Street, Vauxhall",000998,true,1279124220000,false,BikePoints_117,false,
"Rochester Row, Westminster",003457,true,1279124520000,false,BikePoints_118,false,
"Bath Street, St. Luke's",000964,true,1279124760000,false,BikePoints_119,false,
"Baker Street, Marylebone",001086,true,1279189200000,false,BikePoints_121,false,
"Norton Folgate, Liverpool Street",001068,true,1279190040000,false,BikePoints_122,false,
"St. John Street, Finsbury",000992,true,1279191300000,false,BikePoints_123,false,
"Eaton Square, Belgravia",001069,true,1279191540000,false,BikePoints_124,false,
"Borough High Street, The Borough",000996,true,1279192200000,false,BikePoints_125,false,
"Museum of London, Barbican",001043,true,1279193340000,false,BikePoints_126,false,
"Wood Street, Guildhall",001063,true,1279193520000,false,BikePoints_127,false,
"Emperor's Gate, South Kensington",001116,true,1279194060000,false,BikePoints_128,false,
"Golden Square, Soho",003451,true,1279198500000,false,BikePoints_129,false,
"Tower Gardens , Tower",001071,true,1279198800000,false,BikePoints_130,false,
"Eversholt Street , Camden Town",001005,true,1279199280000,false,BikePoints_131,false,
"Bethnal Green Road, Shoreditch",000973,true,1279199520000,false,BikePoints_132,false,
"Derry Street, Kensington",003436,true,1279200240000,false,BikePoints_133,false,
"Wapping High Street, Wapping",001039,true,1279200900000,false,BikePoints_134,false,
"Clerkenwell Green, Clerkenwell",001053,true,1279201080000,false,BikePoints_135,false,
"Queen Victoria Street, St. Paul's",001048,true,1279201200000,false,BikePoints_136,false,
"Green Street, Mayfair",003464,true,1279205220000,false,BikePoints_138,false,
"Lambeth Road, Vauxhall",001078,true,1279205460000,false,BikePoints_139,false,
"Finsbury Square , Moorgate",001056,true,1279205580000,false,BikePoints_140,false,
"Chapel Place, Marylebone",001003,true,1279210980000,false,BikePoints_141,false,
"West Cromwell Road, Earl's Court",001001,true,1279211220000,false,BikePoints_142,false,
"Pont Street, Knightsbridge",001114,true,1279211400000,false,BikePoints_143,false,
"Kennington Cross, Kennington",001093,true,1279211580000,false,BikePoints_144,false,
"Ilchester Place, Kensington",001115,true,1279212180000,false,BikePoints_145,false,
"Vauxhall Bridge , Pimlico",001046,true,1279212360000,false,BikePoints_146,false,
"Tachbrook Street, Victoria",000965,true,,false,BikePoints_148,false,
"Kennington Road Post Office, Oval",001073,true,1279215360000,false,BikePoints_149,false,
"Holy Trinity Brompton, Knightsbridge",001002,true,1279215540000,false,BikePoints_150,false,
"Hampton Street, Walworth",001118,true,1279215900000,false,BikePoints_152,false,
"Bayswater Road, Hyde Park",001096,true,1279216080000,false,BikePoints_153,false,
"Waterloo Station 3, Waterloo",001072,true,,false,BikePoints_154,false,
"Lexham Gardens, Kensington",001121,true,1279272660000,false,BikePoints_155,false,
"New Kent Road, The Borough",000966,true,1279273080000,false,BikePoints_156,false,
"Wright's Lane, Kensington",001094,true,1279273200000,false,BikePoints_157,false,
"Trebovir Road, Earl's Court",001113,true,1279273320000,false,BikePoints_158,false,
"Waterloo Place, St. James's",003458,true,1279274280000,false,BikePoints_160,false,
"Guildhouse Street, Victoria",003478,true,1279286940000,false,BikePoints_161,false,
"Southampton Place, Holborn",001123,true,1279287120000,false,BikePoints_162,false,
"Sloane Avenue, Knightsbridge",003461,true,1279287300000,false,BikePoints_163,false,
"Cleveland Gardens, Bayswater",001178,true,1279287600000,false,BikePoints_164,false,
"Orsett Terrace, Bayswater",002585,true,1279287960000,false,BikePoints_165,false,
"Seville Street, Knightsbridge",001177,true,1279288140000,false,BikePoints_166,false,
"Eccleston Place, Victoria",003465,true,,false,BikePoints_167,false,
"Argyll Road, Kensington",003463,true,1279289400000,false,BikePoints_168,false,
"Wren Street, Holborn",022169,true,1323361560000,false,BikePoints_433,false,
"Kennington Station, Kennington",022170,true,1323346020000,false,BikePoints_435,false,
"Red Lion Street, Holborn",022171,true,1323350220000,false,BikePoints_436,false,
"Vauxhall Walk, Vauxhall",200056,true,1325746380000,false,BikePoints_437,false,
"Killick Street, King's Cross",200053,true,1325705460000,false,BikePoints_439,false,
"Kennington Oval, Oval",200032,true,1325708160000,false,BikePoints_440,false,
"Sail Street, Vauxhall",200039,true,1325711220000,false,BikePoints_441,false,
"Walmer Road, Avondale",200035,true,1325940420000,false,BikePoints_442,false,
"Philpot Street, Whitechapel",200033,true,1325941800000,false,BikePoints_443,false,
"Bethnal Green Garden, Bethnal Green",200047,true,1325944680000,false,BikePoints_444,false,
"Cheshire Street, Bethnal Green",200003,true,1325945820000,false,BikePoints_445,false,
"York Hall, Bethnal Green",200042,true,1325948880000,false,BikePoints_446,false,
"Jubilee Crescent, Cubitt Town",200054,true,1325949000000,false,BikePoints_447,false,
