common_name,locked,removal_date,install_date,place_id,temporary,terminal_name,installed
"Chadwell Street, Angel",false,,1279700940000,BikePoints_254,false,003471,true
"Clifton Road, Maida Vale",false,,1279702560000,BikePoints_255,false,001147,true
"Houghton Street, Strand",false,,1279708020000,BikePoints_256,false,003484,true
"Westminster University, Marylebone",false,,1279708140000,BikePoints_257,false,001194,true
"Kensington Gore, Knightsbridge",false,,1279708380000,BikePoints_258,false,001193,true
"Bourne Street, Belgravia",false,,1279709100000,BikePoints_259,false,001180,true
"Broadwick Street, Soho",false,,1279711020000,BikePoints_260,false,003489,true
"Princes Square, Bayswater",false,,1279711200000,BikePoints_261,false,003491,true
"LSBU (Borough Road), Elephant & Castle",false,,1279711620000,BikePoints_262,false,001095,true
"St. Mary Axe, Aldgate",false,,1279712160000,BikePoints_263,false,001184,true
"Tysoe Street, Clerkenwell",false,,1279712520000,BikePoints_264,false,001146,true
"Southwick Street, Paddington",false,,1279714320000,BikePoints_265,false,003490,true
"Queen's Gate (North), Kensington",false,,1279714560000,BikePoints_266,false,001204,true
"Regency Street, Westminster",false,,1279714740000,BikePoints_267,false,001155,true
"Belgrave Road, Victoria",false,,1279714920000,BikePoints_268,false,001087,true
"Empire Square, The Borough",false,,1279715100000,BikePoints_269,false,001209,true
"Kennington Lane Rail Bridge, Vauxhall",false,,1279720380000,BikePoints_270,false,001190,true
"London Zoo,  The Regent's Park",false,,1279720920000,BikePoints_271,false,001136,true
"Baylis Road, Waterloo",false,,1279721220000,BikePoints_272,false,001133,true
"Belvedere Road 1, South Bank",false,,1279721400000,BikePoints_273,false,001186,true
"Warwick Road, Olympia",false,,1279721580000,BikePoints_274,false,001134,true
"Barbican Centre, Barbican",false,,1279721880000,BikePoints_275,false,001191,true
"Lower Thames Street, Monument",false,,1279723200000,BikePoints_276,false,001098,true
"Kensington Church Street, Kensington",false,,1279723320000,BikePoints_277,false,001143,true
"Tooley Street, Bermondsey",false,,1279723500000,BikePoints_278,false,001142,true
"North Wharf Road, Paddington",false,,1279723740000,BikePoints_279,false,001108,true
"Royal Avenue 2, Chelsea",false,,1279726440000,BikePoints_280,false,003462,true
"Smith Square, Westminster",false,,1279726620000,BikePoints_281,false,003480,true
"Royal London Hospital, Whitechapel",false,,1279726980000,BikePoints_282,false,001077,true
"Kingsway, Covent Garden",false,,1279727220000,BikePoints_283,false,001141,true
"Lambeth North Station, Waterloo",false,,1279727580000,BikePoints_284,false,001117,true
"St. John's Wood Road, St. John's Wood",false,,1279727880000,BikePoints_286,false,001187,true
"Bedford Way, Bloomsbury",false,,1279728060000,BikePoints_287,false,001156,true
"Elizabeth Bridge, Victoria",false,,1279793820000,BikePoints_288,false,001138,true
"South Audley Street, Mayfair",false,,1279794060000,BikePoints_289,false,003493,true
"St Mary's Hospital, Paddington",false,,1279795140000,BikePoints_290,false,003496,true
"Claverton Street, Pimlico",false,,1279800420000,BikePoints_291,false,001135,true
"Kensington Olympia Station, Olympia",false,,1279800780000,BikePoints_293,false,001214,true
"St. George's Square, Pimlico",false,,1279800900000,BikePoints_294,false,001195,true
"Swan Street, The Borough",false,,1279801080000,BikePoints_295,false,001216,true
"Knaresborough Place, Earl's Court",false,,1377258960000,BikePoints_296,false,200069,true
"Geraldine Street, Elephant & Castle",false,,1279801560000,BikePoints_297,false,003498,true
"Curlew Street, Shad Thames",false,,1279805640000,BikePoints_298,false,001213,true
"Vincent Square, Westminster",false,,1279808160000,BikePoints_299,false,001196,true
"Serpentine Car Park, Hyde Park",false,,1279808700000,BikePoints_300,false,001217,true
"Marylebone Lane, Marylebone",false,,1279809000000,BikePoints_301,false,001152,true
"Putney Pier, Wandsworth",false,,1279812360000,BikePoints_302,false,003492,true
"Albert Gate, Hyde Park",false,,1279812720000,BikePoints_303,false,001132,true
"Rathbone Street, Fitzrovia",false,,1279816260000,BikePoints_306,false,003497,true
"Black Lion Gate, Kensington Gardens",false,,1279816500000,BikePoints_307,false,001157,true
"Long Lane , Bermondsey",false,,1279816740000,BikePoints_308,false,001189,true
"Embankment (Savoy), Strand",false,,1279875060000,BikePoints_309,false,001192,true
"Black Prince Road, Vauxhall",false,,1279879560000,BikePoints_310,false,001205,true
"Foley Street, Fitzrovia",false,,1279880100000,BikePoints_311,false,003494,true
"Grove End Road, St. John's Wood",false,,1279880340000,BikePoints_312,false,001130,true
"Wells Street, Fitzrovia",false,,1279880520000,BikePoints_313,false,003495,true
"Tyers Gate, Bermondsey",false,,1279884480000,BikePoints_314,false,003485,true
"The Tennis Courts, The Regent's Park",false,,1279884660000,BikePoints_315,false,001199,true
