installed,temporary,terminal_name,removal_date,place_id,locked,install_date,common_name
true,false,000994,,BikePoints_85,false,1279026060000,"Tanner Street, Bermondsey"
true,false,003434,,BikePoints_86,false,1279027140000,"Sancroft Street, Vauxhall"
true,false,003438,,BikePoints_87,false,1279027680000,"Devonshire Square, Liverpool Street"
true,false,001006,,BikePoints_88,false,1279028280000,"Bayley Street , Bloomsbury"
true,false,003439,,BikePoints_89,false,1279029360000,"Tavistock Place, Bloomsbury"
true,false,001038,,BikePoints_90,false,1279030020000,"Harrington Square 1, Camden Town"
true,false,001076,,BikePoints_91,false,1279036740000,"Walnut Tree Walk, Vauxhall"
true,false,001082,,BikePoints_92,false,1279037040000,"Borough Road, Elephant & Castle"
true,false,002586,,BikePoints_93,false,1279037760000,"Cloudesley Road, Angel"
true,false,001070,,BikePoints_94,false,1279038420000,"Bricklayers Arms, Borough"
true,false,001065,,BikePoints_95,false,1279096560000,"Aldersgate Street, Barbican"
true,false,001047,,BikePoints_96,false,1279096980000,"Falkirk Street, Hoxton"
true,false,003447,,BikePoints_97,false,1279097580000,"Gloucester Road (North), Kensington"
true,false,000972,,BikePoints_98,false,1279099080000,"Hampstead Road, Euston"
true,false,001085,,BikePoints_99,false,1279099680000,"Old Quebec Street, Marylebone"
true,false,001059,,BikePoints_100,false,1279099860000,"Albert Embankment, Vauxhall"
true,false,000999,,BikePoints_101,false,1279102680000,"Queen Street 1, Bank"
true,false,001045,,BikePoints_102,false,1279102860000,"Jewry Street, Aldgate"
true,false,003441,,BikePoints_103,false,1279103520000,"Vicarage Gate, Kensington"
true,false,000991,,BikePoints_104,false,1279103760000,"Crosswall, Tower"
true,false,001041,,BikePoints_105,false,1279105320000,"Westbourne Grove, Bayswater"
true,false,001042,,BikePoints_106,false,1279106880000,"Woodstock Street, Mayfair"
true,false,001049,,BikePoints_107,false,1279107480000,"Finsbury Leisure Centre, St. Luke's"
true,false,003429,,BikePoints_108,false,1279107720000,"Abbey Orchard Street, Westminster"
true,false,001052,,BikePoints_109,false,1279108320000,"Soho Square , Soho"
true,false,001055,,BikePoints_110,false,1279108920000,"Wellington Road, St. John's Wood"
true,false,001037,,BikePoints_111,false,1279109160000,"Park Lane , Hyde Park"
true,false,003435,,BikePoints_113,false,1279116600000,"Gloucester Road (Central), South Kensington"
true,false,001050,,BikePoints_114,false,1279119900000,"Park Road (Baker Street), The Regent's Park"
true,false,001062,,BikePoints_115,false,1279120680000,"Braham Street, Aldgate"
true,false,000995,,BikePoints_116,false,1279122360000,"Little Argyll Street, West End"
true,false,000998,,BikePoints_117,false,1279124220000,"Lollard Street, Vauxhall"
true,false,003457,,BikePoints_118,false,1279124520000,"Rochester Row, Westminster"
true,false,000964,,BikePoints_119,false,1279124760000,"Bath Street, St. Luke's"
true,false,001044,,BikePoints_120,false,1279187040000,"The Guildhall, Guildhall"
true,false,001086,,BikePoints_121,false,1279189200000,"Baker Street, Marylebone"
true,false,001068,,BikePoints_122,false,1279190040000,"Norton Folgate, Liverpool Street"
true,false,000992,,BikePoints_123,false,1279191300000,"St. John Street, Finsbury"
true,false,001069,,BikePoints_124,false,1279191540000,"Eaton Square, Belgravia"
true,false,000996,,BikePoints_125,false,1279192200000,"Borough High Street, The Borough"
true,false,001043,,BikePoints_126,false,1279193340000,"Museum of London, Barbican"
true,false,001063,,BikePoints_127,false,1279193520000,"Wood Street, Guildhall"
true,false,001116,,BikePoints_128,false,1279194060000,"Emperor's Gate, South Kensington"
true,false,003451,,BikePoints_129,false,1279198500000,"Golden Square, Soho"
true,false,001071,,BikePoints_130,false,1279198800000,"Tower Gardens , Tower"
true,false,001005,,BikePoints_131,false,1279199280000,"Eversholt Street , Camden Town"
true,false,000973,,BikePoints_132,false,1279199520000,"Bethnal Green Road, Shoreditch"
true,false,003436,,BikePoints_133,false,1279200240000,"Derry Street, Kensington"
true,false,001039,,BikePoints_134,false,1279200900000,"Wapping High Street, Wapping"
true,false,001053,,BikePoints_135,false,1279201080000,"Clerkenwell Green, Clerkenwell"
true,false,001048,,BikePoints_136,false,1279201200000,"Queen Victoria Street, St. Paul's"
true,false,003464,,BikePoints_138,false,1279205220000,"Green Street, Mayfair"
true,false,001078,,BikePoints_139,false,1279205460000,"Lambeth Road, Vauxhall"
true,false,001056,,BikePoints_140,false,1279205580000,"Finsbury Square , Moorgate"
true,false,001003,,BikePoints_141,false,1279210980000,"Chapel Place, Marylebone"
true,false,001001,,BikePoints_142,false,1279211220000,"West Cromwell Road, Earl's Court"
true,false,001114,,BikePoints_143,false,1279211400000,"Pont Street, Knightsbridge"
true,false,001093,,BikePoints_144,false,1279211580000,"Kennington Cross, Kennington"
true,false,001115,,BikePoints_145,false,1279212180000,"Ilchester Place, Kensington"
true,false,001046,,BikePoints_146,false,1279212360000,"Vauxhall Bridge , Pimlico"
true,false,000965,,BikePoints_148,false,,"Tachbrook Street, Victoria"
true,false,001073,,BikePoints_149,false,1279215360000,"Kennington Road Post Office, Oval"
true,false,001002,,BikePoints_150,false,1279215540000,"Holy Trinity Brompton, Knightsbridge"
true,false,001120,,BikePoints_151,false,1279215720000,"Chepstow Villas, Notting Hill"
true,false,001118,,BikePoints_152,false,1279215900000,"Hampton Street, Walworth"
true,false,001096,,BikePoints_153,false,1279216080000,"Bayswater Road, Hyde Park"
true,false,001072,,BikePoints_154,false,,"Waterloo Station 3, Waterloo"
true,false,001121,,BikePoints_155,false,1279272660000,"Lexham Gardens, Kensington"
true,false,000966,,BikePoints_156,false,1279273080000,"New Kent Road, The Borough"
true,false,001094,,BikePoints_157,false,1279273200000,"Wright's Lane, Kensington"
true,false,001113,,BikePoints_158,false,1279273320000,"Trebovir Road, Earl's Court"
true,false,003458,,BikePoints_160,false,1279274280000,"Waterloo Place, St. James's"
true,false,003478,,BikePoints_161,false,1279286940000,"Guildhouse Street, Victoria"
true,false,001123,,BikePoints_162,false,1279287120000,"Southampton Place, Holborn"
true,false,003461,,BikePoints_163,false,1279287300000,"Sloane Avenue, Knightsbridge"
true,false,001178,,BikePoints_164,false,1279287600000,"Cleveland Gardens, Bayswater"
true,false,002585,,BikePoints_165,false,1279287960000,"Orsett Terrace, Bayswater"
true,false,001177,,BikePoints_166,false,1279288140000,"Seville Street, Knightsbridge"
true,false,003465,,BikePoints_167,false,,"Eccleston Place, Victoria"
true,false,003463,,BikePoints_168,false,1279289400000,"Argyll Road, Kensington"
true,false,022171,,BikePoints_436,false,1323350220000,"Red Lion Street, Holborn"
true,false,200056,,BikePoints_437,false,1325746380000,"Vauxhall Walk, Vauxhall"
true,false,200053,,BikePoints_439,false,1325705460000,"Killick Street, King's Cross"
true,false,200032,,BikePoints_440,false,1325708160000,"Kennington Oval, Oval"
true,false,200039,,BikePoints_441,false,1325711220000,"Sail Street, Vauxhall"
true,false,200035,,BikePoints_442,false,1325940420000,"Walmer Road, Avondale"
true,false,200033,,BikePoints_443,false,1325941800000,"Philpot Street, Whitechapel"
true,false,200047,,BikePoints_444,false,1325944680000,"Bethnal Green Garden, Bethnal Green"
true,false,200003,,BikePoints_445,false,1325945820000,"Cheshire Street, Bethnal Green"
true,false,200042,,BikePoints_446,false,1325948880000,"York Hall, Bethnal Green"
true,false,200054,,BikePoints_447,false,1325949000000,"Jubilee Crescent, Cubitt Town"
true,false,022165,,BikePoints_448,false,1325952660000,"Fisherman's Walk West, Canary Wharf"
true,false,200020,,BikePoints_449,false,1325952900000,"Shadwell Station, Shadwell"
true,false,200002,,BikePoints_450,false,1326105240000,"Jubilee Street, Stepney"
true,false,200021,,BikePoints_451,false,1325501400000,"Hermitage Court, Wapping"
true,false,200049,,BikePoints_452,false,1326109140000,"St. Katharine's Way, Tower"
true,false,200045,,BikePoints_453,false,1326111060000,"Garnet Street, Shadwell"
true,false,200046,,BikePoints_454,false,1326115380000,"Napier Avenue, Millwall"
true,false,200031,,BikePoints_455,false,1326117780000,"East Ferry Road, Cubitt Town"
true,false,200118,,BikePoints_456,false,1326197580000,"Parkway, Camden Town"
true,false,200016,,BikePoints_457,false,1326203280000,"Castlehaven Road, Camden Town"
true,false,200034,,BikePoints_458,false,1326294780000,"Wapping Lane, Wapping"
true,false,200014,,BikePoints_459,false,,"Gunmakers Lane, Old Ford"
true,false,200123,,BikePoints_460,false,1326284820000,"Burdett Road, Mile End"
true,true,200013,,BikePoints_461,false,1326293640000,"Aston Street, Stepney"
true,false,200105,,BikePoints_462,false,1326294600000,"Bonny Street, Camden Town"
true,false,200093,,BikePoints_463,false,,"Thurtle Road, Haggerston"
true,false,200082,,BikePoints_464,false,1326304980000,"St. Mary & St. Michael Church, Stepney"
true,false,200152,,BikePoints_465,false,1333613280000,"Pitfield Street North,Hoxton"
true,false,200158,,BikePoints_466,false,1326360000000,"Whiston Road, Haggerston"
true,false,200168,,BikePoints_467,false,1326374040000,"Southern Grove, Bow"
true,false,200150,,BikePoints_468,false,1326375720000,"Cantrell Road, Bow"
true,false,022178,,BikePoints_469,false,1326381060000,"Lindfield Street, Poplar"
