place_id,temporary,installed,removal_date,terminal_name,common_name,install_date,locked
BikePoints_85,false,true,,000994,"Tanner Street, Bermondsey",1279026060000,false
BikePoints_86,false,true,,003434,"Sancroft Street, Vauxhall",1279027140000,false
BikePoints_87,false,true,,003438,"Devonshire Square, Liverpool Street",1279027680000,false
BikePoints_88,false,true,,001006,"Bayley Street , Bloomsbury",1279028280000,false
BikePoints_89,false,true,,003439,"Tavistock Place, Bloomsbury",1279029360000,false
BikePoints_90,false,true,,001038,"Harrington Square 1, Camden Town",1279030020000,false
BikePoints_91,false,true,,001076,"Walnut Tree Walk, Vauxhall",1279036740000,false
BikePoints_92,false,true,,001082,"Borough Road, Elephant & Castle",1279037040000,false
BikePoints_93,false,true,,002586,"Cloudesley Road, Angel",1279037760000,false
BikePoints_94,false,true,,001070,"Bricklayers Arms, Borough",1279038420000,false
BikePoints_95,false,true,,001065,"Aldersgate Street, Barbican",1279096560000,false
BikePoints_96,false,true,,001047,"Falkirk Street, Hoxton",1279096980000,false
BikePoints_97,false,true,,003447,"Gloucester Road (North), Kensington",1279097580000,false
BikePoints_98,false,true,,000972,"Hampstead Road, Euston",1279099080000,false
BikePoints_99,false,true,,001085,"Old Quebec Street, Marylebone",1279099680000,false
BikePoints_100,false,true,,001059,"Albert Embankment, Vauxhall",1279099860000,false
BikePoints_101,false,true,,000999,"Queen Street 1, Bank",1279102680000,false
BikePoints_102,false,true,,001045,"Jewry Street, Aldgate",1279102860000,false
BikePoints_103,false,true,,003441,"Vicarage Gate, Kensington",1279103520000,false
BikePoints_104,false,true,,000991,"Crosswall, Tower",1279103760000,false
BikePoints_105,false,true,,001041,"Westbourne Grove, Bayswater",1279105320000,false
BikePoints_106,false,true,,001042,"Woodstock Street, Mayfair",1279106880000,false
BikePoints_107,false,true,,001049,"Finsbury Leisure Centre, St. Luke's",1279107480000,false
BikePoints_108,false,true,,003429,"Abbey Orchard Street, Westminster",1279107720000,false
BikePoints_109,false,true,,001052,"Soho Square , Soho",1279108320000,false
BikePoints_110,false,true,,001055,"Wellington Road, St. John's Wood",1279108920000,false
BikePoints_111,false,true,,001037,"Park Lane , Hyde Park",1279109160000,false
BikePoints_113,false,true,,003435,"Gloucester Road (Central), South Kensington",1279116600000,false
BikePoints_114,false,true,,001050,"Park Road (Baker Street), The Regent's Park",1279119900000,false
BikePoints_115,false,true,,001062,"Braham Street, Aldgate",1279120680000,false
BikePoints_116,false,true,,000995,"Little Argyll Street, West End",1279122360000,false
BikePoints_117,false,true,,000998,"Lollard Street, Vauxhall",1279124220000,false
BikePoints_118,false,true,,003457,"Rochester Row, Westminster",1279124520000,false
BikePoints_119,false,true,,000964,"Bath Street, St. Luke's",1279124760000,false
BikePoints_120,false,true,,001044,"The Guildhall, Guildhall",1279187040000,false
BikePoints_121,false,true,,001086,"Baker Street, Marylebone",1279189200000,false
BikePoints_122,false,true,,001068,"Norton Folgate, Liverpool Street",1279190040000,false
BikePoints_123,false,true,,000992,"St. John Street, Finsbury",1279191300000,false
BikePoints_124,false,true,,001069,"Eaton Square, Belgravia",1279191540000,false
BikePoints_125,false,true,,000996,"Borough High Street, The Borough",1279192200000,false
BikePoints_126,false,true,,001043,"Museum of London, Barbican",1279193340000,false
BikePoints_127,false,true,,001063,"Wood Street, Guildhall",1279193520000,false
BikePoints_128,false,true,,001116,"Emperor's Gate, South Kensington",1279194060000,false
BikePoints_129,false,true,,003451,"Golden Square, Soho",1279198500000,false
BikePoints_130,false,true,,001071,"Tower Gardens , Tower",1279198800000,false
BikePoints_131,false,true,,001005,"Eversholt Street , Camden Town",1279199280000,false
BikePoints_132,false,true,,000973,"Bethnal Green Road, Shoreditch",1279199520000,false
BikePoints_133,false,true,,003436,"Derry Street, Kensington",1279200240000,false
BikePoints_134,false,true,,001039,"Wapping High Street, Wapping",1279200900000,false
BikePoints_135,false,true,,001053,"Clerkenwell Green, Clerkenwell",1279201080000,false
BikePoints_136,false,true,,001048,"Queen Victoria Street, St. Paul's",1279201200000,false
BikePoints_138,false,true,,003464,"Green Street, Mayfair",1279205220000,false
BikePoints_139,false,true,,001078,"Lambeth Road, Vauxhall",1279205460000,false
BikePoints_140,false,true,,001056,"Finsbury Square , Moorgate",1279205580000,false
BikePoints_141,false,true,,001003,"Chapel Place, Marylebone",1279210980000,false
BikePoints_142,false,true,,001001,"West Cromwell Road, Earl's Court",1279211220000,false
BikePoints_143,false,true,,001114,"Pont Street, Knightsbridge",1279211400000,false
BikePoints_144,false,true,,001093,"Kennington Cross, Kennington",1279211580000,false
BikePoints_145,false,true,,001115,"Ilchester Place, Kensington",1279212180000,false
BikePoints_146,false,true,,001046,"Vauxhall Bridge , Pimlico",1279212360000,false
BikePoints_148,false,true,,000965,"Tachbrook Street, Victoria",,false
BikePoints_149,false,true,,001073,"Kennington Road Post Office, Oval",1279215360000,false
BikePoints_150,false,true,,001002,"Holy Trinity Brompton, Knightsbridge",1279215540000,false
BikePoints_151,false,true,,001120,"Chepstow Villas, Notting Hill",1279215720000,false
BikePoints_152,false,true,,001118,"Hampton Street, Walworth",1279215900000,false
BikePoints_153,false,true,,001096,"Bayswater Road, Hyde Park",1279216080000,false
BikePoints_154,false,true,,001072,"Waterloo Station 3, Waterloo",,false
BikePoints_155,false,true,,001121,"Lexham Gardens, Kensington",1279272660000,false
BikePoints_156,false,true,,000966,"New Kent Road, The Borough",1279273080000,false
BikePoints_157,false,true,,001094,"Wright's Lane, Kensington",1279273200000,false
BikePoints_158,false,true,,001113,"Trebovir Road, Earl's Court",1279273320000,false
BikePoints_160,false,true,,003458,"Waterloo Place, St. James's",1279274280000,false
BikePoints_161,false,true,,003478,"Guildhouse Street, Victoria",1279286940000,false
BikePoints_162,false,true,,001123,"Southampton Place, Holborn",1279287120000,false
BikePoints_163,false,true,,003461,"Sloane Avenue, Knightsbridge",1279287300000,false
BikePoints_164,false,true,,001178,"Cleveland Gardens, Bayswater",1279287600000,false
BikePoints_165,false,true,,002585,"Orsett Terrace, Bayswater",1279287960000,false
BikePoints_166,false,true,,001177,"Seville Street, Knightsbridge",1279288140000,false
