locked,install_date,terminal_name,common_name,temporary,place_id,installed,removal_date
false,1278947280000,001023,"River Street , Clerkenwell",false,BikePoints_1,true,
false,1278585780000,001018,"Phillimore Gardens, Kensington",false,BikePoints_2,true,
false,1278240360000,001012,"Christopher Street, Liverpool Street",false,BikePoints_3,true,
false,1278241080000,001013,"St. Chad's Street, King's Cross",false,BikePoints_4,true,
false,1278241440000,003420,"Sedding Street, Sloane Square",false,BikePoints_5,true,
false,1278241680000,003424,"Broadcasting House, Marylebone",false,BikePoints_6,true,
false,1278241800000,003422,"Charlbert Street, St. John's Wood",false,BikePoints_7,true,
false,1540984560000,003423,"Maida Vale, Maida Vale",false,BikePoints_8,true,
false,1278242340000,001015,"New Globe Walk, Bankside",false,BikePoints_9,true,
false,1278242460000,001024,"Park Street, Bankside",false,BikePoints_10,true,
false,1278340440000,001022,"Brunswick Square, Bloomsbury",false,BikePoints_11,true,
false,1278340620000,000980,"Malet Street, Bloomsbury",false,BikePoints_12,true,
false,1278340800000,000970,"Scala Street, Fitzrovia",false,BikePoints_13,true,
false,1278341040000,001011,"Belgrove Street , King's Cross",false,BikePoints_14,true,
false,1278341220000,000988,"Great Russell Street, Bloomsbury",false,BikePoints_15,true,
false,1278341400000,001010,"Cartwright Gardens , Bloomsbury",false,BikePoints_16,true,
false,1278423720000,001008,"Hatton Wall, Holborn",false,BikePoints_17,true,
false,1278426300000,001007,"Drury Lane, Covent Garden",false,BikePoints_18,true,
false,1278426720000,001009,"Taviton Street, Bloomsbury",false,BikePoints_19,true,
false,1544659200000,000993,"Drummond Street , Euston",false,BikePoints_20,true,
false,1278427740000,003426,"Lansdowne Drive, Hackney Central",false,BikePoints_21,true,
false,1278428880000,003425,"Northington Street , Holborn",false,BikePoints_22,true,
false,1278429300000,003421,"Red Lion Square, Holborn",false,BikePoints_23,true,
false,1278430140000,000981,"British Museum, Bloomsbury",false,BikePoints_24,true,
false,1278433200000,001004,"Doric Way , Somers Town",false,BikePoints_25,true,
false,1278434160000,001019,"Ampton Street , Clerkenwell",false,BikePoints_26,true,
false,1278500160000,001021,"Bouverie Street, Temple",false,BikePoints_27,true,
false,1278500460000,001025,"Bolsover Street, Fitzrovia",false,BikePoints_28,true,
false,1278501180000,001016,"Hereford Road, Bayswater",false,BikePoints_29,true,
false,1278501420000,001029,"Windsor Terrace, Hoxton",false,BikePoints_30,true,
false,1278501600000,003427,"Fanshaw Street, Hoxton",false,BikePoints_31,true,
false,1278506700000,001020,"Leonard Circus , Shoreditch",false,BikePoints_32,true,
false,1278506940000,003430,"Central House, Aldgate",false,BikePoints_33,true,
false,1278507060000,003428,"Pancras Road, King's Cross",false,BikePoints_34,true,
false,1278519900000,003446,"De Vere Gardens, Kensington",false,BikePoints_36,true,
false,1278520020000,003444,"Penywern Road, Earl's Court",false,BikePoints_37,true,
false,1278584880000,003442,"Abingdon Villas, Kensington",false,BikePoints_38,true,
false,1278601740000,003445,"Shoreditch High Street, Shoreditch",false,BikePoints_39,true,
false,1278601980000,001083,"Commercial Street, Shoreditch",false,BikePoints_40,true,
false,1278602280000,001084,"Pindar Street, Liverpool Street",false,BikePoints_41,true,
false,1278602700000,000979,"Wenlock Road , Hoxton",false,BikePoints_42,true,
false,1278687720000,001036,"Crawford Street, Marylebone",false,BikePoints_43,true,
false,1278687900000,001034,"Bruton Street, Mayfair",false,BikePoints_44,true,
