temporary,terminal_name,locked,common_name,install_date,place_id,installed,removal_date
false,001023,false,"River Street , Clerkenwell",1278947280000,BikePoints_1,true,
false,001018,false,"Phillimore Gardens, Kensington",1278585780000,BikePoints_2,true,
false,001013,false,"St. Chad's Street, King's Cross",1278241080000,BikePoints_4,true,
false,003420,false,"Sedding Street, Sloane Square",1278241440000,BikePoints_5,true,
false,003424,false,"Broadcasting House, Marylebone",1278241680000,BikePoints_6,true,
false,003422,false,"Charlbert Street, St. John's Wood",1278241800000,BikePoints_7,true,
false,003423,false,"Maida Vale, Maida Vale",1540984560000,BikePoints_8,true,
false,001015,false,"New Globe Walk, Bankside",1278242340000,BikePoints_9,true,
false,001024,false,"Park Street, Bankside",1278242460000,BikePoints_10,true,
false,001022,false,"Brunswick Square, Bloomsbury",1278340440000,BikePoints_11,true,
false,000980,false,"Malet Street, Bloomsbury",1278340620000,BikePoints_12,true,
false,000970,false,"Scala Street, Fitzrovia",1278340800000,BikePoints_13,true,
false,001011,false,"Belgrove Street , King's Cross",1278341040000,BikePoints_14,true,
false,000988,false,"Great Russell Street, Bloomsbury",1278341220000,BikePoints_15,true,
false,001010,false,"Cartwright Gardens , Bloomsbury",1278341400000,BikePoints_16,true,
false,001008,false,"Hatton Wall, Holborn",1278423720000,BikePoints_17,true,
false,001007,false,"Drury Lane, Covent Garden",1278426300000,BikePoints_18,true,
false,001009,false,"Taviton Street, Bloomsbury",1278426720000,BikePoints_19,true,
false,000993,false,"Drummond Street , Euston",1544659200000,BikePoints_20,true,
false,003426,false,"Lansdowne Drive, Hackney Central",1278427740000,BikePoints_21,true,
false,003425,false,"Northington Street , Holborn",1278428880000,BikePoints_22,true,
false,003421,false,"Red Lion Square, Holborn",1278429300000,BikePoints_23,true,
false,000981,false,"British Museum, Bloomsbury",1278430140000,BikePoints_24,true,
false,001004,false,"Doric Way , Somers Town",1278433200000,BikePoints_25,true,
false,001019,false,"Ampton Street , Clerkenwell",1278434160000,BikePoints_26,true,
false,001021,false,"Bouverie Street, Temple",1278500160000,BikePoints_27,true,
false,001025,false,"Bolsover Street, Fitzrovia",1278500460000,BikePoints_28,true,
false,001016,false,"Hereford Road, Bayswater",1278501180000,BikePoints_29,true,
