temporary,install_date,terminal_name,locked,common_name,installed,place_id,removal_date
false,1278947280000,001023,false,"River Street , Clerkenwell",true,BikePoints_1,
false,1278585780000,001018,false,"Phillimore Gardens, Kensington",true,BikePoints_2,
false,1278240360000,001012,false,"Christopher Street, Liverpool Street",true,BikePoints_3,
false,1278241080000,001013,false,"St. Chad's Street, King's Cross",true,BikePoints_4,
false,1278241440000,003420,false,"Sedding Street, Sloane Square",true,BikePoints_5,
false,1278241680000,003424,false,"Broadcasting House, Marylebone",true,BikePoints_6,
false,1278241800000,003422,false,"Charlbert Street, St. John's Wood",true,BikePoints_7,
false,1540984560000,003423,false,"Maida Vale, Maida Vale",true,BikePoints_8,
false,1278242340000,001015,false,"New Globe Walk, Bankside",true,BikePoints_9,
false,1278242460000,001024,false,"Park Street, Bankside",true,BikePoints_10,
false,1278340440000,001022,false,"Brunswick Square, Bloomsbury",true,BikePoints_11,
false,1278340620000,000980,false,"Malet Street, Bloomsbury",true,BikePoints_12,
false,1278340800000,000970,false,"Scala Street, Fitzrovia",true,BikePoints_13,
false,1278341040000,001011,false,"Belgrove Street , King's Cross",true,BikePoints_14,
false,1278341220000,000988,false,"Great Russell Street, Bloomsbury",true,BikePoints_15,
false,1278341400000,001010,false,"Cartwright Gardens , Bloomsbury",true,BikePoints_16,
false,1278423720000,001008,false,"Hatton Wall, Holborn",true,BikePoints_17,
false,1278426300000,001007,false,"Drury Lane, Covent Garden",true,BikePoints_18,
false,1278426720000,001009,false,"Taviton Street, Bloomsbury",true,BikePoints_19,
false,1544659200000,000993,false,"Drummond Street , Euston",true,BikePoints_20,
false,1278427740000,003426,false,"Lansdowne Drive, Hackney Central",true,BikePoints_21,
false,1278428880000,003425,false,"Northington Street , Holborn",true,BikePoints_22,
false,1278429300000,003421,false,"Red Lion Square, Holborn",true,BikePoints_23,
false,1278430140000,000981,false,"British Museum, Bloomsbury",true,BikePoints_24,
false,1278433200000,001004,false,"Doric Way , Somers Town",true,BikePoints_25,
false,1278434160000,001019,false,"Ampton Street , Clerkenwell",true,BikePoints_26,
false,1278500160000,001021,false,"Bouverie Street, Temple",true,BikePoints_27,
false,1278500460000,001025,false,"Bolsover Street, Fitzrovia",true,BikePoints_28,
false,1278501180000,001016,false,"Hereford Road, Bayswater",true,BikePoints_29,
false,1278501420000,001029,false,"Windsor Terrace, Hoxton",true,BikePoints_30,
false,1278501600000,003427,false,"Fanshaw Street, Hoxton",true,BikePoints_31,
false,1278506700000,001020,false,"Leonard Circus , Shoreditch",true,BikePoints_32,
false,1278506940000,003430,false,"Central House, Aldgate",true,BikePoints_33,
false,1278507060000,003428,false,"Pancras Road, King's Cross",true,BikePoints_34,
false,1278519900000,003446,false,"De Vere Gardens, Kensington",true,BikePoints_36,
false,1278520020000,003444,false,"Penywern Road, Earl's Court",true,BikePoints_37,
false,1278584880000,003442,false,"Abingdon Villas, Kensington",true,BikePoints_38,
false,1278601740000,003445,false,"Shoreditch High Street, Shoreditch",true,BikePoints_39,
false,1278601980000,001083,false,"Commercial Street, Shoreditch",true,BikePoints_40,
false,1278602280000,001084,false,"Pindar Street, Liverpool Street",true,BikePoints_41,
false,1278602700000,000979,false,"Wenlock Road , Hoxton",true,BikePoints_42,
false,1278687720000,001036,false,"Crawford Street, Marylebone",true,BikePoints_43,
false,1278687900000,001034,false,"Bruton Street, Mayfair",true,BikePoints_44,
false,1278691320000,001035,false,"Boston Place, Marylebone",true,BikePoints_45,
false,1278691800000,001031,false,"Nesham Street, Wapping",true,BikePoints_46,
false,1278749160000,001027,false,"Warwick Avenue Station, Maida Vale",true,BikePoints_47,
false,1278749460000,000971,false,"Godliman Street, St. Paul's",true,BikePoints_48,
false,1278749940000,003437,false,"Curzon Street, Mayfair",true,BikePoints_49,
false,1278750240000,001054,false,"East Road, Hoxton",true,BikePoints_50,
false,1278750540000,000986,false,"Finsbury Library , Finsbury",true,BikePoints_51,
false,1278750840000,001026,false,"Roscoe Street, St. Luke's",true,BikePoints_52,
false,1278752580000,003431,false,"Grafton Street, Mayfair",true,BikePoints_53,
false,1278766740000,000967,false,"Golden Lane, Barbican",true,BikePoints_54,
false,1278766980000,000984,false,"Finsbury Circus, Liverpool Street",true,BikePoints_55,
false,1278767220000,001033,false,"Paddington Street, Marylebone",true,BikePoints_56,
false,1278767460000,000974,false,"Guilford Street , Bloomsbury",true,BikePoints_57,
false,1278767700000,001032,false,"New Inn Yard, Shoreditch",true,BikePoints_58,
false,1278769140000,001030,false,"Lisson Grove, St. John's Wood",true,BikePoints_60,
false,1278773820000,001017,false,"Great Dover Street, The Borough",true,BikePoints_61,
false,1278773940000,000990,false,"Cotton Garden Estate, Kennington",true,BikePoints_62,
false,1278774120000,000989,false,"Murray Grove , Hoxton",true,BikePoints_63,
false,1278774300000,001028,false,"William IV Street, Strand",true,BikePoints_64,
false,1278845280000,000982,false,"Holborn Circus, Holborn",true,BikePoints_66,
false,1278847440000,000985,false,"Hatton Garden, Holborn",true,BikePoints_67,
false,1278857040000,000975,false,"Theobald's Road , Holborn",true,BikePoints_68,
false,1278861540000,000983,false,"Euston Road, Euston",true,BikePoints_69,
false,1278863340000,001066,false,"Calshot Street , King's Cross",true,BikePoints_70,
false,1278924900000,001074,false,"Newgate Street , St. Paul's",true,BikePoints_71,
false,1276948860000,003432,false,"Farringdon Lane, Clerkenwell",true,BikePoints_72,
false,1278941040000,001064,false,"Old Street Station, St. Luke's",true,BikePoints_73,
false,1278941160000,001000,false,"Vauxhall Cross, Vauxhall",true,BikePoints_74,
false,1278945180000,001060,false,"Torrens Street, Angel",true,BikePoints_75,
false,1278946560000,000976,false,"Longford Street, The Regent's Park",true,BikePoints_76,
false,1278946860000,000978,false,"Russell Square Station, Bloomsbury",true,BikePoints_77,
false,1278948480000,003433,false,"Sadlers Sports Centre, Finsbury",true,BikePoints_78,
false,1509018360000,003455,false,"Arundel Street, Temple",true,BikePoints_79,
