locked,temporary,installed,common_name,place_id,install_date,removal_date,terminal_name
false,false,true,"River Street , Clerkenwell",BikePoints_1,1278947280000,,001023
false,false,true,"Phillimore Gardens, Kensington",BikePoints_2,1278585780000,,001018
false,false,true,"Christopher Street, Liverpool Street",BikePoints_3,1278240360000,,001012
false,false,true,"St. Chad's Street, King's Cross",BikePoints_4,1278241080000,,001013
false,false,true,"Sedding Street, Sloane Square",BikePoints_5,1278241440000,,003420
false,false,true,"Broadcasting House, Marylebone",BikePoints_6,1278241680000,,003424
false,false,true,"Charlbert Street, St. John's Wood",BikePoints_7,1278241800000,,003422
false,false,true,"Maida Vale, Maida Vale",BikePoints_8,1540984560000,,003423
false,false,true,"New Globe Walk, Bankside",BikePoints_9,1278242340000,,001015
false,false,true,"Park Street, Bankside",BikePoints_10,1278242460000,,001024
false,false,true,"Brunswick Square, Bloomsbury",BikePoints_11,1278340440000,,001022
false,false,true,"Malet Street, Bloomsbury",BikePoints_12,1278340620000,,000980
false,false,true,"Scala Street, Fitzrovia",BikePoints_13,1278340800000,,000970
false,false,true,"Belgrove Street , King's Cross",BikePoints_14,1278341040000,,001011
false,false,true,"Great Russell Street, Bloomsbury",BikePoints_15,1278341220000,,000988
false,false,true,"Cartwright Gardens , Bloomsbury",BikePoints_16,1278341400000,,001010
false,false,true,"Hatton Wall, Holborn",BikePoints_17,1278423720000,,001008
false,false,true,"Drury Lane, Covent Garden",BikePoints_18,1278426300000,,001007
false,false,true,"Taviton Street, Bloomsbury",BikePoints_19,1278426720000,,001009
false,false,true,"Drummond Street , Euston",BikePoints_20,1544659200000,,000993
false,false,true,"Lansdowne Drive, Hackney Central",BikePoints_21,1278427740000,,003426
false,false,true,"Northington Street , Holborn",BikePoints_22,1278428880000,,003425
false,false,true,"Red Lion Square, Holborn",BikePoints_23,1278429300000,,003421
false,false,true,"British Museum, Bloomsbury",BikePoints_24,1278430140000,,000981
false,false,true,"Doric Way , Somers Town",BikePoints_25,1278433200000,,001004
false,false,true,"Ampton Street , Clerkenwell",BikePoints_26,1278434160000,,001019
false,false,true,"Bouverie Street, Temple",BikePoints_27,1278500160000,,001021
false,false,true,"Bolsover Street, Fitzrovia",BikePoints_28,1278500460000,,001025
false,false,true,"Hereford Road, Bayswater",BikePoints_29,1278501180000,,001016
false,false,true,"Windsor Terrace, Hoxton",BikePoints_30,1278501420000,,001029
false,false,true,"Fanshaw Street, Hoxton",BikePoints_31,1278501600000,,003427
false,false,true,"Leonard Circus , Shoreditch",BikePoints_32,1278506700000,,001020
false,false,true,"Central House, Aldgate",BikePoints_33,1278506940000,,003430
false,false,true,"Pancras Road, King's Cross",BikePoints_34,1278507060000,,003428
false,false,true,"De Vere Gardens, Kensington",BikePoints_36,1278519900000,,003446
false,false,true,"Penywern Road, Earl's Court",BikePoints_37,1278520020000,,003444
false,false,true,"Abingdon Villas, Kensington",BikePoints_38,1278584880000,,003442
false,false,true,"Shoreditch High Street, Shoreditch",BikePoints_39,1278601740000,,003445
false,false,true,"Commercial Street, Shoreditch",BikePoints_40,1278601980000,,001083
false,false,true,"Pindar Street, Liverpool Street",BikePoints_41,1278602280000,,001084
false,false,true,"Wenlock Road , Hoxton",BikePoints_42,1278602700000,,000979
false,false,true,"Crawford Street, Marylebone",BikePoints_43,1278687720000,,001036
false,false,true,"Bruton Street, Mayfair",BikePoints_44,1278687900000,,001034
false,false,true,"Boston Place, Marylebone",BikePoints_45,1278691320000,,001035
false,false,true,"Nesham Street, Wapping",BikePoints_46,1278691800000,,001031
false,false,true,"Warwick Avenue Station, Maida Vale",BikePoints_47,1278749160000,,001027
false,false,true,"Godliman Street, St. Paul's",BikePoints_48,1278749460000,,000971
false,false,true,"Curzon Street, Mayfair",BikePoints_49,1278749940000,,003437
false,false,true,"East Road, Hoxton",BikePoints_50,1278750240000,,001054
false,false,true,"Finsbury Library , Finsbury",BikePoints_51,1278750540000,,000986
false,false,true,"Roscoe Street, St. Luke's",BikePoints_52,1278750840000,,001026
false,false,true,"Grafton Street, Mayfair",BikePoints_53,1278752580000,,003431
false,false,true,"Golden Lane, Barbican",BikePoints_54,1278766740000,,000967
false,false,true,"Finsbury Circus, Liverpool Street",BikePoints_55,1278766980000,,000984
false,false,true,"Paddington Street, Marylebone",BikePoints_56,1278767220000,,001033
false,false,true,"Guilford Street , Bloomsbury",BikePoints_57,1278767460000,,000974
false,false,true,"New Inn Yard, Shoreditch",BikePoints_58,1278767700000,,001032
false,false,true,"Lisson Grove, St. John's Wood",BikePoints_60,1278769140000,,001030
false,false,true,"Great Dover Street, The Borough",BikePoints_61,1278773820000,,001017
false,false,true,"Cotton Garden Estate, Kennington",BikePoints_62,1278773940000,,000990
false,false,true,"Murray Grove , Hoxton",BikePoints_63,1278774120000,,000989
false,false,true,"William IV Street, Strand",BikePoints_64,1278774300000,,001028
false,false,true,"Holborn Circus, Holborn",BikePoints_66,1278845280000,,000982
false,false,true,"Hatton Garden, Holborn",BikePoints_67,1278847440000,,000985
false,false,true,"Theobald's Road , Holborn",BikePoints_68,1278857040000,,000975
false,false,true,"Euston Road, Euston",BikePoints_69,1278861540000,,000983
false,false,true,"Calshot Street , King's Cross",BikePoints_70,1278863340000,,001066
false,false,true,"Newgate Street , St. Paul's",BikePoints_71,1278924900000,,001074
false,false,true,"Farringdon Lane, Clerkenwell",BikePoints_72,1276948860000,,003432
false,false,true,"Old Street Station, St. Luke's",BikePoints_73,1278941040000,,001064
false,false,true,"Vauxhall Cross, Vauxhall",BikePoints_74,1278941160000,,001000
false,false,true,"Torrens Street, Angel",BikePoints_75,1278945180000,,001060
false,false,true,"Longford Street, The Regent's Park",BikePoints_76,1278946560000,,000976
false,false,true,"Russell Square Station, Bloomsbury",BikePoints_77,1278946860000,,000978
false,false,true,"Sadlers Sports Centre, Finsbury",BikePoints_78,1278948480000,,003433
false,false,true,"Arundel Street, Temple",BikePoints_79,1509018360000,,003455
false,false,true,"Webber Street , Southwark",BikePoints_80,1278952440000,,003448
false,false,true,"Great Titchfield Street, Fitzrovia",BikePoints_81,1279012980000,,003450
false,false,true,"Chancery Lane, Holborn",BikePoints_82,1279015680000,,003453
false,false,true,"Panton Street, West End",BikePoints_83,1279015800000,,003452
false,false,true,"Breams Buildings, Holborn",BikePoints_84,1279020240000,,003449
false,false,true,"Risinghill Street, Angel",BikePoints_339,1280160600000,,001127
false,false,true,"Bank of England Museum, Bank",BikePoints_340,1280248620000,,001201
false,false,true,"Craven Street, Strand",BikePoints_341,1280222160000,,001160
false,false,true,"London Zoo Car Park, The Regent's Park",BikePoints_343,1280224260000,,001188
false,false,true,"Goswell Road (City Uni), Finsbury",BikePoints_344,1280226120000,,001222
false,false,true,"Flood Street, Chelsea",BikePoints_345,1280229720000,,001218
false,false,true,"Lower Marsh, Waterloo",BikePoints_347,1283762460000,,001219
false,false,true,"Grosvenor Square, Mayfair",BikePoints_348,1284540540000,,010627
false,false,true,"St. George Street, Mayfair",BikePoints_349,1284543120000,,001221
false,false,true,"Queen's Gate, Kensington Gardens",BikePoints_350,1285756260000,,001231
false,false,true,"Macclesfield Rd, St Lukes",BikePoints_351,1286790480000,,001226
false,false,true,"Vauxhall Street, Vauxhall",BikePoints_352,1286796360000,,001224
false,false,true,"Greycoat Street , Westminster",BikePoints_353,1287652080000,,010623
false,false,true,"Northumberland Avenue, Strand",BikePoints_354,,,001097
false,false,true,"Clapham Common Station, Clapham Common",BikePoints_355,1287752460000,,002694
false,false,true,"South Kensington Station, South Kensington",BikePoints_356,1288009080000,,002685
false,false,true,"Howland Street, Fitzrovia",BikePoints_357,1288092420000,,002691
false,false,true,"High Holborn , Covent Garden",BikePoints_358,1290079860000,,001229
false,false,true,"Butler Place, Westminster",BikePoints_359,1288950960000,,002662
false,false,true,"Howick Place, Westminster",BikePoints_360,1288958160000,,002666
false,false,true,"Waterloo Station 2, Waterloo",BikePoints_361,1291902600000,,002692
false,false,true,"Royal College Street, Camden Town",BikePoints_362,1290080220000,,002686
false,false,true,"Lord's, St. John's Wood",BikePoints_363,1289911800000,,002665
false,false,true,"Store Street, Bloomsbury",BikePoints_364,1290080640000,,003507
false,false,true,"City Road, Angel",BikePoints_365,1290603600000,,002690
false,false,true,"Harrowby Street, Marylebone",BikePoints_367,,,002680
false,false,true,"Harriet Street, Knightsbridge",BikePoints_368,1291201680000,,002681
false,false,true,"Paddington Green, Paddington",BikePoints_370,1291647300000,,002670
false,false,true,"King Edward Walk, Waterloo",BikePoints_371,1291712820000,,002639
false,false,true,"Sardinia Street, Holborn",BikePoints_372,1291713000000,,002649
false,false,true,"Prince Consort Road, Knightsbridge",BikePoints_373,1295428320000,,003499
false,false,true,"Waterloo Station 1, Waterloo",BikePoints_374,1291725720000,,002696
false,false,true,"Kensington Town Hall, Kensington",BikePoints_375,1291805820000,,010632
false,false,true,"Millbank Tower, Pimlico",BikePoints_376,1294660980000,,002683
false,false,true,"Waterloo Bridge, South Bank",BikePoints_377,1295265420000,,002648
false,false,true,"Natural History Museum, South Kensington",BikePoints_378,1296121500000,,002677
false,false,true,"Turquoise Island, Notting Hill",BikePoints_379,1296121680000,,002682
false,false,true,"Stanhope Gate, Mayfair",BikePoints_380,1296125400000,,003506
false,false,true,"Charlotte Street, Fitzrovia",BikePoints_381,1296203760000,,002669
false,false,true,"Farm Street, Mayfair",BikePoints_382,1297159320000,,002678
false,false,true,"Frith Street, Soho",BikePoints_383,1296649200000,,002660
false,false,true,"Marloes Road, Kensington",BikePoints_384,1296731880000,,003505
