removal_date,locked,temporary,place_id,terminal_name,installed,common_name,install_date
,false,false,BikePoints_254,003471,true,"Chadwell Street, Angel",1279700940000
,false,false,BikePoints_255,001147,true,"Clifton Road, Maida Vale",1279702560000
,false,false,BikePoints_256,003484,true,"Houghton Street, Strand",1279708020000
,false,false,BikePoints_257,001194,true,"Westminster University, Marylebone",1279708140000
,false,false,BikePoints_258,001193,true,"Kensington Gore, Knightsbridge",1279708380000
,false,false,BikePoints_259,001180,true,"Bourne Street, Belgravia",1279709100000
,false,false,BikePoints_260,003489,true,"Broadwick Street, Soho",1279711020000
,false,false,BikePoints_261,003491,true,"Princes Square, Bayswater",1279711200000
,false,false,BikePoints_262,001095,true,"LSBU (Borough Road), Elephant & Castle",1279711620000
,false,false,BikePoints_263,001184,true,"St. Mary Axe, Aldgate",1279712160000
,false,false,BikePoints_264,001146,true,"Tysoe Street, Clerkenwell",1279712520000
,false,false,BikePoints_265,003490,true,"Southwick Street, Paddington",1279714320000
,false,false,BikePoints_266,001204,true,"Queen's Gate (North), Kensington",1279714560000
,false,false,BikePoints_267,001155,true,"Regency Street, Westminster",1279714740000
,false,false,BikePoints_268,001087,true,"Belgrave Road, Victoria",1279714920000
,false,false,BikePoints_269,001209,true,"Empire Square, The Borough",1279715100000
,false,false,BikePoints_270,001190,true,"Kennington Lane Rail Bridge, Vauxhall",1279720380000
,false,false,BikePoints_271,001136,true,"London Zoo,  The Regent's Park",1279720920000
,false,false,BikePoints_272,001133,true,"Baylis Road, Waterloo",1279721220000
,false,false,BikePoints_273,001186,true,"Belvedere Road 1, South Bank",1279721400000
,false,false,BikePoints_274,001134,true,"Warwick Road, Olympia",1279721580000
,false,false,BikePoints_275,001191,true,"Barbican Centre, Barbican",1279721880000
,false,false,BikePoints_276,001098,true,"Lower Thames Street, Monument",1279723200000
,false,false,BikePoints_277,001143,true,"Kensington Church Street, Kensington",1279723320000
,false,false,BikePoints_278,001142,true,"Tooley Street, Bermondsey",1279723500000
,false,false,BikePoints_279,001108,true,"North Wharf Road, Paddington",1279723740000
,false,false,BikePoints_280,003462,true,"Royal Avenue 2, Chelsea",1279726440000
,false,false,BikePoints_281,003480,true,"Smith Square, Westminster",1279726620000
,false,false,BikePoints_282,001077,true,"Royal London Hospital, Whitechapel",1279726980000
,false,false,BikePoints_283,001141,true,"Kingsway, Covent Garden",1279727220000
,false,false,BikePoints_284,001117,true,"Lambeth North Station, Waterloo",1279727580000
,false,false,BikePoints_286,001187,true,"St. John's Wood Road, St. John's Wood",1279727880000
,false,false,BikePoints_287,001156,true,"Bedford Way, Bloomsbury",1279728060000
,false,false,BikePoints_288,001138,true,"Elizabeth Bridge, Victoria",1279793820000
,false,false,BikePoints_289,003493,true,"South Audley Street, Mayfair",1279794060000
,false,false,BikePoints_290,003496,true,"St Mary's Hospital, Paddington",1279795140000
,false,false,BikePoints_291,001135,true,"Claverton Street, Pimlico",1279800420000
,false,false,BikePoints_292,001206,true,"Montpelier Street, Knightsbridge",1279800600000
,false,false,BikePoints_293,001214,true,"Kensington Olympia Station, Olympia",1279800780000
,false,false,BikePoints_294,001195,true,"St. George's Square, Pimlico",1279800900000
,false,false,BikePoints_295,001216,true,"Swan Street, The Borough",1279801080000
,false,false,BikePoints_296,200069,true,"Knaresborough Place, Earl's Court",1377258960000
,false,false,BikePoints_297,003498,true,"Geraldine Street, Elephant & Castle",1279801560000
,false,false,BikePoints_298,001213,true,"Curlew Street, Shad Thames",1279805640000
,false,false,BikePoints_299,001196,true,"Vincent Square, Westminster",1279808160000
,false,false,BikePoints_300,001217,true,"Serpentine Car Park, Hyde Park",1279808700000
,false,false,BikePoints_301,001152,true,"Marylebone Lane, Marylebone",1279809000000
,false,false,BikePoints_302,003492,true,"Putney Pier, Wandsworth",1279812360000
,false,false,BikePoints_303,001132,true,"Albert Gate, Hyde Park",1279812720000
,false,false,BikePoints_306,003497,true,"Rathbone Street, Fitzrovia",1279816260000
,false,false,BikePoints_307,001157,true,"Black Lion Gate, Kensington Gardens",1279816500000
,false,false,BikePoints_308,001189,true,"Long Lane , Bermondsey",1279816740000
,false,false,BikePoints_309,001192,true,"Embankment (Savoy), Strand",1279875060000
,false,false,BikePoints_310,001205,true,"Black Prince Road, Vauxhall",1279879560000
,false,false,BikePoints_311,003494,true,"Foley Street, Fitzrovia",1279880100000
,false,false,BikePoints_312,001130,true,"Grove End Road, St. John's Wood",1279880340000
,false,false,BikePoints_314,003485,true,"Tyers Gate, Bermondsey",1279884480000
,false,false,BikePoints_315,001199,true,"The Tennis Courts, The Regent's Park",1279884660000
1539845760000,false,false,BikePoints_316,000968,true,"Warwick Row, Westminster",1279884840000
,false,false,BikePoints_317,001208,true,"Dickens Square, Borough",1279885080000
,false,false,BikePoints_318,001197,true,"Sackville Street, Mayfair",1279885320000
,false,false,BikePoints_319,003500,true,"Baldwin Street, St. Luke's",1279890360000
,false,false,BikePoints_320,001148,true,"Queen Mother Sports Centre, Victoria",1279890840000
,false,false,BikePoints_321,002637,true,"Bermondsey Street, Bermondsey",1279891020000
,false,false,BikePoints_322,003502,true,"Palissy Street, Shoreditch",1279891920000
,false,false,BikePoints_323,003501,true,"Clifton Street, Shoreditch",1279892040000
,false,false,BikePoints_324,001200,true,"Ontario Street, Elephant & Castle",1279894920000
,false,false,BikePoints_325,001158,true,"St. Martin's Street, West End",1279896660000
,false,false,BikePoints_326,001131,true,"Graham Street, Angel",1279896840000
,false,false,BikePoints_327,001128,true,"New North Road 1, Hoxton",1280133420000
,false,false,BikePoints_328,002641,true,"New North Road 2, Hoxton",1280133540000
,false,false,BikePoints_329,002636,true,"Prince Albert Road, The Regent's Park",1280133720000
,false,false,BikePoints_330,001203,true,"Eastbourne Mews, Paddington",1280141280000
,false,false,BikePoints_331,001211,true,"Bunhill Row, Moorgate",1280141460000
,false,false,BikePoints_332,001210,true,"Nevern Place, Earl's Court",1280142360000
,false,false,BikePoints_333,002633,true,"Palace Gardens Terrace, Notting Hill",1280142540000
,false,false,BikePoints_334,002635,true,"Concert Hall Approach 1, South Bank",1280147580000
,false,false,BikePoints_335,001207,true,"Tavistock Street, Covent Garden",1280152560000
,false,false,BikePoints_336,001212,true,"Concert Hall Approach 2, South Bank",1280152800000
,false,false,BikePoints_337,002589,true,"Pembridge Villas, Notting Hill",1280153100000
,false,false,BikePoints_615,200029,true,"Finlay Street, Fulham",1380288900000
,false,false,BikePoints_616,200098,true,"Aintree Street, Fulham",
,false,false,BikePoints_617,200028,true,"Elysium Place, Fulham",1380531540000
,false,false,BikePoints_618,300003,true,"Eel Brook Common, Walham Green",1380546540000
,false,false,BikePoints_619,300012,true,"Irene Road, Parsons Green",1380552360000
,false,false,BikePoints_620,300010,true,"Surrey Lane, Battersea",1380629040000
,false,false,BikePoints_621,200091,true,"Wandsworth Town Station, Wandsworth",1380899280000
,false,false,BikePoints_622,200172,true,"Lansdowne Road, Ladbroke Grove",1380901680000
,false,false,BikePoints_623,200186,true,"Nantes Close, Wandsworth",1381135320000
,false,false,BikePoints_624,200173,true,"Courland Grove, Wandsworth Road",1381224240000
,false,false,BikePoints_625,200190,true,"Queen's Circus, Battersea Park",1381227480000
,false,false,BikePoints_626,300008,true,"Normand Park, West Kensington",1381920300000
,false,false,BikePoints_627,200007,true,"Holden Street, Battersea",1381931400000
,false,false,BikePoints_628,200062,true,"William Morris Way, Sands End",1381414980000
,false,false,BikePoints_629,200187,true,"Morie Street, Wandsworth",1381479480000
,false,false,BikePoints_630,200194,true,"Clarence Walk, Stockwell",1381487100000
,false,false,BikePoints_631,200183,true,"Battersea Park Road, Nine Elms",1381245300000
,false,false,BikePoints_632,200176,true,"Sheepcote Lane, Battersea",1381220700000
,false,false,BikePoints_633,200116,true,"Vereker Road, West Kensington",1381402920000
,false,false,BikePoints_634,300002,true,"Brook Green South, Brook Green",1381743780000
,false,false,BikePoints_635,200215,true,"Greyhound Road, Hammersmith",1381756440000
,false,false,BikePoints_636,200180,true,"South Park, Sands End",1381846320000
,false,false,BikePoints_637,200191,true,"Spencer Park, Wandsworth Common",1381933680000
,false,false,BikePoints_638,300014,true,"Falcon Road, Clapham Junction",1381834020000
,false,false,BikePoints_639,200081,true,"Coomer Place, West Kensington",1381835700000
,false,false,BikePoints_640,200179,true,"Silverthorne Road, Battersea",1382010420000
,false,false,BikePoints_641,300025,true,"Archbishop's Park, Waterloo",1381926900000
,false,false,BikePoints_642,200192,true,"Fawcett Close, Battersea",1381934220000
,false,false,BikePoints_643,300026,true,"All Saints' Road, Portobello",1382010720000
,false,false,BikePoints_644,200182,true,"Rainville Road, Hammersmith",1382278560000
,false,false,BikePoints_645,200200,true,"Great Suffolk Street, The Borough",1382110800000
,false,false,BikePoints_646,200178,true,"Buckingham Gate, Westminster",1382084340000
,false,false,BikePoints_647,200181,true,"Richmond Way, Shepherd's Bush",1382347140000
,false,false,BikePoints_648,200171,true,"Peterborough Road, Sands End",1382352840000
,false,false,BikePoints_649,300009,true,"World's End Place, West Chelsea",1382348400000
,false,false,BikePoints_650,300034,true,"St. Mark's Road, North Kensington",1382438520000
,false,false,BikePoints_651,300030,true,"Thorndike Close, West Chelsea",1382441580000
,false,false,BikePoints_652,300022,true,"Evesham Street, Avondale",1381848540000
,false,false,BikePoints_653,200196,true,"Simpson Street, Clapham Junction",1382539860000
,false,false,BikePoints_654,200223,true,"Ashmole Estate, Oval",1382520000000
,false,false,BikePoints_655,200221,true,"Crabtree Lane, Fulham",1382611200000
,false,false,BikePoints_656,200040,true,"Broomhouse Lane, Parsons Green",1382614560000
,false,false,BikePoints_657,200220,true,"Blythe Road West, Shepherd's Bush",1382621400000
,false,false,BikePoints_658,300005,true,"Ethelburga Estate, Battersea Park",1383731100000
,false,false,BikePoints_659,200212,true,"Blackfriars Station, St. Paul's",1382697060000
,false,false,BikePoints_660,300020,true,"West Kensington Station, West Kensington",1382705340000
,false,false,BikePoints_661,300023,true,"All Saints Church, Portobello",1382887680000
,false,false,BikePoints_662,200189,true,"Phene Street, Chelsea",1382866680000
,false,false,BikePoints_663,200124,true,"Clarendon Road, Avondale",1382870040000
,false,false,BikePoints_664,300013,true,"Austin Road, Battersea Park",1382964300000
,false,false,BikePoints_665,200113,true,"Smugglers Way, Wandsworth",1382975700000
,false,false,BikePoints_667,200209,true,"Shepherd's Bush Road North, Shepherd's Bush",1383136140000
,false,false,BikePoints_668,300037,true,"Ravenscourt Park Station, Hammersmith",1383143160000
,false,false,BikePoints_669,300036,true,"Teversham Lane, Stockwell",1383147660000
,false,false,BikePoints_670,200169,true,"Ashley Crescent, Battersea",1383212640000
,false,false,BikePoints_671,300052,true,"Parsons Green Station, Parsons Green",1383217920000
,false,false,BikePoints_673,300051,true,"Hibbert Street, Battersea",1383319500000
,false,false,BikePoints_674,300035,true,"Carnegie Street, King's Cross",
,false,false,BikePoints_675,200126,true,"Usk Road, Clapham Junction",1383322320000
,false,false,BikePoints_676,200207,true,"Hartington Road, Stockwell",1383584400000
,false,false,BikePoints_677,200023,true,"Heath Road, Battersea",1383476160000
,false,false,BikePoints_678,200170,true,"Esmond Street, Putney",1383653580000
,false,false,BikePoints_679,200114,true,"Orbel Street, Battersea",1383661200000
,false,false,BikePoints_680,200210,true,"Westbridge Road, Battersea",1383657480000
,false,false,BikePoints_681,200043,true,"Bishop's Avenue, Fulham",1383733440000
,false,false,BikePoints_682,200059,true,"Crisp Road, Hammersmith",1383738240000
,false,false,BikePoints_683,200119,true,"Dorothy Road, Clapham Junction",1383750420000
,false,false,BikePoints_684,200188,true,"Neville Gill Close, Wandsworth",1383823380000
,false,false,BikePoints_685,200219,true,"Osiers Road, Wandsworth",1383827400000
,false,false,BikePoints_686,200097,true,"Beryl Road, Hammersmith",1383835560000
,false,false,BikePoints_688,200204,true,"Northfields, Wandsworth",1383915240000
,false,false,BikePoints_689,200106,true,"Spanish Road, Clapham Junction",1383918180000
,false,false,BikePoints_690,200199,true,"Stanley Grove, Battersea",1383924660000
,false,false,BikePoints_691,200184,true,"Erin Close, Walham Green",1384763520000
,false,false,BikePoints_692,200112,true,"Cadogan Close, Victoria Park",1384166220000
,false,false,BikePoints_693,300019,true,"Felsham Road, Putney",1384001160000
,false,false,BikePoints_694,300033,true,"Putney Rail Station, Putney",1384004640000
,false,false,BikePoints_695,300031,true,"Islington Green, Angel",1384172820000
,false,false,BikePoints_696,300018,true,"Charing Cross Hospital, Hammersmith",1384180020000
,false,false,BikePoints_697,200129,true,"Charlotte Terrace, Angel",1384251120000
,false,false,BikePoints_1,001023,true,"River Street , Clerkenwell",1278947280000
,false,false,BikePoints_2,001018,true,"Phillimore Gardens, Kensington",1278585780000
,false,false,BikePoints_3,001012,true,"Christopher Street, Liverpool Street",1278240360000
,false,false,BikePoints_4,001013,true,"St. Chad's Street, King's Cross",1278241080000
,false,false,BikePoints_5,003420,true,"Sedding Street, Sloane Square",1278241440000
,false,false,BikePoints_6,003424,true,"Broadcasting House, Marylebone",1278241680000
,false,false,BikePoints_7,003422,true,"Charlbert Street, St. John's Wood",1278241800000
,false,false,BikePoints_8,003423,true,"Maida Vale, Maida Vale",1540984560000
,false,false,BikePoints_9,001015,true,"New Globe Walk, Bankside",1278242340000
,false,false,BikePoints_10,001024,true,"Park Street, Bankside",1278242460000
,false,false,BikePoints_11,001022,true,"Brunswick Square, Bloomsbury",1278340440000
,false,false,BikePoints_12,000980,true,"Malet Street, Bloomsbury",1278340620000
,false,false,BikePoints_13,000970,true,"Scala Street, Fitzrovia",1278340800000
,false,false,BikePoints_14,001011,true,"Belgrove Street , King's Cross",1278341040000
,false,false,BikePoints_15,000988,true,"Great Russell Street, Bloomsbury",1278341220000
,false,false,BikePoints_16,001010,true,"Cartwright Gardens , Bloomsbury",1278341400000
,false,false,BikePoints_17,001008,true,"Hatton Wall, Holborn",1278423720000
,false,false,BikePoints_18,001007,true,"Drury Lane, Covent Garden",1278426300000
,false,false,BikePoints_19,001009,true,"Taviton Street, Bloomsbury",1278426720000
,false,false,BikePoints_20,000993,true,"Drummond Street , Euston",1544659200000
,false,false,BikePoints_21,003426,true,"Lansdowne Drive, Hackney Central",1278427740000
,false,false,BikePoints_22,003425,true,"Northington Street , Holborn",1278428880000
,false,false,BikePoints_23,003421,true,"Red Lion Square, Holborn",1278429300000
,false,false,BikePoints_24,000981,true,"British Museum, Bloomsbury",1278430140000
,false,false,BikePoints_25,001004,true,"Doric Way , Somers Town",1278433200000
,false,false,BikePoints_26,001019,true,"Ampton Street , Clerkenwell",1278434160000
,false,false,BikePoints_27,001021,true,"Bouverie Street, Temple",1278500160000
,false,false,BikePoints_28,001025,true,"Bolsover Street, Fitzrovia",1278500460000
,false,false,BikePoints_29,001016,true,"Hereford Road, Bayswater",1278501180000
,false,false,BikePoints_30,001029,true,"Windsor Terrace, Hoxton",1278501420000
,false,false,BikePoints_31,003427,true,"Fanshaw Street, Hoxton",1278501600000
,false,false,BikePoints_32,001020,true,"Leonard Circus , Shoreditch",1278506700000
,false,false,BikePoints_33,003430,true,"Central House, Aldgate",1278506940000
,false,false,BikePoints_34,003428,true,"Pancras Road, King's Cross",1278507060000
,false,false,BikePoints_36,003446,true,"De Vere Gardens, Kensington",1278519900000
,false,false,BikePoints_37,003444,true,"Penywern Road, Earl's Court",1278520020000
,false,false,BikePoints_38,003442,true,"Abingdon Villas, Kensington",1278584880000
,false,false,BikePoints_39,003445,true,"Shoreditch High Street, Shoreditch",1278601740000
,false,false,BikePoints_40,001083,true,"Commercial Street, Shoreditch",1278601980000
,false,false,BikePoints_41,001084,true,"Pindar Street, Liverpool Street",1278602280000
,false,false,BikePoints_42,000979,true,"Wenlock Road , Hoxton",1278602700000
,false,false,BikePoints_43,001036,true,"Crawford Street, Marylebone",1278687720000
,false,false,BikePoints_44,001034,true,"Bruton Street, Mayfair",1278687900000
,false,false,BikePoints_45,001035,true,"Boston Place, Marylebone",1278691320000
,false,false,BikePoints_46,001031,true,"Nesham Street, Wapping",1278691800000
,false,false,BikePoints_47,001027,true,"Warwick Avenue Station, Maida Vale",1278749160000
,false,false,BikePoints_48,000971,true,"Godliman Street, St. Paul's",1278749460000
,false,false,BikePoints_49,003437,true,"Curzon Street, Mayfair",1278749940000
,false,false,BikePoints_50,001054,true,"East Road, Hoxton",1278750240000
