temporary,place_id,install_date,removal_date,common_name,terminal_name,installed,locked
false,BikePoints_254,1279700940000,,"Chadwell Street, Angel",003471,true,false
false,BikePoints_255,1279702560000,,"Clifton Road, Maida Vale",001147,true,false
false,BikePoints_256,1279708020000,,"Houghton Street, Strand",003484,true,false
false,BikePoints_257,1279708140000,,"Westminster University, Marylebone",001194,true,false
false,BikePoints_258,1279708380000,,"Kensington Gore, Knightsbridge",001193,true,false
false,BikePoints_259,1279709100000,,"Bourne Street, Belgravia",001180,true,false
false,BikePoints_260,1279711020000,,"Broadwick Street, Soho",003489,true,false
false,BikePoints_261,1279711200000,,"Princes Square, Bayswater",003491,true,false
false,BikePoints_262,1279711620000,,"LSBU (Borough Road), Elephant & Castle",001095,true,false
false,BikePoints_263,1279712160000,,"St. Mary Axe, Aldgate",001184,true,false
false,BikePoints_264,1279712520000,,"Tysoe Street, Clerkenwell",001146,true,false
false,BikePoints_265,1279714320000,,"Southwick Street, Paddington",003490,true,false
false,BikePoints_266,1279714560000,,"Queen's Gate (North), Kensington",001204,true,false
false,BikePoints_267,1279714740000,,"Regency Street, Westminster",001155,true,false
false,BikePoints_268,1279714920000,,"Belgrave Road, Victoria",001087,true,false
false,BikePoints_269,1279715100000,,"Empire Square, The Borough",001209,true,false
false,BikePoints_270,1279720380000,,"Kennington Lane Rail Bridge, Vauxhall",001190,true,false
false,BikePoints_271,1279720920000,,"London Zoo,  The Regent's Park",001136,true,false
false,BikePoints_272,1279721220000,,"Baylis Road, Waterloo",001133,true,false
false,BikePoints_273,1279721400000,,"Belvedere Road 1, South Bank",001186,true,false
false,BikePoints_274,1279721580000,,"Warwick Road, Olympia",001134,true,false
false,BikePoints_275,1279721880000,,"Barbican Centre, Barbican",001191,true,false
false,BikePoints_276,1279723200000,,"Lower Thames Street, Monument",001098,true,false
false,BikePoints_277,1279723320000,,"Kensington Church Street, Kensington",001143,true,false
false,BikePoints_278,1279723500000,,"Tooley Street, Bermondsey",001142,true,false
false,BikePoints_279,1279723740000,,"North Wharf Road, Paddington",001108,true,false
false,BikePoints_280,1279726440000,,"Royal Avenue 2, Chelsea",003462,true,false
false,BikePoints_281,1279726620000,,"Smith Square, Westminster",003480,true,false
false,BikePoints_282,1279726980000,,"Royal London Hospital, Whitechapel",001077,true,false
false,BikePoints_283,1279727220000,,"Kingsway, Covent Garden",001141,true,false
false,BikePoints_284,1279727580000,,"Lambeth North Station, Waterloo",001117,true,false
false,BikePoints_286,1279727880000,,"St. John's Wood Road, St. John's Wood",001187,true,false
