installed,temporary,place_id,terminal_name,common_name,removal_date,locked,install_date
true,false,BikePoints_254,003471,"Chadwell Street, Angel",,false,1279700940000
true,false,BikePoints_255,001147,"Clifton Road, Maida Vale",,false,1279702560000
true,false,BikePoints_256,003484,"Houghton Street, Strand",,false,1279708020000
true,false,BikePoints_257,001194,"Westminster University, Marylebone",,false,1279708140000
true,false,BikePoints_258,001193,"Kensington Gore, Knightsbridge",,false,1279708380000
true,false,BikePoints_259,001180,"Bourne Street, Belgravia",,false,1279709100000
true,false,BikePoints_260,003489,"Broadwick Street, Soho",,false,1279711020000
true,false,BikePoints_261,003491,"Princes Square, Bayswater",,false,1279711200000
true,false,BikePoints_262,001095,"LSBU (Borough Road), Elephant & Castle",,false,1279711620000
true,false,BikePoints_263,001184,"St. Mary Axe, Aldgate",,false,1279712160000
true,false,BikePoints_264,001146,"Tysoe Street, Clerkenwell",,false,1279712520000
true,false,BikePoints_265,003490,"Southwick Street, Paddington",,false,1279714320000
true,false,BikePoints_266,001204,"Queen's Gate (North), Kensington",,false,1279714560000
true,false,BikePoints_267,001155,"Regency Street, Westminster",,false,1279714740000
true,false,BikePoints_268,001087,"Belgrave Road, Victoria",,false,1279714920000
true,false,BikePoints_269,001209,"Empire Square, The Borough",,false,1279715100000
true,false,BikePoints_270,001190,"Kennington Lane Rail Bridge, Vauxhall",,false,1279720380000
true,false,BikePoints_271,001136,"London Zoo,  The Regent's Park",,false,1279720920000
true,false,BikePoints_272,001133,"Baylis Road, Waterloo",,false,1279721220000
true,false,BikePoints_273,001186,"Belvedere Road 1, South Bank",,false,1279721400000
true,false,BikePoints_274,001134,"Warwick Road, Olympia",,false,1279721580000
true,false,BikePoints_275,001191,"Barbican Centre, Barbican",,false,1279721880000
true,false,BikePoints_276,001098,"Lower Thames Street, Monument",,false,1279723200000
true,false,BikePoints_277,001143,"Kensington Church Street, Kensington",,false,1279723320000
true,false,BikePoints_278,001142,"Tooley Street, Bermondsey",,false,1279723500000
true,false,BikePoints_279,001108,"North Wharf Road, Paddington",,false,1279723740000
true,false,BikePoints_280,003462,"Royal Avenue 2, Chelsea",,false,1279726440000
true,false,BikePoints_281,003480,"Smith Square, Westminster",,false,1279726620000
true,false,BikePoints_282,001077,"Royal London Hospital, Whitechapel",,false,1279726980000
true,false,BikePoints_283,001141,"Kingsway, Covent Garden",,false,1279727220000
true,false,BikePoints_284,001117,"Lambeth North Station, Waterloo",,false,1279727580000
true,false,BikePoints_286,001187,"St. John's Wood Road, St. John's Wood",,false,1279727880000
true,false,BikePoints_287,001156,"Bedford Way, Bloomsbury",,false,1279728060000
true,false,BikePoints_288,001138,"Elizabeth Bridge, Victoria",,false,1279793820000
true,false,BikePoints_289,003493,"South Audley Street, Mayfair",,false,1279794060000
