place_id,installed,temporary,terminal_name,removal_date,install_date,locked,common_name
BikePoints_4,true,false,001013,,1278241080000,false,"St. Chad's Street, King's Cross"
BikePoints_5,true,false,003420,,1278241440000,false,"Sedding Street, Sloane Square"
BikePoints_13,true,false,000970,,1278340800000,false,"Scala Street, Fitzrovia"
BikePoints_15,true,false,000988,,1278341220000,false,"Great Russell Street, Bloomsbury"
BikePoints_23,true,false,003421,,1278429300000,false,"Red Lion Square, Holborn"
BikePoints_25,true,false,001004,,1278433200000,false,"Doric Way , Somers Town"
BikePoints_40,true,false,001083,,1278601980000,false,"Commercial Street, Shoreditch"
BikePoints_42,true,false,000979,,1278602700000,false,"Wenlock Road , Hoxton"
BikePoints_51,true,false,000986,,1278750540000,false,"Finsbury Library , Finsbury"
BikePoints_54,true,false,000967,,1278766740000,false,"Golden Lane, Barbican"
BikePoints_57,true,false,000974,,1278767460000,false,"Guilford Street , Bloomsbury"
BikePoints_61,true,false,001017,,1278773820000,false,"Great Dover Street, The Borough"
BikePoints_62,true,false,000990,,1278773940000,false,"Cotton Garden Estate, Kennington"
BikePoints_63,true,false,000989,,1278774120000,false,"Murray Grove , Hoxton"
BikePoints_67,true,false,000985,,1278847440000,false,"Hatton Garden, Holborn"
BikePoints_69,true,false,000983,,1278861540000,false,"Euston Road, Euston"
BikePoints_70,true,false,001066,,1278863340000,false,"Calshot Street , King's Cross"
BikePoints_74,true,false,001000,,1278941160000,false,"Vauxhall Cross, Vauxhall"
BikePoints_75,true,false,001060,,1278945180000,false,"Torrens Street, Angel"
BikePoints_76,true,false,000976,,1278946560000,false,"Longford Street, The Regent's Park"
BikePoints_85,true,false,000994,,1279026060000,false,"Tanner Street, Bermondsey"
BikePoints_88,true,false,001006,,1279028280000,false,"Bayley Street , Bloomsbury"
BikePoints_91,true,false,001076,,1279036740000,false,"Walnut Tree Walk, Vauxhall"
BikePoints_92,true,false,001082,,1279037040000,false,"Borough Road, Elephant & Castle"
BikePoints_94,true,false,001070,,1279038420000,false,"Bricklayers Arms, Borough"
BikePoints_98,true,false,000972,,1279099080000,false,"Hampstead Road, Euston"
BikePoints_99,true,false,001085,,1279099680000,false,"Old Quebec Street, Marylebone"
BikePoints_100,true,false,001059,,1279099860000,false,"Albert Embankment, Vauxhall"
BikePoints_115,true,false,001062,,1279120680000,false,"Braham Street, Aldgate"
BikePoints_117,true,false,000998,,1279124220000,false,"Lollard Street, Vauxhall"
BikePoints_119,true,false,000964,,1279124760000,false,"Bath Street, St. Luke's"
BikePoints_121,true,false,001086,,1279189200000,false,"Baker Street, Marylebone"
BikePoints_122,true,false,001068,,1279190040000,false,"Norton Folgate, Liverpool Street"
BikePoints_123,true,false,000992,,1279191300000,false,"St. John Street, Finsbury"
BikePoints_124,true,false,001069,,1279191540000,false,"Eaton Square, Belgravia"
BikePoints_127,true,false,001063,,1279193520000,false,"Wood Street, Guildhall"
BikePoints_131,true,false,001005,,1279199280000,false,"Eversholt Street , Camden Town"
BikePoints_139,true,false,001078,,1279205460000,false,"Lambeth Road, Vauxhall"
BikePoints_141,true,false,001003,,1279210980000,false,"Chapel Place, Marylebone"
BikePoints_142,true,false,001001,,1279211220000,false,"West Cromwell Road, Earl's Court"
BikePoints_148,true,false,000965,,,false,"Tachbrook Street, Victoria"
BikePoints_149,true,false,001073,,1279215360000,false,"Kennington Road Post Office, Oval"
BikePoints_150,true,false,001002,,1279215540000,false,"Holy Trinity Brompton, Knightsbridge"
BikePoints_156,true,false,000966,,1279273080000,false,"New Kent Road, The Borough"
BikePoints_157,true,false,001094,,1279273200000,false,"Wright's Lane, Kensington"
BikePoints_164,true,false,001178,,1279287600000,false,"Cleveland Gardens, Bayswater"
BikePoints_166,true,false,001177,,1279288140000,false,"Seville Street, Knightsbridge"
BikePoints_170,true,false,001057,,1279290180000,false,"Hardwick Street, Clerkenwell"
BikePoints_173,true,false,001176,,1279292700000,false,"Waterloo Road, South Bank"
BikePoints_174,true,false,001100,,1279295940000,false,"Strand, Strand"
BikePoints_175,true,false,000997,,1529674980000,false,"Worship Street, Shoreditch"
BikePoints_176,true,false,001173,,1279297560000,false,"Gloucester Terrace, Bayswater"
