place_id,terminal_name,temporary,common_name,installed,install_date,removal_date,locked
BikePoints_4,001013,false,"St. Chad's Street, King's Cross",true,1278241080000,,false
BikePoints_5,003420,false,"Sedding Street, Sloane Square",true,1278241440000,,false
BikePoints_13,000970,false,"Scala Street, Fitzrovia",true,1278340800000,,false
BikePoints_15,000988,false,"Great Russell Street, Bloomsbury",true,1278341220000,,false
BikePoints_23,003421,false,"Red Lion Square, Holborn",true,1278429300000,,false
BikePoints_25,001004,false,"Doric Way , Somers Town",true,1278433200000,,false
BikePoints_40,001083,false,"Commercial Street, Shoreditch",true,1278601980000,,false
BikePoints_42,000979,false,"Wenlock Road , Hoxton",true,1278602700000,,false
BikePoints_51,000986,false,"Finsbury Library , Finsbury",true,1278750540000,,false
BikePoints_54,000967,false,"Golden Lane, Barbican",true,1278766740000,,false
BikePoints_57,000974,false,"Guilford Street , Bloomsbury",true,1278767460000,,false
BikePoints_61,001017,false,"Great Dover Street, The Borough",true,1278773820000,,false
BikePoints_62,000990,false,"Cotton Garden Estate, Kennington",true,1278773940000,,false
BikePoints_63,000989,false,"Murray Grove , Hoxton",true,1278774120000,,false
BikePoints_67,000985,false,"Hatton Garden, Holborn",true,1278847440000,,false
BikePoints_69,000983,false,"Euston Road, Euston",true,1278861540000,,false
BikePoints_70,001066,false,"Calshot Street , King's Cross",true,1278863340000,,false
BikePoints_74,001000,false,"Vauxhall Cross, Vauxhall",true,1278941160000,,false
BikePoints_75,001060,false,"Torrens Street, Angel",true,1278945180000,,false
BikePoints_76,000976,false,"Longford Street, The Regent's Park",true,1278946560000,,false
BikePoints_85,000994,false,"Tanner Street, Bermondsey",true,1279026060000,,false
BikePoints_88,001006,false,"Bayley Street , Bloomsbury",true,1279028280000,,false
BikePoints_91,001076,false,"Walnut Tree Walk, Vauxhall",true,1279036740000,,false
BikePoints_92,001082,false,"Borough Road, Elephant & Castle",true,1279037040000,,false
BikePoints_94,001070,false,"Bricklayers Arms, Borough",true,1279038420000,,false
BikePoints_98,000972,false,"Hampstead Road, Euston",true,1279099080000,,false
BikePoints_99,001085,false,"Old Quebec Street, Marylebone",true,1279099680000,,false
BikePoints_100,001059,false,"Albert Embankment, Vauxhall",true,1279099860000,,false
BikePoints_115,001062,false,"Braham Street, Aldgate",true,1279120680000,,false
BikePoints_117,000998,false,"Lollard Street, Vauxhall",true,1279124220000,,false
BikePoints_119,000964,false,"Bath Street, St. Luke's",true,1279124760000,,false
BikePoints_121,001086,false,"Baker Street, Marylebone",true,1279189200000,,false
BikePoints_122,001068,false,"Norton Folgate, Liverpool Street",true,1279190040000,,false
BikePoints_123,000992,false,"St. John Street, Finsbury",true,1279191300000,,false
BikePoints_124,001069,false,"Eaton Square, Belgravia",true,1279191540000,,false
BikePoints_127,001063,false,"Wood Street, Guildhall",true,1279193520000,,false
BikePoints_131,001005,false,"Eversholt Street , Camden Town",true,1279199280000,,false
BikePoints_139,001078,false,"Lambeth Road, Vauxhall",true,1279205460000,,false
BikePoints_141,001003,false,"Chapel Place, Marylebone",true,1279210980000,,false
BikePoints_142,001001,false,"West Cromwell Road, Earl's Court",true,1279211220000,,false
BikePoints_148,000965,false,"Tachbrook Street, Victoria",true,,,false
BikePoints_149,001073,false,"Kennington Road Post Office, Oval",true,1279215360000,,false
BikePoints_150,001002,false,"Holy Trinity Brompton, Knightsbridge",true,1279215540000,,false
BikePoints_156,000966,false,"New Kent Road, The Borough",true,1279273080000,,false
BikePoints_157,001094,false,"Wright's Lane, Kensington",true,1279273200000,,false
BikePoints_164,001178,false,"Cleveland Gardens, Bayswater",true,1279287600000,,false
BikePoints_166,001177,false,"Seville Street, Knightsbridge",true,1279288140000,,false
BikePoints_170,001057,false,"Hardwick Street, Clerkenwell",true,1279290180000,,false
BikePoints_173,001176,false,"Waterloo Road, South Bank",true,1279292700000,,false
BikePoints_174,001100,false,"Strand, Strand",true,1279295940000,,false
BikePoints_175,000997,false,"Worship Street, Shoreditch",true,1529674980000,,false
BikePoints_176,001173,false,"Gloucester Terrace, Bayswater",true,1279297560000,,false
BikePoints_182,001166,false,"Bell Street , Marylebone",true,1279363140000,,false
BikePoints_183,001165,false,"Riverlight North, Nine Elms",true,1279364160000,,false
BikePoints_184,001164,false,"Portland Place, Marylebone",true,1279364280000,,false
BikePoints_185,001174,false,"Alderney Street, Pimlico",true,1279365360000,,false
BikePoints_187,001172,false,"Queen's Gate (South), South Kensington",true,1279365720000,,false
BikePoints_189,001104,false,"Claremont Square, Angel",true,1279377180000,,false
BikePoints_190,001106,false,"Rampayne Street, Pimlico",true,1279381080000,,false
BikePoints_196,000961,false,"Union Street, The Borough",true,1279392479471,,false
BikePoints_197,000962,false,"Stamford Street, South Bank",true,1279392479520,,false
BikePoints_200,001105,false,"LMU Commercial Road, Whitechapel",true,1279441920000,,false
BikePoints_201,001162,false,"Dorset Square, Marylebone",true,1279444080000,,false
BikePoints_206,001171,false,"New Road 1 , Whitechapel",true,1279471380000,,false
BikePoints_207,001169,false,"Grosvenor Crescent, Belgravia",true,1279558140000,,false
BikePoints_208,001175,false,"Mallory Street, Marylebone",true,1279472580000,,false
BikePoints_219,001183,false,"Bramham Gardens, Earl's Court",true,1279545900000,,false
BikePoints_220,001179,false,"Chelsea Green, Chelsea",true,1279546320000,,false
BikePoints_221,001170,false,"Horseferry Road, Westminster",true,1279552200000,,false
BikePoints_222,001101,false,"Knightsbridge, Hyde Park",true,1279614120000,,false
BikePoints_231,001089,false,"Queen's Gate (Central), South Kensington",true,1279622820000,,false
BikePoints_234,001081,false,"Liverpool Road (N1 Centre), Angel",true,1279624680000,,false
BikePoints_238,001099,false,"Frampton Street, Paddington",true,1279627920000,,false
BikePoints_243,001103,false,"Gloucester Street, Pimlico",true,1279628940000,,false
BikePoints_247,001091,false,"St. John's Wood Church, The Regent's Park",true,1279639920000,,false
BikePoints_257,001194,false,"Westminster University, Marylebone",true,1279708140000,,false
BikePoints_259,001180,false,"Bourne Street, Belgravia",true,1279709100000,,false
BikePoints_262,001095,false,"LSBU (Borough Road), Elephant & Castle",true,1279711620000,,false
BikePoints_263,001184,false,"St. Mary Axe, Aldgate",true,1279712160000,,false
BikePoints_266,001204,false,"Queen's Gate (North), Kensington",true,1279714560000,,false
BikePoints_268,001087,false,"Belgrave Road, Victoria",true,1279714920000,,false
BikePoints_273,001186,false,"Belvedere Road 1, South Bank",true,1279721400000,,false
BikePoints_275,001191,false,"Barbican Centre, Barbican",true,1279721880000,,false
BikePoints_278,001142,false,"Tooley Street, Bermondsey",true,1279723500000,,false
BikePoints_282,001077,false,"Royal London Hospital, Whitechapel",true,1279726980000,,false
BikePoints_286,001187,false,"St. John's Wood Road, St. John's Wood",true,1279727880000,,false
BikePoints_292,001206,false,"Montpelier Street, Knightsbridge",true,1279800600000,,false
BikePoints_294,001195,false,"St. George's Square, Pimlico",true,1279800900000,,false
BikePoints_299,001196,false,"Vincent Square, Westminster",true,1279808160000,,false
BikePoints_308,001189,false,"Long Lane , Bermondsey",true,1279816740000,,false
