common_name,temporary,removal_date,installed,install_date,locked,place_id,terminal_name
"Tanner Street, Bermondsey",false,,true,1279026060000,false,BikePoints_85,000994
"Sancroft Street, Vauxhall",false,,true,1279027140000,false,BikePoints_86,003434
"Devonshire Square, Liverpool Street",false,,true,1279027680000,false,BikePoints_87,003438
"Bayley Street , Bloomsbury",false,,true,1279028280000,false,BikePoints_88,001006
"Tavistock Place, Bloomsbury",false,,true,1279029360000,false,BikePoints_89,003439
"Harrington Square 1, Camden Town",false,,true,1279030020000,false,BikePoints_90,001038
"Walnut Tree Walk, Vauxhall",false,,true,1279036740000,false,BikePoints_91,001076
"Borough Road, Elephant & Castle",false,,true,1279037040000,false,BikePoints_92,001082
"Cloudesley Road, Angel",false,,true,1279037760000,false,BikePoints_93,002586
"Bricklayers Arms, Borough",false,,true,1279038420000,false,BikePoints_94,001070
"Aldersgate Street, Barbican",false,,true,1279096560000,false,BikePoints_95,001065
"Falkirk Street, Hoxton",false,,true,1279096980000,false,BikePoints_96,001047
"Gloucester Road (North), Kensington",false,,true,1279097580000,false,BikePoints_97,003447
"Hampstead Road, Euston",false,,true,1279099080000,false,BikePoints_98,000972
"Old Quebec Street, Marylebone",false,,true,1279099680000,false,BikePoints_99,001085
"Albert Embankment, Vauxhall",false,,true,1279099860000,false,BikePoints_100,001059
"Queen Street 1, Bank",false,,true,1279102680000,false,BikePoints_101,000999
"Jewry Street, Aldgate",false,,true,1279102860000,false,BikePoints_102,001045
"Vicarage Gate, Kensington",false,,true,1279103520000,false,BikePoints_103,003441
"Crosswall, Tower",false,,true,1279103760000,false,BikePoints_104,000991
"Westbourne Grove, Bayswater",false,,true,1279105320000,false,BikePoints_105,001041
"Woodstock Street, Mayfair",false,,true,1279106880000,false,BikePoints_106,001042
"Finsbury Leisure Centre, St. Luke's",false,,true,1279107480000,false,BikePoints_107,001049
"Abbey Orchard Street, Westminster",false,,true,1279107720000,false,BikePoints_108,003429
"Soho Square , Soho",false,,true,1279108320000,false,BikePoints_109,001052
"Wellington Road, St. John's Wood",false,,true,1279108920000,false,BikePoints_110,001055
"Park Lane , Hyde Park",false,,true,1279109160000,false,BikePoints_111,001037
"Gloucester Road (Central), South Kensington",false,,true,1279116600000,false,BikePoints_113,003435
"Park Road (Baker Street), The Regent's Park",false,,true,1279119900000,false,BikePoints_114,001050
"Braham Street, Aldgate",false,,true,1279120680000,false,BikePoints_115,001062
"Little Argyll Street, West End",false,,true,1279122360000,false,BikePoints_116,000995
"Lollard Street, Vauxhall",false,,true,1279124220000,false,BikePoints_117,000998
"Rochester Row, Westminster",false,,true,1279124520000,false,BikePoints_118,003457
"Bath Street, St. Luke's",false,,true,1279124760000,false,BikePoints_119,000964
"The Guildhall, Guildhall",false,,true,1279187040000,false,BikePoints_120,001044
"Baker Street, Marylebone",false,,true,1279189200000,false,BikePoints_121,001086
"Norton Folgate, Liverpool Street",false,,true,1279190040000,false,BikePoints_122,001068
"St. John Street, Finsbury",false,,true,1279191300000,false,BikePoints_123,000992
"Eaton Square, Belgravia",false,,true,1279191540000,false,BikePoints_124,001069
"Borough High Street, The Borough",false,,true,1279192200000,false,BikePoints_125,000996
"Museum of London, Barbican",false,,true,1279193340000,false,BikePoints_126,001043
"Wood Street, Guildhall",false,,true,1279193520000,false,BikePoints_127,001063
"Emperor's Gate, South Kensington",false,,true,1279194060000,false,BikePoints_128,001116
"Golden Square, Soho",false,,true,1279198500000,false,BikePoints_129,003451
"Tower Gardens , Tower",false,,true,1279198800000,false,BikePoints_130,001071
"Eversholt Street , Camden Town",false,,true,1279199280000,false,BikePoints_131,001005
"Bethnal Green Road, Shoreditch",false,,true,1279199520000,false,BikePoints_132,000973
"Derry Street, Kensington",false,,true,1279200240000,false,BikePoints_133,003436
"Wapping High Street, Wapping",false,,true,1279200900000,false,BikePoints_134,001039
"Clerkenwell Green, Clerkenwell",false,,true,1279201080000,false,BikePoints_135,001053
"Queen Victoria Street, St. Paul's",false,,true,1279201200000,false,BikePoints_136,001048
"Green Street, Mayfair",false,,true,1279205220000,false,BikePoints_138,003464
"Lambeth Road, Vauxhall",false,,true,1279205460000,false,BikePoints_139,001078
"Finsbury Square , Moorgate",false,,true,1279205580000,false,BikePoints_140,001056
"Chapel Place, Marylebone",false,,true,1279210980000,false,BikePoints_141,001003
"West Cromwell Road, Earl's Court",false,,true,1279211220000,false,BikePoints_142,001001
"Pont Street, Knightsbridge",false,,true,1279211400000,false,BikePoints_143,001114
"Kennington Cross, Kennington",false,,true,1279211580000,false,BikePoints_144,001093
"Ilchester Place, Kensington",false,,true,1279212180000,false,BikePoints_145,001115
"Vauxhall Bridge , Pimlico",false,,true,1279212360000,false,BikePoints_146,001046
"Tachbrook Street, Victoria",false,,true,,false,BikePoints_148,000965
"Kennington Road Post Office, Oval",false,,true,1279215360000,false,BikePoints_149,001073
"Holy Trinity Brompton, Knightsbridge",false,,true,1279215540000,false,BikePoints_150,001002
"Chepstow Villas, Notting Hill",false,,true,1279215720000,false,BikePoints_151,001120
"Hampton Street, Walworth",false,,true,1279215900000,false,BikePoints_152,001118
"Bayswater Road, Hyde Park",false,,true,1279216080000,false,BikePoints_153,001096
"Waterloo Station 3, Waterloo",false,,true,,false,BikePoints_154,001072
"Lexham Gardens, Kensington",false,,true,1279272660000,false,BikePoints_155,001121
"New Kent Road, The Borough",false,,true,1279273080000,false,BikePoints_156,000966
"Wright's Lane, Kensington",false,,true,1279273200000,false,BikePoints_157,001094
"Trebovir Road, Earl's Court",false,,true,1279273320000,false,BikePoints_158,001113
"Waterloo Place, St. James's",false,,true,1279274280000,false,BikePoints_160,003458
"Guildhouse Street, Victoria",false,,true,1279286940000,false,BikePoints_161,003478
"Southampton Place, Holborn",false,,true,1279287120000,false,BikePoints_162,001123
"Sloane Avenue, Knightsbridge",false,,true,1279287300000,false,BikePoints_163,003461
"Cleveland Gardens, Bayswater",false,,true,1279287600000,false,BikePoints_164,001178
"Orsett Terrace, Bayswater",false,,true,1279287960000,false,BikePoints_165,002585
"Seville Street, Knightsbridge",false,,true,1279288140000,false,BikePoints_166,001177
"Eccleston Place, Victoria",false,,true,,false,BikePoints_167,003465
"Argyll Road, Kensington",false,,true,1279289400000,false,BikePoints_168,003463
"Exhibition Road Museums 1, South Kensington",false,,true,1319448720000,false,BikePoints_432,022158
"Wren Street, Holborn",false,,true,1323361560000,false,BikePoints_433,022169
"Kennington Station, Kennington",false,,true,1323346020000,false,BikePoints_435,022170
"Red Lion Street, Holborn",false,,true,1323350220000,false,BikePoints_436,022171
"Vauxhall Walk, Vauxhall",false,,true,1325746380000,false,BikePoints_437,200056
"Killick Street, King's Cross",false,,true,1325705460000,false,BikePoints_439,200053
"Kennington Oval, Oval",false,,true,1325708160000,false,BikePoints_440,200032
"Sail Street, Vauxhall",false,,true,1325711220000,false,BikePoints_441,200039
"Walmer Road, Avondale",false,,true,1325940420000,false,BikePoints_442,200035
"Philpot Street, Whitechapel",false,,true,1325941800000,false,BikePoints_443,200033
"Bethnal Green Garden, Bethnal Green",false,,true,1325944680000,false,BikePoints_444,200047
"Cheshire Street, Bethnal Green",false,,true,1325945820000,false,BikePoints_445,200003
"York Hall, Bethnal Green",false,,true,1325948880000,false,BikePoints_446,200042
"Jubilee Crescent, Cubitt Town",false,,true,1325949000000,false,BikePoints_447,200054
"Fisherman's Walk West, Canary Wharf",false,,true,1325952660000,false,BikePoints_448,022165
"Shadwell Station, Shadwell",false,,true,1325952900000,false,BikePoints_449,200020
"Jubilee Street, Stepney",false,,true,1326105240000,false,BikePoints_450,200002
"Hermitage Court, Wapping",false,,true,1325501400000,false,BikePoints_451,200021
"St. Katharine's Way, Tower",false,,true,1326109140000,false,BikePoints_452,200049
"Garnet Street, Shadwell",false,,true,1326111060000,false,BikePoints_453,200045
"Napier Avenue, Millwall",false,,true,1326115380000,false,BikePoints_454,200046
"East Ferry Road, Cubitt Town",false,,true,1326117780000,false,BikePoints_455,200031
"Parkway, Camden Town",false,,true,1326197580000,false,BikePoints_456,200118
"Castlehaven Road, Camden Town",false,,true,1326203280000,false,BikePoints_457,200016
"Wapping Lane, Wapping",false,,true,1326294780000,false,BikePoints_458,200034
"Gunmakers Lane, Old Ford",false,,true,,false,BikePoints_459,200014
"Burdett Road, Mile End",false,,true,1326284820000,false,BikePoints_460,200123
"Aston Street, Stepney",true,,true,1326293640000,false,BikePoints_461,200013
"Bonny Street, Camden Town",false,,true,1326294600000,false,BikePoints_462,200105
"Thurtle Road, Haggerston",false,,true,,false,BikePoints_463,200093
"St. Mary & St. Michael Church, Stepney",false,,true,1326304980000,false,BikePoints_464,200082
"Pitfield Street North,Hoxton",false,,true,1333613280000,false,BikePoints_465,200152
"Whiston Road, Haggerston",false,,true,1326360000000,false,BikePoints_466,200158
"Southern Grove, Bow",false,,true,1326374040000,false,BikePoints_467,200168
"Cantrell Road, Bow",false,,true,1326375720000,false,BikePoints_468,200150
"Lindfield Street, Poplar",false,,true,1326381060000,false,BikePoints_469,022178
"Mostyn Grove, Bow",false,,true,1326790620000,false,BikePoints_470,200174
"Hewison Street, Old Ford",false,,true,1326790860000,false,BikePoints_471,200006
"Malmesbury Road, Bow",false,,true,1326791160000,false,BikePoints_472,200019
"Millharbour, Millwall",false,,true,1326816540000,false,BikePoints_473,022167
"Gascoyne Road, Victoria Park",false,,true,1326822960000,false,BikePoints_474,200155
"Lightermans Road, Millwall",false,,true,1326825480000,false,BikePoints_475,200004
"Stebondale Street, Cubitt Town",false,,true,1326962100000,false,BikePoints_476,200009
"Spindrift Avenue, Millwall",false,,true,1326963780000,false,BikePoints_477,200018
"Stepney Green Station, Stepney",false,,true,1326965580000,false,BikePoints_478,200012
"Pott Street, Bethnal Green",false,,true,1326966240000,false,BikePoints_479,200156
"Flamborough Street, Limehouse",false,,true,1326975420000,false,BikePoints_480,200115
"Saunders Ness Road, Cubitt Town",false,,true,1326996480000,false,BikePoints_481,200022
"Exhibition Road Museums 2, South Kensington",false,,true,1326996720000,false,BikePoints_482,200052
"Albert Gardens, Stepney",false,,true,1327088280000,false,BikePoints_483,022166
"Bromley High Street, Bow",false,,true,1327339740000,false,BikePoints_484,022172
"Old Ford Road, Bethnal Green",false,,true,1327255440000,false,BikePoints_485,022173
"Granby Street, Shoreditch",false,,true,1327338660000,false,BikePoints_486,022174
"Canton Street, Poplar",false,,true,1327936860000,false,BikePoints_487,022175
"Reardon Street, Wapping",false,,true,1327254960000,false,BikePoints_488,022176
"Pennington Street, Wapping",false,,true,,false,BikePoints_490,200090
"Queen Mary's, Mile End",false,,true,1327256220000,false,BikePoints_491,200249
"Maplin Street, Mile End",false,,true,1327256520000,false,BikePoints_492,200230
"South Quay East, Canary Wharf",false,,true,1327433220000,false,BikePoints_494,200233
"Bow Church Station, Bow",false,,true,1327340460000,false,BikePoints_495,200252
"Devons Road, Bow",false,,true,1327400820000,false,BikePoints_496,200255
"Merchant Street, Bow",false,,true,1327398420000,false,BikePoints_497,200242
"Bow Road Station, Bow",false,,true,1327398660000,false,BikePoints_498,200251
"Furze Green, Bow",false,,true,1327407960000,false,BikePoints_499,200011
"Ansell House, Stepney",false,,true,1327430040000,false,BikePoints_500,200148
"Cephas Street, Bethnal Green",false,,true,1327430220000,false,BikePoints_501,200073
"Bonner Gate, Victoria Park",false,,true,1563957840000,false,BikePoints_502,200241
"Cleveland Way, Stepney",false,,true,1327492920000,false,BikePoints_503,200250
"St. John's Park, Cubitt Town",false,,true,1327937820000,false,BikePoints_504,200243
"Ackroyd Drive, Bow",false,,true,1327937460000,false,BikePoints_505,200038
"Bell Lane, Liverpool Street",false,,true,1327938660000,false,BikePoints_506,200036
"Clarkson Street, Bethnal Green",false,,true,1327938420000,false,BikePoints_507,200131
"Fournier Street, Whitechapel",false,,true,1327938180000,false,BikePoints_508,200157
"Fore Street, Guildhall",false,,true,1327938120000,false,BikePoints_509,200253
"Westferry DLR, Limehouse",false,,true,,false,BikePoints_510,200238
"Sutton Street, Shadwell",false,,true,1327937940000,false,BikePoints_511,200256
"Pritchard's Road, Bethnal Green",false,,true,1328112600000,false,BikePoints_512,200083
"Watney Market, Stepney",false,,true,,false,BikePoints_513,200162
"Portman Square, Marylebone",false,,true,1328201520000,false,BikePoints_514,200008
"Russell Gardens, Olympia",false,,true,,false,BikePoints_515,200080
"Chrisp Street Market, Poplar",false,,true,1328202420000,false,BikePoints_516,200089
"Ford Road, Old Ford",false,,true,1326790860000,false,BikePoints_517,200027
"Antill Road, Mile End",false,,true,,false,BikePoints_518,200041
"Teviot Street, Poplar",false,,true,,false,BikePoints_519,200254
"Victoria & Albert Museum, South Kensington",false,,true,1446485340000,false,BikePoints_781,300032
"Halford Road, West Kensington",false,,true,1446485820000,false,BikePoints_782,300210
"Monier Road, Hackney Wick",false,,true,1448529660000,false,BikePoints_783,300213
"East Village, Queen Elizabeth Olympic Park",false,,true,1452789240000,false,BikePoints_784,300200
"Aquatic Centre, Queen Elizabeth Olympic Park",false,,true,1451908440000,false,BikePoints_785,300233
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",false,,true,1451918160000,false,BikePoints_786,300029
"Timber Lodge, Queen Elizabeth Olympic Park",false,,true,1451900700000,false,BikePoints_787,300227
"Copper Box Arena, Queen Elizabeth Olympic Park",false,,true,1451906880000,false,BikePoints_788,300226
"Podium, Queen Elizabeth Olympic Park",false,,true,1452507000000,false,BikePoints_789,300021
"Stratford Station, Stratford",false,,true,1452687420000,false,BikePoints_790,300234
"Blackfriars Road, Southwark",false,,true,1454926380000,false,BikePoints_792,300214
"Cromer Street, Bloomsbury",false,,true,1459424760000,false,BikePoints_793,300205
"Victoria Rise, Clapham Common",false,,true,1456404240000,false,BikePoints_794,300204
"Euston Square Gardens, Euston",false,,true,1456744740000,false,BikePoints_795,300203
"Coram Street, Bloomsbury",false,,true,1456746420000,false,BikePoints_796,300201
"Ossulston Street, Somers Town",false,,true,1456839540000,false,BikePoints_797,300211
"Birkenhead Street, King's Cross",false,,true,1464787980000,false,BikePoints_798,300212
"Kings Gate House, Westminster",false,,true,1464876480000,false,BikePoints_799,300202
"Sopwith Way, Battersea Park",false,,true,1457107140000,false,BikePoints_800,300248
"Lavington Street, Bankside",false,,true,1458824640000,false,BikePoints_801,300208
