common_name,place_id,locked,temporary,terminal_name,install_date,installed,removal_date
"Tanner Street, Bermondsey",BikePoints_85,false,false,000994,1279026060000,true,
"Sancroft Street, Vauxhall",BikePoints_86,false,false,003434,1279027140000,true,
"Devonshire Square, Liverpool Street",BikePoints_87,false,false,003438,1279027680000,true,
"Bayley Street , Bloomsbury",BikePoints_88,false,false,001006,1279028280000,true,
"Tavistock Place, Bloomsbury",BikePoints_89,false,false,003439,1279029360000,true,
"Harrington Square 1, Camden Town",BikePoints_90,false,false,001038,1279030020000,true,
"Walnut Tree Walk, Vauxhall",BikePoints_91,false,false,001076,1279036740000,true,
"Borough Road, Elephant & Castle",BikePoints_92,false,false,001082,1279037040000,true,
"Cloudesley Road, Angel",BikePoints_93,false,false,002586,1279037760000,true,
"Bricklayers Arms, Borough",BikePoints_94,false,false,001070,1279038420000,true,
"Aldersgate Street, Barbican",BikePoints_95,false,false,001065,1279096560000,true,
"Falkirk Street, Hoxton",BikePoints_96,false,false,001047,1279096980000,true,
"Gloucester Road (North), Kensington",BikePoints_97,false,false,003447,1279097580000,true,
"Hampstead Road, Euston",BikePoints_98,false,false,000972,1279099080000,true,
"Old Quebec Street, Marylebone",BikePoints_99,false,false,001085,1279099680000,true,
"Albert Embankment, Vauxhall",BikePoints_100,false,false,001059,1279099860000,true,
"Queen Street 1, Bank",BikePoints_101,false,false,000999,1279102680000,true,
"Jewry Street, Aldgate",BikePoints_102,false,false,001045,1279102860000,true,
"Vicarage Gate, Kensington",BikePoints_103,false,false,003441,1279103520000,true,
"Crosswall, Tower",BikePoints_104,false,false,000991,1279103760000,true,
"Westbourne Grove, Bayswater",BikePoints_105,false,false,001041,1279105320000,true,
"Woodstock Street, Mayfair",BikePoints_106,false,false,001042,1279106880000,true,
"Finsbury Leisure Centre, St. Luke's",BikePoints_107,false,false,001049,1279107480000,true,
"Abbey Orchard Street, Westminster",BikePoints_108,false,false,003429,1279107720000,true,
"Soho Square , Soho",BikePoints_109,false,false,001052,1279108320000,true,
"Wellington Road, St. John's Wood",BikePoints_110,false,false,001055,1279108920000,true,
"Park Lane , Hyde Park",BikePoints_111,false,false,001037,1279109160000,true,
"Gloucester Road (Central), South Kensington",BikePoints_113,false,false,003435,1279116600000,true,
"Park Road (Baker Street), The Regent's Park",BikePoints_114,false,false,001050,1279119900000,true,
"Braham Street, Aldgate",BikePoints_115,false,false,001062,1279120680000,true,
"Little Argyll Street, West End",BikePoints_116,false,false,000995,1279122360000,true,
"Lollard Street, Vauxhall",BikePoints_117,false,false,000998,1279124220000,true,
"Rochester Row, Westminster",BikePoints_118,false,false,003457,1279124520000,true,
"Bath Street, St. Luke's",BikePoints_119,false,false,000964,1279124760000,true,
"The Guildhall, Guildhall",BikePoints_120,false,false,001044,1279187040000,true,
"Baker Street, Marylebone",BikePoints_121,false,false,001086,1279189200000,true,
"Norton Folgate, Liverpool Street",BikePoints_122,false,false,001068,1279190040000,true,
"St. John Street, Finsbury",BikePoints_123,false,false,000992,1279191300000,true,
"Eaton Square, Belgravia",BikePoints_124,false,false,001069,1279191540000,true,
"Borough High Street, The Borough",BikePoints_125,false,false,000996,1279192200000,true,
"Museum of London, Barbican",BikePoints_126,false,false,001043,1279193340000,true,
"Wood Street, Guildhall",BikePoints_127,false,false,001063,1279193520000,true,
"Emperor's Gate, South Kensington",BikePoints_128,false,false,001116,1279194060000,true,
"Golden Square, Soho",BikePoints_129,false,false,003451,1279198500000,true,
"Tower Gardens , Tower",BikePoints_130,false,false,001071,1279198800000,true,
"Eversholt Street , Camden Town",BikePoints_131,false,false,001005,1279199280000,true,
"Bethnal Green Road, Shoreditch",BikePoints_132,false,false,000973,1279199520000,true,
"Derry Street, Kensington",BikePoints_133,false,false,003436,1279200240000,true,
"Wapping High Street, Wapping",BikePoints_134,false,false,001039,1279200900000,true,
"Clerkenwell Green, Clerkenwell",BikePoints_135,false,false,001053,1279201080000,true,
"Queen Victoria Street, St. Paul's",BikePoints_136,false,false,001048,1279201200000,true,
"Green Street, Mayfair",BikePoints_138,false,false,003464,1279205220000,true,
"Lambeth Road, Vauxhall",BikePoints_139,false,false,001078,1279205460000,true,
"Finsbury Square , Moorgate",BikePoints_140,false,false,001056,1279205580000,true,
