locked,terminal_name,removal_date,installed,common_name,place_id,temporary,install_date
false,001023,,true,"River Street , Clerkenwell",BikePoints_1,false,1278947280000
false,001018,,true,"Phillimore Gardens, Kensington",BikePoints_2,false,1278585780000
false,001012,,true,"Christopher Street, Liverpool Street",BikePoints_3,false,1278240360000
false,001013,,true,"St. Chad's Street, King's Cross",BikePoints_4,false,1278241080000
false,003420,,true,"Sedding Street, Sloane Square",BikePoints_5,false,1278241440000
false,003424,,true,"Broadcasting House, Marylebone",BikePoints_6,false,1278241680000
false,003422,,true,"Charlbert Street, St. John's Wood",BikePoints_7,false,1278241800000
false,003423,,true,"Maida Vale, Maida Vale",BikePoints_8,false,1540984560000
false,001015,,true,"New Globe Walk, Bankside",BikePoints_9,false,1278242340000
false,001024,,true,"Park Street, Bankside",BikePoints_10,false,1278242460000
false,001022,,true,"Brunswick Square, Bloomsbury",BikePoints_11,false,1278340440000
false,000980,,true,"Malet Street, Bloomsbury",BikePoints_12,false,1278340620000
false,000970,,true,"Scala Street, Fitzrovia",BikePoints_13,false,1278340800000
false,001011,,true,"Belgrove Street , King's Cross",BikePoints_14,false,1278341040000
false,000988,,true,"Great Russell Street, Bloomsbury",BikePoints_15,false,1278341220000
false,001010,,true,"Cartwright Gardens , Bloomsbury",BikePoints_16,false,1278341400000
false,001008,,true,"Hatton Wall, Holborn",BikePoints_17,false,1278423720000
false,001007,,true,"Drury Lane, Covent Garden",BikePoints_18,false,1278426300000
false,001009,,true,"Taviton Street, Bloomsbury",BikePoints_19,false,1278426720000
false,000993,,true,"Drummond Street , Euston",BikePoints_20,false,1544659200000
false,003426,,true,"Lansdowne Drive, Hackney Central",BikePoints_21,false,1278427740000
false,003425,,true,"Northington Street , Holborn",BikePoints_22,false,1278428880000
false,003421,,true,"Red Lion Square, Holborn",BikePoints_23,false,1278429300000
false,000981,,true,"British Museum, Bloomsbury",BikePoints_24,false,1278430140000
false,001004,,true,"Doric Way , Somers Town",BikePoints_25,false,1278433200000
false,001019,,true,"Ampton Street , Clerkenwell",BikePoints_26,false,1278434160000
false,001021,,true,"Bouverie Street, Temple",BikePoints_27,false,1278500160000
false,001025,,true,"Bolsover Street, Fitzrovia",BikePoints_28,false,1278500460000
false,001016,,true,"Hereford Road, Bayswater",BikePoints_29,false,1278501180000
false,001029,,true,"Windsor Terrace, Hoxton",BikePoints_30,false,1278501420000
false,003427,,true,"Fanshaw Street, Hoxton",BikePoints_31,false,1278501600000
false,001020,,true,"Leonard Circus , Shoreditch",BikePoints_32,false,1278506700000
false,003430,,true,"Central House, Aldgate",BikePoints_33,false,1278506940000
false,003428,,true,"Pancras Road, King's Cross",BikePoints_34,false,1278507060000
false,003446,,true,"De Vere Gardens, Kensington",BikePoints_36,false,1278519900000
false,003444,,true,"Penywern Road, Earl's Court",BikePoints_37,false,1278520020000
false,003442,,true,"Abingdon Villas, Kensington",BikePoints_38,false,1278584880000
false,003445,,true,"Shoreditch High Street, Shoreditch",BikePoints_39,false,1278601740000
false,001083,,true,"Commercial Street, Shoreditch",BikePoints_40,false,1278601980000
false,001084,,true,"Pindar Street, Liverpool Street",BikePoints_41,false,1278602280000
false,000979,,true,"Wenlock Road , Hoxton",BikePoints_42,false,1278602700000
false,001036,,true,"Crawford Street, Marylebone",BikePoints_43,false,1278687720000
false,001034,,true,"Bruton Street, Mayfair",BikePoints_44,false,1278687900000
false,001035,,true,"Boston Place, Marylebone",BikePoints_45,false,1278691320000
false,001031,,true,"Nesham Street, Wapping",BikePoints_46,false,1278691800000
false,001027,,true,"Warwick Avenue Station, Maida Vale",BikePoints_47,false,1278749160000
false,000971,,true,"Godliman Street, St. Paul's",BikePoints_48,false,1278749460000
false,003437,,true,"Curzon Street, Mayfair",BikePoints_49,false,1278749940000
false,001054,,true,"East Road, Hoxton",BikePoints_50,false,1278750240000
false,000986,,true,"Finsbury Library , Finsbury",BikePoints_51,false,1278750540000
false,001026,,true,"Roscoe Street, St. Luke's",BikePoints_52,false,1278750840000
false,003431,,true,"Grafton Street, Mayfair",BikePoints_53,false,1278752580000
false,000967,,true,"Golden Lane, Barbican",BikePoints_54,false,1278766740000
false,000984,,true,"Finsbury Circus, Liverpool Street",BikePoints_55,false,1278766980000
false,001033,,true,"Paddington Street, Marylebone",BikePoints_56,false,1278767220000
false,000974,,true,"Guilford Street , Bloomsbury",BikePoints_57,false,1278767460000
false,001032,,true,"New Inn Yard, Shoreditch",BikePoints_58,false,1278767700000
false,001030,,true,"Lisson Grove, St. John's Wood",BikePoints_60,false,1278769140000
false,001017,,true,"Great Dover Street, The Borough",BikePoints_61,false,1278773820000
false,000990,,true,"Cotton Garden Estate, Kennington",BikePoints_62,false,1278773940000
false,000989,,true,"Murray Grove , Hoxton",BikePoints_63,false,1278774120000
false,001028,,true,"William IV Street, Strand",BikePoints_64,false,1278774300000
false,000982,,true,"Holborn Circus, Holborn",BikePoints_66,false,1278845280000
false,000985,,true,"Hatton Garden, Holborn",BikePoints_67,false,1278847440000
false,000975,,true,"Theobald's Road , Holborn",BikePoints_68,false,1278857040000
false,000983,,true,"Euston Road, Euston",BikePoints_69,false,1278861540000
false,001066,,true,"Calshot Street , King's Cross",BikePoints_70,false,1278863340000
false,001074,,true,"Newgate Street , St. Paul's",BikePoints_71,false,1278924900000
false,003432,,true,"Farringdon Lane, Clerkenwell",BikePoints_72,false,1276948860000
false,001064,,true,"Old Street Station, St. Luke's",BikePoints_73,false,1278941040000
false,001000,,true,"Vauxhall Cross, Vauxhall",BikePoints_74,false,1278941160000
false,001060,,true,"Torrens Street, Angel",BikePoints_75,false,1278945180000
false,000976,,true,"Longford Street, The Regent's Park",BikePoints_76,false,1278946560000
false,000978,,true,"Russell Square Station, Bloomsbury",BikePoints_77,false,1278946860000
false,003433,,true,"Sadlers Sports Centre, Finsbury",BikePoints_78,false,1278948480000
false,003455,,true,"Arundel Street, Temple",BikePoints_79,false,1509018360000
false,003448,,true,"Webber Street , Southwark",BikePoints_80,false,1278952440000
false,003450,,true,"Great Titchfield Street, Fitzrovia",BikePoints_81,false,1279012980000
false,003453,,true,"Chancery Lane, Holborn",BikePoints_82,false,1279015680000
false,003452,,true,"Panton Street, West End",BikePoints_83,false,1279015800000
false,003449,,true,"Breams Buildings, Holborn",BikePoints_84,false,1279020240000
false,001212,,true,"Concert Hall Approach 2, South Bank",BikePoints_336,false,1280152800000
false,002589,,true,"Pembridge Villas, Notting Hill",BikePoints_337,false,1280153100000
false,001202,,true,"Wellington Street , Strand",BikePoints_338,false,1280158740000
false,001127,,true,"Risinghill Street, Angel",BikePoints_339,false,1280160600000
false,001201,,true,"Bank of England Museum, Bank",BikePoints_340,false,1280248620000
false,001160,,true,"Craven Street, Strand",BikePoints_341,false,1280222160000
false,001188,,true,"London Zoo Car Park, The Regent's Park",BikePoints_343,false,1280224260000
false,001222,,true,"Goswell Road (City Uni), Finsbury",BikePoints_344,false,1280226120000
false,001218,,true,"Flood Street, Chelsea",BikePoints_345,false,1280229720000
false,001219,,true,"Lower Marsh, Waterloo",BikePoints_347,false,1283762460000
false,010627,,true,"Grosvenor Square, Mayfair",BikePoints_348,false,1284540540000
false,001221,,true,"St. George Street, Mayfair",BikePoints_349,false,1284543120000
false,001231,,true,"Queen's Gate, Kensington Gardens",BikePoints_350,false,1285756260000
false,001226,,true,"Macclesfield Rd, St Lukes",BikePoints_351,false,1286790480000
false,001224,,true,"Vauxhall Street, Vauxhall",BikePoints_352,false,1286796360000
false,010623,,true,"Greycoat Street , Westminster",BikePoints_353,false,1287652080000
false,001097,,true,"Northumberland Avenue, Strand",BikePoints_354,false,
false,002694,,true,"Clapham Common Station, Clapham Common",BikePoints_355,false,1287752460000
false,002685,,true,"South Kensington Station, South Kensington",BikePoints_356,false,1288009080000
false,002691,,true,"Howland Street, Fitzrovia",BikePoints_357,false,1288092420000
false,001229,,true,"High Holborn , Covent Garden",BikePoints_358,false,1290079860000
false,002662,,true,"Butler Place, Westminster",BikePoints_359,false,1288950960000
false,002666,,true,"Howick Place, Westminster",BikePoints_360,false,1288958160000
false,002692,,true,"Waterloo Station 2, Waterloo",BikePoints_361,false,1291902600000
false,002686,,true,"Royal College Street, Camden Town",BikePoints_362,false,1290080220000
false,002665,,true,"Lord's, St. John's Wood",BikePoints_363,false,1289911800000
false,003507,,true,"Store Street, Bloomsbury",BikePoints_364,false,1290080640000
false,002690,,true,"City Road, Angel",BikePoints_365,false,1290603600000
false,002680,,true,"Harrowby Street, Marylebone",BikePoints_367,false,
false,002681,,true,"Harriet Street, Knightsbridge",BikePoints_368,false,1291201680000
false,002670,,true,"Paddington Green, Paddington",BikePoints_370,false,1291647300000
false,002639,,true,"King Edward Walk, Waterloo",BikePoints_371,false,1291712820000
false,002649,,true,"Sardinia Street, Holborn",BikePoints_372,false,1291713000000
false,003499,,true,"Prince Consort Road, Knightsbridge",BikePoints_373,false,1295428320000
false,002696,,true,"Waterloo Station 1, Waterloo",BikePoints_374,false,1291725720000
false,010632,,true,"Kensington Town Hall, Kensington",BikePoints_375,false,1291805820000
false,002683,,true,"Millbank Tower, Pimlico",BikePoints_376,false,1294660980000
false,002648,,true,"Waterloo Bridge, South Bank",BikePoints_377,false,1295265420000
false,002677,,true,"Natural History Museum, South Kensington",BikePoints_378,false,1296121500000
false,002682,,true,"Turquoise Island, Notting Hill",BikePoints_379,false,1296121680000
false,003506,,true,"Stanhope Gate, Mayfair",BikePoints_380,false,1296125400000
false,002669,,true,"Charlotte Street, Fitzrovia",BikePoints_381,false,1296203760000
false,002678,,true,"Farm Street, Mayfair",BikePoints_382,false,1297159320000
false,002660,,true,"Frith Street, Soho",BikePoints_383,false,1296649200000
false,003505,,true,"Marloes Road, Kensington",BikePoints_384,false,1296731880000
false,003504,,true,"Moor Street, Soho",BikePoints_386,false,1296732540000
false,002703,,true,"Fire Brigade Pier, Vauxhall",BikePoints_387,false,1297077540000
false,001228,,true,"Southampton Street, Strand",BikePoints_388,false,1297182180000
false,010621,,true,"Upper Grosvenor Street, Mayfair",BikePoints_389,false,1297347960000
false,001223,,true,"Buxton Street 1, Shoreditch",BikePoints_390,false,1297764360000
false,002688,1539846000000,true,"Clifford Street, Mayfair",BikePoints_391,false,1297956480000
false,001220,,true,"Imperial College, Knightsbridge",BikePoints_392,false,1297958700000
false,002699,,true,"Snow Hill, Farringdon",BikePoints_393,false,1298545440000
false,002698,,true,"Aberdeen Place, St. John's Wood",BikePoints_394,false,
false,002695,,true,"Cadogan Gardens, Chelsea",BikePoints_395,false,1298908800000
false,002693,,true,"Shouldham Street, Marylebone",BikePoints_396,false,1299075120000
false,001227,,true,"Devonshire Terrace, Bayswater",BikePoints_397,false,1299075900000
false,010631,,true,"Holland Park, Kensington",BikePoints_398,false,1299076440000
