terminal_name,place_id,installed,install_date,removal_date,common_name,temporary,locked
001023,BikePoints_1,true,1278947280000,,"River Street , Clerkenwell",false,false
001018,BikePoints_2,true,1278585780000,,"Phillimore Gardens, Kensington",false,false
001012,BikePoints_3,true,1278240360000,,"Christopher Street, Liverpool Street",false,false
001013,BikePoints_4,true,1278241080000,,"St. Chad's Street, King's Cross",false,false
003420,BikePoints_5,true,1278241440000,,"Sedding Street, Sloane Square",false,false
003424,BikePoints_6,true,1278241680000,,"Broadcasting House, Marylebone",false,false
003422,BikePoints_7,true,1278241800000,,"Charlbert Street, St. John's Wood",false,false
003423,BikePoints_8,true,1540984560000,,"Maida Vale, Maida Vale",false,false
001015,BikePoints_9,true,1278242340000,,"New Globe Walk, Bankside",false,false
001024,BikePoints_10,true,1278242460000,,"Park Street, Bankside",false,false
001022,BikePoints_11,true,1278340440000,,"Brunswick Square, Bloomsbury",false,false
000980,BikePoints_12,true,1278340620000,,"Malet Street, Bloomsbury",false,false
000970,BikePoints_13,true,1278340800000,,"Scala Street, Fitzrovia",false,false
001011,BikePoints_14,true,1278341040000,,"Belgrove Street , King's Cross",false,false
000988,BikePoints_15,true,1278341220000,,"Great Russell Street, Bloomsbury",false,false
001010,BikePoints_16,true,1278341400000,,"Cartwright Gardens , Bloomsbury",false,false
001008,BikePoints_17,true,1278423720000,,"Hatton Wall, Holborn",false,false
001007,BikePoints_18,true,1278426300000,,"Drury Lane, Covent Garden",false,false
001009,BikePoints_19,true,1278426720000,,"Taviton Street, Bloomsbury",false,false
000993,BikePoints_20,true,1544659200000,,"Drummond Street , Euston",false,false
003426,BikePoints_21,true,1278427740000,,"Lansdowne Drive, Hackney Central",false,false
003425,BikePoints_22,true,1278428880000,,"Northington Street , Holborn",false,false
003421,BikePoints_23,true,1278429300000,,"Red Lion Square, Holborn",false,false
000981,BikePoints_24,true,1278430140000,,"British Museum, Bloomsbury",false,false
001004,BikePoints_25,true,1278433200000,,"Doric Way , Somers Town",false,false
001019,BikePoints_26,true,1278434160000,,"Ampton Street , Clerkenwell",false,false
001021,BikePoints_27,true,1278500160000,,"Bouverie Street, Temple",false,false
001025,BikePoints_28,true,1278500460000,,"Bolsover Street, Fitzrovia",false,false
001016,BikePoints_29,true,1278501180000,,"Hereford Road, Bayswater",false,false
001029,BikePoints_30,true,1278501420000,,"Windsor Terrace, Hoxton",false,false
003427,BikePoints_31,true,1278501600000,,"Fanshaw Street, Hoxton",false,false
001020,BikePoints_32,true,1278506700000,,"Leonard Circus , Shoreditch",false,false
003430,BikePoints_33,true,1278506940000,,"Central House, Aldgate",false,false
003428,BikePoints_34,true,1278507060000,,"Pancras Road, King's Cross",false,false
003446,BikePoints_36,true,1278519900000,,"De Vere Gardens, Kensington",false,false
003444,BikePoints_37,true,1278520020000,,"Penywern Road, Earl's Court",false,false
003442,BikePoints_38,true,1278584880000,,"Abingdon Villas, Kensington",false,false
003445,BikePoints_39,true,1278601740000,,"Shoreditch High Street, Shoreditch",false,false
001083,BikePoints_40,true,1278601980000,,"Commercial Street, Shoreditch",false,false
001084,BikePoints_41,true,1278602280000,,"Pindar Street, Liverpool Street",false,false
000979,BikePoints_42,true,1278602700000,,"Wenlock Road , Hoxton",false,false
001036,BikePoints_43,true,1278687720000,,"Crawford Street, Marylebone",false,false
001034,BikePoints_44,true,1278687900000,,"Bruton Street, Mayfair",false,false
001035,BikePoints_45,true,1278691320000,,"Boston Place, Marylebone",false,false
001031,BikePoints_46,true,1278691800000,,"Nesham Street, Wapping",false,false
001027,BikePoints_47,true,1278749160000,,"Warwick Avenue Station, Maida Vale",false,false
000971,BikePoints_48,true,1278749460000,,"Godliman Street, St. Paul's",false,false
003437,BikePoints_49,true,1278749940000,,"Curzon Street, Mayfair",false,false
001054,BikePoints_50,true,1278750240000,,"East Road, Hoxton",false,false
000986,BikePoints_51,true,1278750540000,,"Finsbury Library , Finsbury",false,false
001026,BikePoints_52,true,1278750840000,,"Roscoe Street, St. Luke's",false,false
003431,BikePoints_53,true,1278752580000,,"Grafton Street, Mayfair",false,false
000967,BikePoints_54,true,1278766740000,,"Golden Lane, Barbican",false,false
000984,BikePoints_55,true,1278766980000,,"Finsbury Circus, Liverpool Street",false,false
001033,BikePoints_56,true,1278767220000,,"Paddington Street, Marylebone",false,false
000974,BikePoints_57,true,1278767460000,,"Guilford Street , Bloomsbury",false,false
001032,BikePoints_58,true,1278767700000,,"New Inn Yard, Shoreditch",false,false
001030,BikePoints_60,true,1278769140000,,"Lisson Grove, St. John's Wood",false,false
001017,BikePoints_61,true,1278773820000,,"Great Dover Street, The Borough",false,false
000990,BikePoints_62,true,1278773940000,,"Cotton Garden Estate, Kennington",false,false
000989,BikePoints_63,true,1278774120000,,"Murray Grove , Hoxton",false,false
001028,BikePoints_64,true,1278774300000,,"William IV Street, Strand",false,false
000982,BikePoints_66,true,1278845280000,,"Holborn Circus, Holborn",false,false
000985,BikePoints_67,true,1278847440000,,"Hatton Garden, Holborn",false,false
000975,BikePoints_68,true,1278857040000,,"Theobald's Road , Holborn",false,false
000983,BikePoints_69,true,1278861540000,,"Euston Road, Euston",false,false
001066,BikePoints_70,true,1278863340000,,"Calshot Street , King's Cross",false,false
001074,BikePoints_71,true,1278924900000,,"Newgate Street , St. Paul's",false,false
003432,BikePoints_72,true,1276948860000,,"Farringdon Lane, Clerkenwell",false,false
001064,BikePoints_73,true,1278941040000,,"Old Street Station, St. Luke's",false,false
001000,BikePoints_74,true,1278941160000,,"Vauxhall Cross, Vauxhall",false,false
001060,BikePoints_75,true,1278945180000,,"Torrens Street, Angel",false,false
000976,BikePoints_76,true,1278946560000,,"Longford Street, The Regent's Park",false,false
000978,BikePoints_77,true,1278946860000,,"Russell Square Station, Bloomsbury",false,false
003433,BikePoints_78,true,1278948480000,,"Sadlers Sports Centre, Finsbury",false,false
003455,BikePoints_79,true,1509018360000,,"Arundel Street, Temple",false,false
003448,BikePoints_80,true,1278952440000,,"Webber Street , Southwark",false,false
003450,BikePoints_81,true,1279012980000,,"Great Titchfield Street, Fitzrovia",false,false
003453,BikePoints_82,true,1279015680000,,"Chancery Lane, Holborn",false,false
003452,BikePoints_83,true,1279015800000,,"Panton Street, West End",false,false
003449,BikePoints_84,true,1279020240000,,"Breams Buildings, Holborn",false,false
001212,BikePoints_336,true,1280152800000,,"Concert Hall Approach 2, South Bank",false,false
002589,BikePoints_337,true,1280153100000,,"Pembridge Villas, Notting Hill",false,false
001202,BikePoints_338,true,1280158740000,,"Wellington Street , Strand",false,false
001127,BikePoints_339,true,1280160600000,,"Risinghill Street, Angel",false,false
001201,BikePoints_340,true,1280248620000,,"Bank of England Museum, Bank",false,false
001160,BikePoints_341,true,1280222160000,,"Craven Street, Strand",false,false
001188,BikePoints_343,true,1280224260000,,"London Zoo Car Park, The Regent's Park",false,false
001222,BikePoints_344,true,1280226120000,,"Goswell Road (City Uni), Finsbury",false,false
001218,BikePoints_345,true,1280229720000,,"Flood Street, Chelsea",false,false
001219,BikePoints_347,true,1283762460000,,"Lower Marsh, Waterloo",false,false
010627,BikePoints_348,true,1284540540000,,"Grosvenor Square, Mayfair",false,false
001221,BikePoints_349,true,1284543120000,,"St. George Street, Mayfair",false,false
