terminal_name,locked,temporary,install_date,removal_date,place_id,common_name,installed
001023,false,false,1278947280000,,BikePoints_1,"River Street , Clerkenwell",true
001018,false,false,1278585780000,,BikePoints_2,"Phillimore Gardens, Kensington",true
001012,false,false,1278240360000,,BikePoints_3,"Christopher Street, Liverpool Street",true
001013,false,false,1278241080000,,BikePoints_4,"St. Chad's Street, King's Cross",true
003420,false,false,1278241440000,,BikePoints_5,"Sedding Street, Sloane Square",true
003424,false,false,1278241680000,,BikePoints_6,"Broadcasting House, Marylebone",true
003422,false,false,1278241800000,,BikePoints_7,"Charlbert Street, St. John's Wood",true
003423,false,false,1540984560000,,BikePoints_8,"Maida Vale, Maida Vale",true
001015,false,false,1278242340000,,BikePoints_9,"New Globe Walk, Bankside",true
001024,false,false,1278242460000,,BikePoints_10,"Park Street, Bankside",true
001022,false,false,1278340440000,,BikePoints_11,"Brunswick Square, Bloomsbury",true
000980,false,false,1278340620000,,BikePoints_12,"Malet Street, Bloomsbury",true
000970,false,false,1278340800000,,BikePoints_13,"Scala Street, Fitzrovia",true
001011,false,false,1278341040000,,BikePoints_14,"Belgrove Street , King's Cross",true
000988,false,false,1278341220000,,BikePoints_15,"Great Russell Street, Bloomsbury",true
001010,false,false,1278341400000,,BikePoints_16,"Cartwright Gardens , Bloomsbury",true
001008,false,false,1278423720000,,BikePoints_17,"Hatton Wall, Holborn",true
001007,false,false,1278426300000,,BikePoints_18,"Drury Lane, Covent Garden",true
001009,false,false,1278426720000,,BikePoints_19,"Taviton Street, Bloomsbury",true
000993,false,false,1544659200000,,BikePoints_20,"Drummond Street , Euston",true
003426,false,false,1278427740000,,BikePoints_21,"Lansdowne Drive, Hackney Central",true
003425,false,false,1278428880000,,BikePoints_22,"Northington Street , Holborn",true
003421,false,false,1278429300000,,BikePoints_23,"Red Lion Square, Holborn",true
000981,false,false,1278430140000,,BikePoints_24,"British Museum, Bloomsbury",true
001004,false,false,1278433200000,,BikePoints_25,"Doric Way , Somers Town",true
001019,false,false,1278434160000,,BikePoints_26,"Ampton Street , Clerkenwell",true
001021,false,false,1278500160000,,BikePoints_27,"Bouverie Street, Temple",true
001025,false,false,1278500460000,,BikePoints_28,"Bolsover Street, Fitzrovia",true
001016,false,false,1278501180000,,BikePoints_29,"Hereford Road, Bayswater",true
001029,false,false,1278501420000,,BikePoints_30,"Windsor Terrace, Hoxton",true
003427,false,false,1278501600000,,BikePoints_31,"Fanshaw Street, Hoxton",true
001020,false,false,1278506700000,,BikePoints_32,"Leonard Circus , Shoreditch",true
003430,false,false,1278506940000,,BikePoints_33,"Central House, Aldgate",true
003428,false,false,1278507060000,,BikePoints_34,"Pancras Road, King's Cross",true
003446,false,false,1278519900000,,BikePoints_36,"De Vere Gardens, Kensington",true
003444,false,false,1278520020000,,BikePoints_37,"Penywern Road, Earl's Court",true
003442,false,false,1278584880000,,BikePoints_38,"Abingdon Villas, Kensington",true
003445,false,false,1278601740000,,BikePoints_39,"Shoreditch High Street, Shoreditch",true
001083,false,false,1278601980000,,BikePoints_40,"Commercial Street, Shoreditch",true
001084,false,false,1278602280000,,BikePoints_41,"Pindar Street, Liverpool Street",true
000979,false,false,1278602700000,,BikePoints_42,"Wenlock Road , Hoxton",true
001036,false,false,1278687720000,,BikePoints_43,"Crawford Street, Marylebone",true
001034,false,false,1278687900000,,BikePoints_44,"Bruton Street, Mayfair",true
001035,false,false,1278691320000,,BikePoints_45,"Boston Place, Marylebone",true
001031,false,false,1278691800000,,BikePoints_46,"Nesham Street, Wapping",true
001027,false,false,1278749160000,,BikePoints_47,"Warwick Avenue Station, Maida Vale",true
000971,false,false,1278749460000,,BikePoints_48,"Godliman Street, St. Paul's",true
003437,false,false,1278749940000,,BikePoints_49,"Curzon Street, Mayfair",true
001054,false,false,1278750240000,,BikePoints_50,"East Road, Hoxton",true
000986,false,false,1278750540000,,BikePoints_51,"Finsbury Library , Finsbury",true
001026,false,false,1278750840000,,BikePoints_52,"Roscoe Street, St. Luke's",true
003431,false,false,1278752580000,,BikePoints_53,"Grafton Street, Mayfair",true
000967,false,false,1278766740000,,BikePoints_54,"Golden Lane, Barbican",true
000984,false,false,1278766980000,,BikePoints_55,"Finsbury Circus, Liverpool Street",true
001033,false,false,1278767220000,,BikePoints_56,"Paddington Street, Marylebone",true
000974,false,false,1278767460000,,BikePoints_57,"Guilford Street , Bloomsbury",true
001032,false,false,1278767700000,,BikePoints_58,"New Inn Yard, Shoreditch",true
001030,false,false,1278769140000,,BikePoints_60,"Lisson Grove, St. John's Wood",true
001017,false,false,1278773820000,,BikePoints_61,"Great Dover Street, The Borough",true
000990,false,false,1278773940000,,BikePoints_62,"Cotton Garden Estate, Kennington",true
000989,false,false,1278774120000,,BikePoints_63,"Murray Grove , Hoxton",true
001028,false,false,1278774300000,,BikePoints_64,"William IV Street, Strand",true
000982,false,false,1278845280000,,BikePoints_66,"Holborn Circus, Holborn",true
000985,false,false,1278847440000,,BikePoints_67,"Hatton Garden, Holborn",true
000975,false,false,1278857040000,,BikePoints_68,"Theobald's Road , Holborn",true
000983,false,false,1278861540000,,BikePoints_69,"Euston Road, Euston",true
001066,false,false,1278863340000,,BikePoints_70,"Calshot Street , King's Cross",true
001074,false,false,1278924900000,,BikePoints_71,"Newgate Street , St. Paul's",true
003432,false,false,1276948860000,,BikePoints_72,"Farringdon Lane, Clerkenwell",true
001064,false,false,1278941040000,,BikePoints_73,"Old Street Station, St. Luke's",true
001000,false,false,1278941160000,,BikePoints_74,"Vauxhall Cross, Vauxhall",true
001060,false,false,1278945180000,,BikePoints_75,"Torrens Street, Angel",true
000976,false,false,1278946560000,,BikePoints_76,"Longford Street, The Regent's Park",true
000978,false,false,1278946860000,,BikePoints_77,"Russell Square Station, Bloomsbury",true
003433,false,false,1278948480000,,BikePoints_78,"Sadlers Sports Centre, Finsbury",true
003455,false,false,1509018360000,,BikePoints_79,"Arundel Street, Temple",true
003448,false,false,1278952440000,,BikePoints_80,"Webber Street , Southwark",true
003450,false,false,1279012980000,,BikePoints_81,"Great Titchfield Street, Fitzrovia",true
003453,false,false,1279015680000,,BikePoints_82,"Chancery Lane, Holborn",true
003452,false,false,1279015800000,,BikePoints_83,"Panton Street, West End",true
003449,false,false,1279020240000,,BikePoints_84,"Breams Buildings, Holborn",true
001212,false,false,1280152800000,,BikePoints_336,"Concert Hall Approach 2, South Bank",true
002589,false,false,1280153100000,,BikePoints_337,"Pembridge Villas, Notting Hill",true
001202,false,false,1280158740000,,BikePoints_338,"Wellington Street , Strand",true
001127,false,false,1280160600000,,BikePoints_339,"Risinghill Street, Angel",true
001201,false,false,1280248620000,,BikePoints_340,"Bank of England Museum, Bank",true
001160,false,false,1280222160000,,BikePoints_341,"Craven Street, Strand",true
001188,false,false,1280224260000,,BikePoints_343,"London Zoo Car Park, The Regent's Park",true
001222,false,false,1280226120000,,BikePoints_344,"Goswell Road (City Uni), Finsbury",true
001218,false,false,1280229720000,,BikePoints_345,"Flood Street, Chelsea",true
001219,false,false,1283762460000,,BikePoints_347,"Lower Marsh, Waterloo",true
