removal_date,common_name,install_date,temporary,place_id,installed,locked,terminal_name
,"River Street , Clerkenwell",1278947280000,false,BikePoints_1,true,false,001023
,"Phillimore Gardens, Kensington",1278585780000,false,BikePoints_2,true,false,001018
,"Christopher Street, Liverpool Street",1278240360000,false,BikePoints_3,true,false,001012
,"St. Chad's Street, King's Cross",1278241080000,false,BikePoints_4,true,false,001013
,"Sedding Street, Sloane Square",1278241440000,false,BikePoints_5,true,false,003420
,"Broadcasting House, Marylebone",1278241680000,false,BikePoints_6,true,false,003424
,"Charlbert Street, St. John's Wood",1278241800000,false,BikePoints_7,true,false,003422
,"Maida Vale, Maida Vale",1540984560000,false,BikePoints_8,true,false,003423
,"New Globe Walk, Bankside",1278242340000,false,BikePoints_9,true,false,001015
,"Park Street, Bankside",1278242460000,false,BikePoints_10,true,false,001024
,"Brunswick Square, Bloomsbury",1278340440000,false,BikePoints_11,true,false,001022
,"Malet Street, Bloomsbury",1278340620000,false,BikePoints_12,true,false,000980
,"Scala Street, Fitzrovia",1278340800000,false,BikePoints_13,true,false,000970
,"Belgrove Street , King's Cross",1278341040000,false,BikePoints_14,true,false,001011
,"Great Russell Street, Bloomsbury",1278341220000,false,BikePoints_15,true,false,000988
,"Cartwright Gardens , Bloomsbury",1278341400000,false,BikePoints_16,true,false,001010
,"Hatton Wall, Holborn",1278423720000,false,BikePoints_17,true,false,001008
,"Drury Lane, Covent Garden",1278426300000,false,BikePoints_18,true,false,001007
,"Taviton Street, Bloomsbury",1278426720000,false,BikePoints_19,true,false,001009
,"Drummond Street , Euston",1544659200000,false,BikePoints_20,true,false,000993
,"Lansdowne Drive, Hackney Central",1278427740000,false,BikePoints_21,true,false,003426
,"Northington Street , Holborn",1278428880000,false,BikePoints_22,true,false,003425
,"Red Lion Square, Holborn",1278429300000,false,BikePoints_23,true,false,003421
,"British Museum, Bloomsbury",1278430140000,false,BikePoints_24,true,false,000981
,"Doric Way , Somers Town",1278433200000,false,BikePoints_25,true,false,001004
,"Ampton Street , Clerkenwell",1278434160000,false,BikePoints_26,true,false,001019
,"Bouverie Street, Temple",1278500160000,false,BikePoints_27,true,false,001021
,"Bolsover Street, Fitzrovia",1278500460000,false,BikePoints_28,true,false,001025
,"Hereford Road, Bayswater",1278501180000,false,BikePoints_29,true,false,001016
,"Windsor Terrace, Hoxton",1278501420000,false,BikePoints_30,true,false,001029
,"Fanshaw Street, Hoxton",1278501600000,false,BikePoints_31,true,false,003427
,"Leonard Circus , Shoreditch",1278506700000,false,BikePoints_32,true,false,001020
,"Central House, Aldgate",1278506940000,false,BikePoints_33,true,false,003430
,"Pancras Road, King's Cross",1278507060000,false,BikePoints_34,true,false,003428
,"De Vere Gardens, Kensington",1278519900000,false,BikePoints_36,true,false,003446
,"Penywern Road, Earl's Court",1278520020000,false,BikePoints_37,true,false,003444
,"Abingdon Villas, Kensington",1278584880000,false,BikePoints_38,true,false,003442
,"Shoreditch High Street, Shoreditch",1278601740000,false,BikePoints_39,true,false,003445
,"Commercial Street, Shoreditch",1278601980000,false,BikePoints_40,true,false,001083
,"Pindar Street, Liverpool Street",1278602280000,false,BikePoints_41,true,false,001084
,"Wenlock Road , Hoxton",1278602700000,false,BikePoints_42,true,false,000979
,"Crawford Street, Marylebone",1278687720000,false,BikePoints_43,true,false,001036
,"Bruton Street, Mayfair",1278687900000,false,BikePoints_44,true,false,001034
,"Boston Place, Marylebone",1278691320000,false,BikePoints_45,true,false,001035
,"Nesham Street, Wapping",1278691800000,false,BikePoints_46,true,false,001031
,"Warwick Avenue Station, Maida Vale",1278749160000,false,BikePoints_47,true,false,001027
,"Godliman Street, St. Paul's",1278749460000,false,BikePoints_48,true,false,000971
,"Curzon Street, Mayfair",1278749940000,false,BikePoints_49,true,false,003437
,"East Road, Hoxton",1278750240000,false,BikePoints_50,true,false,001054
,"Finsbury Library , Finsbury",1278750540000,false,BikePoints_51,true,false,000986
,"Roscoe Street, St. Luke's",1278750840000,false,BikePoints_52,true,false,001026
,"Grafton Street, Mayfair",1278752580000,false,BikePoints_53,true,false,003431
,"Golden Lane, Barbican",1278766740000,false,BikePoints_54,true,false,000967
,"Finsbury Circus, Liverpool Street",1278766980000,false,BikePoints_55,true,false,000984
,"Paddington Street, Marylebone",1278767220000,false,BikePoints_56,true,false,001033
,"Guilford Street , Bloomsbury",1278767460000,false,BikePoints_57,true,false,000974
,"New Inn Yard, Shoreditch",1278767700000,false,BikePoints_58,true,false,001032
,"Lisson Grove, St. John's Wood",1278769140000,false,BikePoints_60,true,false,001030
,"Great Dover Street, The Borough",1278773820000,false,BikePoints_61,true,false,001017
,"Cotton Garden Estate, Kennington",1278773940000,false,BikePoints_62,true,false,000990
,"Murray Grove , Hoxton",1278774120000,false,BikePoints_63,true,false,000989
