locked,terminal_name,removal_date,installed,temporary,place_id,common_name,install_date
false,001023,,true,false,BikePoints_1,"River Street , Clerkenwell",1278947280000
false,001018,,true,false,BikePoints_2,"Phillimore Gardens, Kensington",1278585780000
false,001012,,true,false,BikePoints_3,"Christopher Street, Liverpool Street",1278240360000
false,001013,,true,false,BikePoints_4,"St. Chad's Street, King's Cross",1278241080000
false,003420,,true,false,BikePoints_5,"Sedding Street, Sloane Square",1278241440000
false,003424,,true,false,BikePoints_6,"Broadcasting House, Marylebone",1278241680000
false,003422,,true,false,BikePoints_7,"Charlbert Street, St. John's Wood",1278241800000
false,003423,,true,false,BikePoints_8,"Maida Vale, Maida Vale",1540984560000
false,001015,,true,false,BikePoints_9,"New Globe Walk, Bankside",1278242340000
false,001024,,true,false,BikePoints_10,"Park Street, Bankside",1278242460000
false,001022,,true,false,BikePoints_11,"Brunswick Square, Bloomsbury",1278340440000
false,000980,,true,false,BikePoints_12,"Malet Street, Bloomsbury",1278340620000
false,000970,,true,false,BikePoints_13,"Scala Street, Fitzrovia",1278340800000
false,001011,,true,false,BikePoints_14,"Belgrove Street , King's Cross",1278341040000
false,000988,,true,false,BikePoints_15,"Great Russell Street, Bloomsbury",1278341220000
false,001010,,true,false,BikePoints_16,"Cartwright Gardens , Bloomsbury",1278341400000
false,001008,,true,false,BikePoints_17,"Hatton Wall, Holborn",1278423720000
false,001007,,true,false,BikePoints_18,"Drury Lane, Covent Garden",1278426300000
false,001009,,true,false,BikePoints_19,"Taviton Street, Bloomsbury",1278426720000
false,000993,,true,false,BikePoints_20,"Drummond Street , Euston",1544659200000
false,003426,,true,false,BikePoints_21,"Lansdowne Drive, Hackney Central",1278427740000
false,003425,,true,false,BikePoints_22,"Northington Street , Holborn",1278428880000
false,003421,,true,false,BikePoints_23,"Red Lion Square, Holborn",1278429300000
false,000981,,true,false,BikePoints_24,"British Museum, Bloomsbury",1278430140000
false,001004,,true,false,BikePoints_25,"Doric Way , Somers Town",1278433200000
false,001019,,true,false,BikePoints_26,"Ampton Street , Clerkenwell",1278434160000
false,001021,,true,false,BikePoints_27,"Bouverie Street, Temple",1278500160000
false,001025,,true,false,BikePoints_28,"Bolsover Street, Fitzrovia",1278500460000
false,001016,,true,false,BikePoints_29,"Hereford Road, Bayswater",1278501180000
false,001029,,true,false,BikePoints_30,"Windsor Terrace, Hoxton",1278501420000
false,003427,,true,false,BikePoints_31,"Fanshaw Street, Hoxton",1278501600000
false,001020,,true,false,BikePoints_32,"Leonard Circus , Shoreditch",1278506700000
false,003430,,true,false,BikePoints_33,"Central House, Aldgate",1278506940000
false,003428,,true,false,BikePoints_34,"Pancras Road, King's Cross",1278507060000
false,003446,,true,false,BikePoints_36,"De Vere Gardens, Kensington",1278519900000
false,003444,,true,false,BikePoints_37,"Penywern Road, Earl's Court",1278520020000
false,003442,,true,false,BikePoints_38,"Abingdon Villas, Kensington",1278584880000
false,003445,,true,false,BikePoints_39,"Shoreditch High Street, Shoreditch",1278601740000
false,001083,,true,false,BikePoints_40,"Commercial Street, Shoreditch",1278601980000
false,001084,,true,false,BikePoints_41,"Pindar Street, Liverpool Street",1278602280000
false,000979,,true,false,BikePoints_42,"Wenlock Road , Hoxton",1278602700000
false,001036,,true,false,BikePoints_43,"Crawford Street, Marylebone",1278687720000
false,001034,,true,false,BikePoints_44,"Bruton Street, Mayfair",1278687900000
false,001035,,true,false,BikePoints_45,"Boston Place, Marylebone",1278691320000
false,001031,,true,false,BikePoints_46,"Nesham Street, Wapping",1278691800000
false,001027,,true,false,BikePoints_47,"Warwick Avenue Station, Maida Vale",1278749160000
false,000971,,true,false,BikePoints_48,"Godliman Street, St. Paul's",1278749460000
false,003437,,true,false,BikePoints_49,"Curzon Street, Mayfair",1278749940000
false,001054,,true,false,BikePoints_50,"East Road, Hoxton",1278750240000
false,000986,,true,false,BikePoints_51,"Finsbury Library , Finsbury",1278750540000
false,001026,,true,false,BikePoints_52,"Roscoe Street, St. Luke's",1278750840000
false,003431,,true,false,BikePoints_53,"Grafton Street, Mayfair",1278752580000
false,000967,,true,false,BikePoints_54,"Golden Lane, Barbican",1278766740000
false,000984,,true,false,BikePoints_55,"Finsbury Circus, Liverpool Street",1278766980000
false,001033,,true,false,BikePoints_56,"Paddington Street, Marylebone",1278767220000
false,000974,,true,false,BikePoints_57,"Guilford Street , Bloomsbury",1278767460000
false,001032,,true,false,BikePoints_58,"New Inn Yard, Shoreditch",1278767700000
false,001030,,true,false,BikePoints_60,"Lisson Grove, St. John's Wood",1278769140000
false,001017,,true,false,BikePoints_61,"Great Dover Street, The Borough",1278773820000
false,000990,,true,false,BikePoints_62,"Cotton Garden Estate, Kennington",1278773940000
false,000989,,true,false,BikePoints_63,"Murray Grove , Hoxton",1278774120000
