install_date,place_id,installed,common_name,locked,temporary,terminal_name,removal_date
1278947280000,BikePoints_1,true,"River Street , Clerkenwell",false,false,001023,
1278585780000,BikePoints_2,true,"Phillimore Gardens, Kensington",false,false,001018,
1278240360000,BikePoints_3,true,"Christopher Street, Liverpool Street",false,false,001012,
1278241080000,BikePoints_4,true,"St. Chad's Street, King's Cross",false,false,001013,
1278241440000,BikePoints_5,true,"Sedding Street, Sloane Square",false,false,003420,
1278241680000,BikePoints_6,true,"Broadcasting House, Marylebone",false,false,003424,
1278241800000,BikePoints_7,true,"Charlbert Street, St. John's Wood",false,false,003422,
1540984560000,BikePoints_8,true,"Maida Vale, Maida Vale",false,false,003423,
1278242340000,BikePoints_9,true,"New Globe Walk, Bankside",false,false,001015,
1278242460000,BikePoints_10,true,"Park Street, Bankside",false,false,001024,
1278340440000,BikePoints_11,true,"Brunswick Square, Bloomsbury",false,false,001022,
1278340620000,BikePoints_12,true,"Malet Street, Bloomsbury",false,false,000980,
1278340800000,BikePoints_13,true,"Scala Street, Fitzrovia",false,false,000970,
1278341040000,BikePoints_14,true,"Belgrove Street , King's Cross",false,false,001011,
1278341220000,BikePoints_15,true,"Great Russell Street, Bloomsbury",false,false,000988,
1278341400000,BikePoints_16,true,"Cartwright Gardens , Bloomsbury",false,false,001010,
1278423720000,BikePoints_17,true,"Hatton Wall, Holborn",false,false,001008,
1278426300000,BikePoints_18,true,"Drury Lane, Covent Garden",false,false,001007,
1278426720000,BikePoints_19,true,"Taviton Street, Bloomsbury",false,false,001009,
1544659200000,BikePoints_20,true,"Drummond Street , Euston",false,false,000993,
1278427740000,BikePoints_21,true,"Lansdowne Drive, Hackney Central",false,false,003426,
1278428880000,BikePoints_22,true,"Northington Street , Holborn",false,false,003425,
1278429300000,BikePoints_23,true,"Red Lion Square, Holborn",false,false,003421,
1278430140000,BikePoints_24,true,"British Museum, Bloomsbury",false,false,000981,
1278433200000,BikePoints_25,true,"Doric Way , Somers Town",false,false,001004,
1278434160000,BikePoints_26,true,"Ampton Street , Clerkenwell",false,false,001019,
1278500160000,BikePoints_27,true,"Bouverie Street, Temple",false,false,001021,
1278500460000,BikePoints_28,true,"Bolsover Street, Fitzrovia",false,false,001025,
1278501180000,BikePoints_29,true,"Hereford Road, Bayswater",false,false,001016,
1278501420000,BikePoints_30,true,"Windsor Terrace, Hoxton",false,false,001029,
1278501600000,BikePoints_31,true,"Fanshaw Street, Hoxton",false,false,003427,
1278506700000,BikePoints_32,true,"Leonard Circus , Shoreditch",false,false,001020,
1278506940000,BikePoints_33,true,"Central House, Aldgate",false,false,003430,
1278507060000,BikePoints_34,true,"Pancras Road, King's Cross",false,false,003428,
1278519900000,BikePoints_36,true,"De Vere Gardens, Kensington",false,false,003446,
1278520020000,BikePoints_37,true,"Penywern Road, Earl's Court",false,false,003444,
1278584880000,BikePoints_38,true,"Abingdon Villas, Kensington",false,false,003442,
1278601740000,BikePoints_39,true,"Shoreditch High Street, Shoreditch",false,false,003445,
1278601980000,BikePoints_40,true,"Commercial Street, Shoreditch",false,false,001083,
1278602280000,BikePoints_41,true,"Pindar Street, Liverpool Street",false,false,001084,
1278602700000,BikePoints_42,true,"Wenlock Road , Hoxton",false,false,000979,
1278687720000,BikePoints_43,true,"Crawford Street, Marylebone",false,false,001036,
1278687900000,BikePoints_44,true,"Bruton Street, Mayfair",false,false,001034,
