removal_date,common_name,locked,installed,terminal_name,install_date,temporary,place_id
,"River Street , Clerkenwell",false,true,001023,1278947280000,false,BikePoints_1
,"Phillimore Gardens, Kensington",false,true,001018,1278585780000,false,BikePoints_2
,"Christopher Street, Liverpool Street",false,true,001012,1278240360000,false,BikePoints_3
,"St. Chad's Street, King's Cross",false,true,001013,1278241080000,false,BikePoints_4
,"Sedding Street, Sloane Square",false,true,003420,1278241440000,false,BikePoints_5
,"Broadcasting House, Marylebone",false,true,003424,1278241680000,false,BikePoints_6
,"Charlbert Street, St. John's Wood",false,true,003422,1278241800000,false,BikePoints_7
,"Maida Vale, Maida Vale",false,true,003423,1540984560000,false,BikePoints_8
,"New Globe Walk, Bankside",false,true,001015,1278242340000,false,BikePoints_9
,"Park Street, Bankside",false,true,001024,1278242460000,false,BikePoints_10
,"Brunswick Square, Bloomsbury",false,true,001022,1278340440000,false,BikePoints_11
,"Malet Street, Bloomsbury",false,true,000980,1278340620000,false,BikePoints_12
,"Scala Street, Fitzrovia",false,true,000970,1278340800000,false,BikePoints_13
,"Belgrove Street , King's Cross",false,true,001011,1278341040000,false,BikePoints_14
,"Great Russell Street, Bloomsbury",false,true,000988,1278341220000,false,BikePoints_15
,"Cartwright Gardens , Bloomsbury",false,true,001010,1278341400000,false,BikePoints_16
,"Hatton Wall, Holborn",false,true,001008,1278423720000,false,BikePoints_17
,"Drury Lane, Covent Garden",false,true,001007,1278426300000,false,BikePoints_18
,"Taviton Street, Bloomsbury",false,true,001009,1278426720000,false,BikePoints_19
,"Drummond Street , Euston",false,true,000993,1544659200000,false,BikePoints_20
,"Lansdowne Drive, Hackney Central",false,true,003426,1278427740000,false,BikePoints_21
,"Northington Street , Holborn",false,true,003425,1278428880000,false,BikePoints_22
,"Red Lion Square, Holborn",false,true,003421,1278429300000,false,BikePoints_23
,"British Museum, Bloomsbury",false,true,000981,1278430140000,false,BikePoints_24
,"Doric Way , Somers Town",false,true,001004,1278433200000,false,BikePoints_25
,"Ampton Street , Clerkenwell",false,true,001019,1278434160000,false,BikePoints_26
,"Bouverie Street, Temple",false,true,001021,1278500160000,false,BikePoints_27
,"Bolsover Street, Fitzrovia",false,true,001025,1278500460000,false,BikePoints_28
