removal_date,installed,locked,place_id,common_name,terminal_name,install_date,temporary
,true,false,BikePoints_1,"River Street , Clerkenwell",001023,1278947280000,false
,true,false,BikePoints_2,"Phillimore Gardens, Kensington",001018,1278585780000,false
,true,false,BikePoints_3,"Christopher Street, Liverpool Street",001012,1278240360000,false
,true,false,BikePoints_4,"St. Chad's Street, King's Cross",001013,1278241080000,false
,true,false,BikePoints_5,"Sedding Street, Sloane Square",003420,1278241440000,false
,true,false,BikePoints_6,"Broadcasting House, Marylebone",003424,1278241680000,false
,true,false,BikePoints_7,"Charlbert Street, St. John's Wood",003422,1278241800000,false
,true,false,BikePoints_8,"Maida Vale, Maida Vale",003423,1540984560000,false
,true,false,BikePoints_9,"New Globe Walk, Bankside",001015,1278242340000,false
,true,false,BikePoints_10,"Park Street, Bankside",001024,1278242460000,false
,true,false,BikePoints_11,"Brunswick Square, Bloomsbury",001022,1278340440000,false
,true,false,BikePoints_12,"Malet Street, Bloomsbury",000980,1278340620000,false
,true,false,BikePoints_13,"Scala Street, Fitzrovia",000970,1278340800000,false
,true,false,BikePoints_14,"Belgrove Street , King's Cross",001011,1278341040000,false
,true,false,BikePoints_15,"Great Russell Street, Bloomsbury",000988,1278341220000,false
,true,false,BikePoints_16,"Cartwright Gardens , Bloomsbury",001010,1278341400000,false
,true,false,BikePoints_17,"Hatton Wall, Holborn",001008,1278423720000,false
,true,false,BikePoints_18,"Drury Lane, Covent Garden",001007,1278426300000,false
,true,false,BikePoints_19,"Taviton Street, Bloomsbury",001009,1278426720000,false
,true,false,BikePoints_20,"Drummond Street , Euston",000993,1544659200000,false
,true,false,BikePoints_21,"Lansdowne Drive, Hackney Central",003426,1278427740000,false
,true,false,BikePoints_22,"Northington Street , Holborn",003425,1278428880000,false
,true,false,BikePoints_23,"Red Lion Square, Holborn",003421,1278429300000,false
,true,false,BikePoints_24,"British Museum, Bloomsbury",000981,1278430140000,false
,true,false,BikePoints_25,"Doric Way , Somers Town",001004,1278433200000,false
,true,false,BikePoints_26,"Ampton Street , Clerkenwell",001019,1278434160000,false
,true,false,BikePoints_27,"Bouverie Street, Temple",001021,1278500160000,false
,true,false,BikePoints_28,"Bolsover Street, Fitzrovia",001025,1278500460000,false
,true,false,BikePoints_29,"Hereford Road, Bayswater",001016,1278501180000,false
,true,false,BikePoints_30,"Windsor Terrace, Hoxton",001029,1278501420000,false
,true,false,BikePoints_31,"Fanshaw Street, Hoxton",003427,1278501600000,false
,true,false,BikePoints_32,"Leonard Circus , Shoreditch",001020,1278506700000,false
,true,false,BikePoints_33,"Central House, Aldgate",003430,1278506940000,false
,true,false,BikePoints_34,"Pancras Road, King's Cross",003428,1278507060000,false
,true,false,BikePoints_36,"De Vere Gardens, Kensington",003446,1278519900000,false
,true,false,BikePoints_37,"Penywern Road, Earl's Court",003444,1278520020000,false
,true,false,BikePoints_38,"Abingdon Villas, Kensington",003442,1278584880000,false
,true,false,BikePoints_39,"Shoreditch High Street, Shoreditch",003445,1278601740000,false
,true,false,BikePoints_40,"Commercial Street, Shoreditch",001083,1278601980000,false
,true,false,BikePoints_41,"Pindar Street, Liverpool Street",001084,1278602280000,false
,true,false,BikePoints_42,"Wenlock Road , Hoxton",000979,1278602700000,false
,true,false,BikePoints_43,"Crawford Street, Marylebone",001036,1278687720000,false
,true,false,BikePoints_44,"Bruton Street, Mayfair",001034,1278687900000,false
,true,false,BikePoints_45,"Boston Place, Marylebone",001035,1278691320000,false
,true,false,BikePoints_46,"Nesham Street, Wapping",001031,1278691800000,false
,true,false,BikePoints_47,"Warwick Avenue Station, Maida Vale",001027,1278749160000,false
,true,false,BikePoints_48,"Godliman Street, St. Paul's",000971,1278749460000,false
,true,false,BikePoints_49,"Curzon Street, Mayfair",003437,1278749940000,false
,true,false,BikePoints_50,"East Road, Hoxton",001054,1278750240000,false
,true,false,BikePoints_51,"Finsbury Library , Finsbury",000986,1278750540000,false
,true,false,BikePoints_52,"Roscoe Street, St. Luke's",001026,1278750840000,false
,true,false,BikePoints_53,"Grafton Street, Mayfair",003431,1278752580000,false
,true,false,BikePoints_54,"Golden Lane, Barbican",000967,1278766740000,false
,true,false,BikePoints_55,"Finsbury Circus, Liverpool Street",000984,1278766980000,false
,true,false,BikePoints_56,"Paddington Street, Marylebone",001033,1278767220000,false
,true,false,BikePoints_57,"Guilford Street , Bloomsbury",000974,1278767460000,false
,true,false,BikePoints_58,"New Inn Yard, Shoreditch",001032,1278767700000,false
,true,false,BikePoints_60,"Lisson Grove, St. John's Wood",001030,1278769140000,false
