temporary,installed,terminal_name,install_date,locked,removal_date,common_name,place_id
false,true,001023,1278947280000,false,,"River Street , Clerkenwell",BikePoints_1
false,true,001018,1278585780000,false,,"Phillimore Gardens, Kensington",BikePoints_2
false,true,001012,1278240360000,false,,"Christopher Street, Liverpool Street",BikePoints_3
false,true,001013,1278241080000,false,,"St. Chad's Street, King's Cross",BikePoints_4
false,true,003420,1278241440000,false,,"Sedding Street, Sloane Square",BikePoints_5
false,true,003424,1278241680000,false,,"Broadcasting House, Marylebone",BikePoints_6
false,true,003422,1278241800000,false,,"Charlbert Street, St. John's Wood",BikePoints_7
false,true,003423,1540984560000,false,,"Maida Vale, Maida Vale",BikePoints_8
false,true,001015,1278242340000,false,,"New Globe Walk, Bankside",BikePoints_9
false,true,001024,1278242460000,false,,"Park Street, Bankside",BikePoints_10
false,true,001022,1278340440000,false,,"Brunswick Square, Bloomsbury",BikePoints_11
false,true,000980,1278340620000,false,,"Malet Street, Bloomsbury",BikePoints_12
false,true,000970,1278340800000,false,,"Scala Street, Fitzrovia",BikePoints_13
false,true,001011,1278341040000,false,,"Belgrove Street , King's Cross",BikePoints_14
false,true,000988,1278341220000,false,,"Great Russell Street, Bloomsbury",BikePoints_15
false,true,001010,1278341400000,false,,"Cartwright Gardens , Bloomsbury",BikePoints_16
false,true,001008,1278423720000,false,,"Hatton Wall, Holborn",BikePoints_17
false,true,001007,1278426300000,false,,"Drury Lane, Covent Garden",BikePoints_18
false,true,001009,1278426720000,false,,"Taviton Street, Bloomsbury",BikePoints_19
false,true,000993,1544659200000,false,,"Drummond Street , Euston",BikePoints_20
false,true,003426,1278427740000,false,,"Lansdowne Drive, Hackney Central",BikePoints_21
false,true,003425,1278428880000,false,,"Northington Street , Holborn",BikePoints_22
false,true,003421,1278429300000,false,,"Red Lion Square, Holborn",BikePoints_23
false,true,000981,1278430140000,false,,"British Museum, Bloomsbury",BikePoints_24
false,true,001004,1278433200000,false,,"Doric Way , Somers Town",BikePoints_25
false,true,001019,1278434160000,false,,"Ampton Street , Clerkenwell",BikePoints_26
false,true,001021,1278500160000,false,,"Bouverie Street, Temple",BikePoints_27
false,true,001025,1278500460000,false,,"Bolsover Street, Fitzrovia",BikePoints_28
false,true,001016,1278501180000,false,,"Hereford Road, Bayswater",BikePoints_29
false,true,001029,1278501420000,false,,"Windsor Terrace, Hoxton",BikePoints_30
false,true,003427,1278501600000,false,,"Fanshaw Street, Hoxton",BikePoints_31
false,true,001020,1278506700000,false,,"Leonard Circus , Shoreditch",BikePoints_32
false,true,003430,1278506940000,false,,"Central House, Aldgate",BikePoints_33
false,true,003428,1278507060000,false,,"Pancras Road, King's Cross",BikePoints_34
false,true,003446,1278519900000,false,,"De Vere Gardens, Kensington",BikePoints_36
false,true,003444,1278520020000,false,,"Penywern Road, Earl's Court",BikePoints_37
false,true,003442,1278584880000,false,,"Abingdon Villas, Kensington",BikePoints_38
false,true,003445,1278601740000,false,,"Shoreditch High Street, Shoreditch",BikePoints_39
false,true,001083,1278601980000,false,,"Commercial Street, Shoreditch",BikePoints_40
false,true,001084,1278602280000,false,,"Pindar Street, Liverpool Street",BikePoints_41
false,true,000979,1278602700000,false,,"Wenlock Road , Hoxton",BikePoints_42
false,true,001036,1278687720000,false,,"Crawford Street, Marylebone",BikePoints_43
false,true,001034,1278687900000,false,,"Bruton Street, Mayfair",BikePoints_44
false,true,001035,1278691320000,false,,"Boston Place, Marylebone",BikePoints_45
false,true,001031,1278691800000,false,,"Nesham Street, Wapping",BikePoints_46
false,true,001027,1278749160000,false,,"Warwick Avenue Station, Maida Vale",BikePoints_47
false,true,000971,1278749460000,false,,"Godliman Street, St. Paul's",BikePoints_48
false,true,003437,1278749940000,false,,"Curzon Street, Mayfair",BikePoints_49
false,true,001054,1278750240000,false,,"East Road, Hoxton",BikePoints_50
false,true,000986,1278750540000,false,,"Finsbury Library , Finsbury",BikePoints_51
false,true,001026,1278750840000,false,,"Roscoe Street, St. Luke's",BikePoints_52
false,true,003431,1278752580000,false,,"Grafton Street, Mayfair",BikePoints_53
false,true,000967,1278766740000,false,,"Golden Lane, Barbican",BikePoints_54
false,true,000984,1278766980000,false,,"Finsbury Circus, Liverpool Street",BikePoints_55
false,true,001033,1278767220000,false,,"Paddington Street, Marylebone",BikePoints_56
false,true,000974,1278767460000,false,,"Guilford Street , Bloomsbury",BikePoints_57
false,true,001032,1278767700000,false,,"New Inn Yard, Shoreditch",BikePoints_58
false,true,001030,1278769140000,false,,"Lisson Grove, St. John's Wood",BikePoints_60
false,true,001017,1278773820000,false,,"Great Dover Street, The Borough",BikePoints_61
false,true,000990,1278773940000,false,,"Cotton Garden Estate, Kennington",BikePoints_62
false,true,000989,1278774120000,false,,"Murray Grove , Hoxton",BikePoints_63
false,true,001028,1278774300000,false,,"William IV Street, Strand",BikePoints_64
false,true,000982,1278845280000,false,,"Holborn Circus, Holborn",BikePoints_66
false,true,000985,1278847440000,false,,"Hatton Garden, Holborn",BikePoints_67
false,true,000975,1278857040000,false,,"Theobald's Road , Holborn",BikePoints_68
false,true,000983,1278861540000,false,,"Euston Road, Euston",BikePoints_69
false,true,001066,1278863340000,false,,"Calshot Street , King's Cross",BikePoints_70
false,true,001074,1278924900000,false,,"Newgate Street , St. Paul's",BikePoints_71
false,true,003432,1276948860000,false,,"Farringdon Lane, Clerkenwell",BikePoints_72
false,true,001064,1278941040000,false,,"Old Street Station, St. Luke's",BikePoints_73
false,true,001000,1278941160000,false,,"Vauxhall Cross, Vauxhall",BikePoints_74
false,true,001060,1278945180000,false,,"Torrens Street, Angel",BikePoints_75
false,true,000976,1278946560000,false,,"Longford Street, The Regent's Park",BikePoints_76
false,true,000978,1278946860000,false,,"Russell Square Station, Bloomsbury",BikePoints_77
false,true,003433,1278948480000,false,,"Sadlers Sports Centre, Finsbury",BikePoints_78
false,true,003455,1509018360000,false,,"Arundel Street, Temple",BikePoints_79
false,true,003448,1278952440000,false,,"Webber Street , Southwark",BikePoints_80
false,true,003450,1279012980000,false,,"Great Titchfield Street, Fitzrovia",BikePoints_81
false,true,003453,1279015680000,false,,"Chancery Lane, Holborn",BikePoints_82
false,true,003452,1279015800000,false,,"Panton Street, West End",BikePoints_83
false,true,003449,1279020240000,false,,"Breams Buildings, Holborn",BikePoints_84
false,true,001202,1280158740000,false,,"Wellington Street , Strand",BikePoints_338
false,true,001127,1280160600000,false,,"Risinghill Street, Angel",BikePoints_339
false,true,001201,1280248620000,false,,"Bank of England Museum, Bank",BikePoints_340
false,true,001160,1280222160000,false,,"Craven Street, Strand",BikePoints_341
false,true,001188,1280224260000,false,,"London Zoo Car Park, The Regent's Park",BikePoints_343
false,true,001222,1280226120000,false,,"Goswell Road (City Uni), Finsbury",BikePoints_344
