common_name,removal_date,terminal_name,installed,place_id,temporary,locked,install_date
"River Street , Clerkenwell",,001023,true,BikePoints_1,false,false,1278947280000
"Phillimore Gardens, Kensington",,001018,true,BikePoints_2,false,false,1278585780000
"Christopher Street, Liverpool Street",,001012,true,BikePoints_3,false,false,1278240360000
"St. Chad's Street, King's Cross",,001013,true,BikePoints_4,false,false,1278241080000
"Sedding Street, Sloane Square",,003420,true,BikePoints_5,false,false,1278241440000
"Broadcasting House, Marylebone",,003424,true,BikePoints_6,false,false,1278241680000
"Charlbert Street, St. John's Wood",,003422,true,BikePoints_7,false,false,1278241800000
"Maida Vale, Maida Vale",,003423,true,BikePoints_8,false,false,1540984560000
"New Globe Walk, Bankside",,001015,true,BikePoints_9,false,false,1278242340000
"Park Street, Bankside",,001024,true,BikePoints_10,false,false,1278242460000
"Brunswick Square, Bloomsbury",,001022,true,BikePoints_11,false,false,1278340440000
"Malet Street, Bloomsbury",,000980,true,BikePoints_12,false,false,1278340620000
"Scala Street, Fitzrovia",,000970,true,BikePoints_13,false,false,1278340800000
"Belgrove Street , King's Cross",,001011,true,BikePoints_14,false,false,1278341040000
"Great Russell Street, Bloomsbury",,000988,true,BikePoints_15,false,false,1278341220000
"Cartwright Gardens , Bloomsbury",,001010,true,BikePoints_16,false,false,1278341400000
"Hatton Wall, Holborn",,001008,true,BikePoints_17,false,false,1278423720000
"Drury Lane, Covent Garden",,001007,true,BikePoints_18,false,false,1278426300000
"Taviton Street, Bloomsbury",,001009,true,BikePoints_19,false,false,1278426720000
"Drummond Street , Euston",,000993,true,BikePoints_20,false,false,1544659200000
"Lansdowne Drive, Hackney Central",,003426,true,BikePoints_21,false,false,1278427740000
"Northington Street , Holborn",,003425,true,BikePoints_22,false,false,1278428880000
"Red Lion Square, Holborn",,003421,true,BikePoints_23,false,false,1278429300000
"British Museum, Bloomsbury",,000981,true,BikePoints_24,false,false,1278430140000
"Doric Way , Somers Town",,001004,true,BikePoints_25,false,false,1278433200000
"Ampton Street , Clerkenwell",,001019,true,BikePoints_26,false,false,1278434160000
"Bouverie Street, Temple",,001021,true,BikePoints_27,false,false,1278500160000
"Bolsover Street, Fitzrovia",,001025,true,BikePoints_28,false,false,1278500460000
"Hereford Road, Bayswater",,001016,true,BikePoints_29,false,false,1278501180000
"Windsor Terrace, Hoxton",,001029,true,BikePoints_30,false,false,1278501420000
"Fanshaw Street, Hoxton",,003427,true,BikePoints_31,false,false,1278501600000
"Leonard Circus , Shoreditch",,001020,true,BikePoints_32,false,false,1278506700000
"Central House, Aldgate",,003430,true,BikePoints_33,false,false,1278506940000
"Pancras Road, King's Cross",,003428,true,BikePoints_34,false,false,1278507060000
"De Vere Gardens, Kensington",,003446,true,BikePoints_36,false,false,1278519900000
"Penywern Road, Earl's Court",,003444,true,BikePoints_37,false,false,1278520020000
"Abingdon Villas, Kensington",,003442,true,BikePoints_38,false,false,1278584880000
"Shoreditch High Street, Shoreditch",,003445,true,BikePoints_39,false,false,1278601740000
"Commercial Street, Shoreditch",,001083,true,BikePoints_40,false,false,1278601980000
"Pindar Street, Liverpool Street",,001084,true,BikePoints_41,false,false,1278602280000
"Wenlock Road , Hoxton",,000979,true,BikePoints_42,false,false,1278602700000
"Crawford Street, Marylebone",,001036,true,BikePoints_43,false,false,1278687720000
