place_id,install_date,temporary,installed,locked,removal_date,common_name,terminal_name
BikePoints_1,1278947280000,false,true,false,,"River Street , Clerkenwell",001023
BikePoints_2,1278585780000,false,true,false,,"Phillimore Gardens, Kensington",001018
BikePoints_3,1278240360000,false,true,false,,"Christopher Street, Liverpool Street",001012
BikePoints_4,1278241080000,false,true,false,,"St. Chad's Street, King's Cross",001013
BikePoints_5,1278241440000,false,true,false,,"Sedding Street, Sloane Square",003420
BikePoints_6,1278241680000,false,true,false,,"Broadcasting House, Marylebone",003424
BikePoints_7,1278241800000,false,true,false,,"Charlbert Street, St. John's Wood",003422
BikePoints_8,1540984560000,false,true,false,,"Maida Vale, Maida Vale",003423
BikePoints_9,1278242340000,false,true,false,,"New Globe Walk, Bankside",001015
BikePoints_10,1278242460000,false,true,false,,"Park Street, Bankside",001024
BikePoints_11,1278340440000,false,true,false,,"Brunswick Square, Bloomsbury",001022
BikePoints_12,1278340620000,false,true,false,,"Malet Street, Bloomsbury",000980
BikePoints_13,1278340800000,false,true,false,,"Scala Street, Fitzrovia",000970
BikePoints_14,1278341040000,false,true,false,,"Belgrove Street , King's Cross",001011
BikePoints_15,1278341220000,false,true,false,,"Great Russell Street, Bloomsbury",000988
BikePoints_16,1278341400000,false,true,false,,"Cartwright Gardens , Bloomsbury",001010
BikePoints_17,1278423720000,false,true,false,,"Hatton Wall, Holborn",001008
BikePoints_18,1278426300000,false,true,false,,"Drury Lane, Covent Garden",001007
BikePoints_19,1278426720000,false,true,false,,"Taviton Street, Bloomsbury",001009
BikePoints_20,1544659200000,false,true,false,,"Drummond Street , Euston",000993
BikePoints_21,1278427740000,false,true,false,,"Lansdowne Drive, Hackney Central",003426
BikePoints_22,1278428880000,false,true,false,,"Northington Street , Holborn",003425
BikePoints_23,1278429300000,false,true,false,,"Red Lion Square, Holborn",003421
BikePoints_24,1278430140000,false,true,false,,"British Museum, Bloomsbury",000981
BikePoints_25,1278433200000,false,true,false,,"Doric Way , Somers Town",001004
BikePoints_26,1278434160000,false,true,false,,"Ampton Street , Clerkenwell",001019
BikePoints_27,1278500160000,false,true,false,,"Bouverie Street, Temple",001021
BikePoints_28,1278500460000,false,true,false,,"Bolsover Street, Fitzrovia",001025
BikePoints_29,1278501180000,false,true,false,,"Hereford Road, Bayswater",001016
BikePoints_30,1278501420000,false,true,false,,"Windsor Terrace, Hoxton",001029
