temporary,locked,removal_date,terminal_name,install_date,place_id,common_name,installed
false,false,,001023,1278947280000,BikePoints_1,"River Street , Clerkenwell",true
false,false,,001018,1278585780000,BikePoints_2,"Phillimore Gardens, Kensington",true
false,false,,001012,1278240360000,BikePoints_3,"Christopher Street, Liverpool Street",true
false,false,,001013,1278241080000,BikePoints_4,"St. Chad's Street, King's Cross",true
false,false,,003420,1278241440000,BikePoints_5,"Sedding Street, Sloane Square",true
false,false,,003424,1278241680000,BikePoints_6,"Broadcasting House, Marylebone",true
false,false,,003422,1278241800000,BikePoints_7,"Charlbert Street, St. John's Wood",true
false,false,,003423,1540984560000,BikePoints_8,"Maida Vale, Maida Vale",true
false,false,,001015,1278242340000,BikePoints_9,"New Globe Walk, Bankside",true
false,false,,001024,1278242460000,BikePoints_10,"Park Street, Bankside",true
false,false,,001022,1278340440000,BikePoints_11,"Brunswick Square, Bloomsbury",true
false,false,,000980,1278340620000,BikePoints_12,"Malet Street, Bloomsbury",true
false,false,,000970,1278340800000,BikePoints_13,"Scala Street, Fitzrovia",true
false,false,,001011,1278341040000,BikePoints_14,"Belgrove Street , King's Cross",true
false,false,,000988,1278341220000,BikePoints_15,"Great Russell Street, Bloomsbury",true
false,false,,001010,1278341400000,BikePoints_16,"Cartwright Gardens , Bloomsbury",true
false,false,,001008,1278423720000,BikePoints_17,"Hatton Wall, Holborn",true
false,false,,001007,1278426300000,BikePoints_18,"Drury Lane, Covent Garden",true
false,false,,001009,1278426720000,BikePoints_19,"Taviton Street, Bloomsbury",true
false,false,,000993,1544659200000,BikePoints_20,"Drummond Street , Euston",true
false,false,,003426,1278427740000,BikePoints_21,"Lansdowne Drive, Hackney Central",true
false,false,,003425,1278428880000,BikePoints_22,"Northington Street , Holborn",true
false,false,,003421,1278429300000,BikePoints_23,"Red Lion Square, Holborn",true
false,false,,000981,1278430140000,BikePoints_24,"British Museum, Bloomsbury",true
false,false,,001004,1278433200000,BikePoints_25,"Doric Way , Somers Town",true
false,false,,001019,1278434160000,BikePoints_26,"Ampton Street , Clerkenwell",true
false,false,,001021,1278500160000,BikePoints_27,"Bouverie Street, Temple",true
false,false,,001025,1278500460000,BikePoints_28,"Bolsover Street, Fitzrovia",true
false,false,,001016,1278501180000,BikePoints_29,"Hereford Road, Bayswater",true
false,false,,001029,1278501420000,BikePoints_30,"Windsor Terrace, Hoxton",true
false,false,,003427,1278501600000,BikePoints_31,"Fanshaw Street, Hoxton",true
false,false,,001020,1278506700000,BikePoints_32,"Leonard Circus , Shoreditch",true
false,false,,003430,1278506940000,BikePoints_33,"Central House, Aldgate",true
false,false,,003428,1278507060000,BikePoints_34,"Pancras Road, King's Cross",true
false,false,,003446,1278519900000,BikePoints_36,"De Vere Gardens, Kensington",true
false,false,,003444,1278520020000,BikePoints_37,"Penywern Road, Earl's Court",true
false,false,,003442,1278584880000,BikePoints_38,"Abingdon Villas, Kensington",true
false,false,,003445,1278601740000,BikePoints_39,"Shoreditch High Street, Shoreditch",true
false,false,,001083,1278601980000,BikePoints_40,"Commercial Street, Shoreditch",true
false,false,,001084,1278602280000,BikePoints_41,"Pindar Street, Liverpool Street",true
false,false,,000979,1278602700000,BikePoints_42,"Wenlock Road , Hoxton",true
false,false,,001036,1278687720000,BikePoints_43,"Crawford Street, Marylebone",true
false,false,,001034,1278687900000,BikePoints_44,"Bruton Street, Mayfair",true
false,false,,001035,1278691320000,BikePoints_45,"Boston Place, Marylebone",true
false,false,,001031,1278691800000,BikePoints_46,"Nesham Street, Wapping",true
false,false,,001027,1278749160000,BikePoints_47,"Warwick Avenue Station, Maida Vale",true
false,false,,000971,1278749460000,BikePoints_48,"Godliman Street, St. Paul's",true
false,false,,003437,1278749940000,BikePoints_49,"Curzon Street, Mayfair",true
false,false,,001054,1278750240000,BikePoints_50,"East Road, Hoxton",true
false,false,,000986,1278750540000,BikePoints_51,"Finsbury Library , Finsbury",true
false,false,,001026,1278750840000,BikePoints_52,"Roscoe Street, St. Luke's",true
false,false,,003431,1278752580000,BikePoints_53,"Grafton Street, Mayfair",true
false,false,,000967,1278766740000,BikePoints_54,"Golden Lane, Barbican",true
false,false,,000984,1278766980000,BikePoints_55,"Finsbury Circus, Liverpool Street",true
false,false,,000974,1278767460000,BikePoints_57,"Guilford Street , Bloomsbury",true
false,false,,001032,1278767700000,BikePoints_58,"New Inn Yard, Shoreditch",true
false,false,,001030,1278769140000,BikePoints_60,"Lisson Grove, St. John's Wood",true
false,false,,001017,1278773820000,BikePoints_61,"Great Dover Street, The Borough",true
false,false,,000990,1278773940000,BikePoints_62,"Cotton Garden Estate, Kennington",true
false,false,,000989,1278774120000,BikePoints_63,"Murray Grove , Hoxton",true
false,false,,001028,1278774300000,BikePoints_64,"William IV Street, Strand",true
false,false,,000982,1278845280000,BikePoints_66,"Holborn Circus, Holborn",true
false,false,,000985,1278847440000,BikePoints_67,"Hatton Garden, Holborn",true
false,false,,000975,1278857040000,BikePoints_68,"Theobald's Road , Holborn",true
false,false,,000983,1278861540000,BikePoints_69,"Euston Road, Euston",true
false,false,,001066,1278863340000,BikePoints_70,"Calshot Street , King's Cross",true
false,false,,001074,1278924900000,BikePoints_71,"Newgate Street , St. Paul's",true
false,false,,003432,1276948860000,BikePoints_72,"Farringdon Lane, Clerkenwell",true
false,false,,001064,1278941040000,BikePoints_73,"Old Street Station, St. Luke's",true
false,false,,001000,1278941160000,BikePoints_74,"Vauxhall Cross, Vauxhall",true
false,false,,001060,1278945180000,BikePoints_75,"Torrens Street, Angel",true
false,false,,000976,1278946560000,BikePoints_76,"Longford Street, The Regent's Park",true
false,false,,000978,1278946860000,BikePoints_77,"Russell Square Station, Bloomsbury",true
false,false,,003433,1278948480000,BikePoints_78,"Sadlers Sports Centre, Finsbury",true
false,false,,003455,1509018360000,BikePoints_79,"Arundel Street, Temple",true
false,false,,003448,1278952440000,BikePoints_80,"Webber Street , Southwark",true
false,false,,003450,1279012980000,BikePoints_81,"Great Titchfield Street, Fitzrovia",true
false,false,,003453,1279015680000,BikePoints_82,"Chancery Lane, Holborn",true
false,false,,003452,1279015800000,BikePoints_83,"Panton Street, West End",true
false,false,,003449,1279020240000,BikePoints_84,"Breams Buildings, Holborn",true
false,false,,001202,1280158740000,BikePoints_338,"Wellington Street , Strand",true
false,false,,001127,1280160600000,BikePoints_339,"Risinghill Street, Angel",true
false,false,,001201,1280248620000,BikePoints_340,"Bank of England Museum, Bank",true
false,false,,001160,1280222160000,BikePoints_341,"Craven Street, Strand",true
false,false,,001188,1280224260000,BikePoints_343,"London Zoo Car Park, The Regent's Park",true
false,false,,001222,1280226120000,BikePoints_344,"Goswell Road (City Uni), Finsbury",true
false,false,,001218,1280229720000,BikePoints_345,"Flood Street, Chelsea",true
false,false,,001219,1283762460000,BikePoints_347,"Lower Marsh, Waterloo",true
false,false,,010627,1284540540000,BikePoints_348,"Grosvenor Square, Mayfair",true
false,false,,001221,1284543120000,BikePoints_349,"St. George Street, Mayfair",true
false,false,,001231,1285756260000,BikePoints_350,"Queen's Gate, Kensington Gardens",true
false,false,,001226,1286790480000,BikePoints_351,"Macclesfield Rd, St Lukes",true
false,false,,001224,1286796360000,BikePoints_352,"Vauxhall Street, Vauxhall",true
false,false,,010623,1287652080000,BikePoints_353,"Greycoat Street , Westminster",true
false,false,,001097,,BikePoints_354,"Northumberland Avenue, Strand",true
false,false,,002694,1287752460000,BikePoints_355,"Clapham Common Station, Clapham Common",true
false,false,,002685,1288009080000,BikePoints_356,"South Kensington Station, South Kensington",true
false,false,,002691,1288092420000,BikePoints_357,"Howland Street, Fitzrovia",true
false,false,,001229,1290079860000,BikePoints_358,"High Holborn , Covent Garden",true
false,false,,002662,1288950960000,BikePoints_359,"Butler Place, Westminster",true
false,false,,002666,1288958160000,BikePoints_360,"Howick Place, Westminster",true
false,false,,002692,1291902600000,BikePoints_361,"Waterloo Station 2, Waterloo",true
false,false,,002686,1290080220000,BikePoints_362,"Royal College Street, Camden Town",true
false,false,,002665,1289911800000,BikePoints_363,"Lord's, St. John's Wood",true
false,false,,003507,1290080640000,BikePoints_364,"Store Street, Bloomsbury",true
false,false,,002690,1290603600000,BikePoints_365,"City Road, Angel",true
false,false,,002680,,BikePoints_367,"Harrowby Street, Marylebone",true
false,false,,002681,1291201680000,BikePoints_368,"Harriet Street, Knightsbridge",true
false,false,,002670,1291647300000,BikePoints_370,"Paddington Green, Paddington",true
false,false,,002639,1291712820000,BikePoints_371,"King Edward Walk, Waterloo",true
false,false,,002649,1291713000000,BikePoints_372,"Sardinia Street, Holborn",true
false,false,,003499,1295428320000,BikePoints_373,"Prince Consort Road, Knightsbridge",true
false,false,,002696,1291725720000,BikePoints_374,"Waterloo Station 1, Waterloo",true
false,false,,010632,1291805820000,BikePoints_375,"Kensington Town Hall, Kensington",true
false,false,,002683,1294660980000,BikePoints_376,"Millbank Tower, Pimlico",true
false,false,,002648,1295265420000,BikePoints_377,"Waterloo Bridge, South Bank",true
false,false,,002677,1296121500000,BikePoints_378,"Natural History Museum, South Kensington",true
false,false,,002682,1296121680000,BikePoints_379,"Turquoise Island, Notting Hill",true
false,false,,003506,1296125400000,BikePoints_380,"Stanhope Gate, Mayfair",true
false,false,,002669,1296203760000,BikePoints_381,"Charlotte Street, Fitzrovia",true
false,false,,002678,1297159320000,BikePoints_382,"Farm Street, Mayfair",true
false,false,,002660,1296649200000,BikePoints_383,"Frith Street, Soho",true
false,false,,003505,1296731880000,BikePoints_384,"Marloes Road, Kensington",true
false,false,,003504,1296732540000,BikePoints_386,"Moor Street, Soho",true
false,false,,002703,1297077540000,BikePoints_387,"Fire Brigade Pier, Vauxhall",true
false,false,,001228,1297182180000,BikePoints_388,"Southampton Street, Strand",true
false,false,,010621,1297347960000,BikePoints_389,"Upper Grosvenor Street, Mayfair",true
false,false,,001223,1297764360000,BikePoints_390,"Buxton Street 1, Shoreditch",true
false,false,1539846000000,002688,1297956480000,BikePoints_391,"Clifford Street, Mayfair",true
false,false,,001220,1297958700000,BikePoints_392,"Imperial College, Knightsbridge",true
false,false,,002699,1298545440000,BikePoints_393,"Snow Hill, Farringdon",true
false,false,,002698,,BikePoints_394,"Aberdeen Place, St. John's Wood",true
false,false,,002695,1298908800000,BikePoints_395,"Cadogan Gardens, Chelsea",true
false,false,,002693,1299075120000,BikePoints_396,"Shouldham Street, Marylebone",true
false,false,,001227,1299075900000,BikePoints_397,"Devonshire Terrace, Bayswater",true
false,false,,010631,1299076440000,BikePoints_398,"Holland Park, Kensington",true
false,false,,002687,1299582900000,BikePoints_399,"Brick Lane Market, Shoreditch",true
false,false,,001225,1299583260000,BikePoints_400,"George Street, Marylebone",true
false,false,,002701,1299592500000,BikePoints_401,"Columbia Road, Shoreditch",true
false,false,,010625,1299592860000,BikePoints_402,"Penfold Street, Marylebone",true
false,false,,010630,1299593640000,BikePoints_403,"George Place Mews, Marylebone",true
