terminal_name,place_id,install_date,removal_date,installed,temporary,common_name,locked
003434,BikePoints_86,1279027140000,,true,false,"Sancroft Street, Vauxhall",false
003438,BikePoints_87,1279027680000,,true,false,"Devonshire Square, Liverpool Street",false
001006,BikePoints_88,1279028280000,,true,false,"Bayley Street , Bloomsbury",false
003439,BikePoints_89,1279029360000,,true,false,"Tavistock Place, Bloomsbury",false
001038,BikePoints_90,1279030020000,,true,false,"Harrington Square 1, Camden Town",false
001076,BikePoints_91,1279036740000,,true,false,"Walnut Tree Walk, Vauxhall",false
001082,BikePoints_92,1279037040000,,true,false,"Borough Road, Elephant & Castle",false
002586,BikePoints_93,1279037760000,,true,false,"Cloudesley Road, Angel",false
001070,BikePoints_94,1279038420000,,true,false,"Bricklayers Arms, Borough",false
001047,BikePoints_96,1279096980000,,true,false,"Falkirk Street, Hoxton",false
003447,BikePoints_97,1279097580000,,true,false,"Gloucester Road (North), Kensington",false
000972,BikePoints_98,1279099080000,,true,false,"Hampstead Road, Euston",false
001085,BikePoints_99,1279099680000,,true,false,"Old Quebec Street, Marylebone",false
001059,BikePoints_100,1279099860000,,true,false,"Albert Embankment, Vauxhall",false
000999,BikePoints_101,1279102680000,,true,false,"Queen Street 1, Bank",false
001045,BikePoints_102,1279102860000,,true,false,"Jewry Street, Aldgate",false
003441,BikePoints_103,1279103520000,,true,false,"Vicarage Gate, Kensington",false
000991,BikePoints_104,1279103760000,,true,false,"Crosswall, Tower",false
001041,BikePoints_105,1279105320000,,true,false,"Westbourne Grove, Bayswater",false
001042,BikePoints_106,1279106880000,,true,false,"Woodstock Street, Mayfair",false
001049,BikePoints_107,1279107480000,,true,false,"Finsbury Leisure Centre, St. Luke's",false
003429,BikePoints_108,1279107720000,,true,false,"Abbey Orchard Street, Westminster",false
001052,BikePoints_109,1279108320000,,true,false,"Soho Square , Soho",false
001055,BikePoints_110,1279108920000,,true,false,"Wellington Road, St. John's Wood",false
001037,BikePoints_111,1279109160000,,true,false,"Park Lane , Hyde Park",false
001061,BikePoints_112,1279115460000,,true,false,"Stonecutter Street, Holborn",false
003435,BikePoints_113,1279116600000,,true,false,"Gloucester Road (Central), South Kensington",false
001050,BikePoints_114,1279119900000,,true,false,"Park Road (Baker Street), The Regent's Park",false
001062,BikePoints_115,1279120680000,,true,false,"Braham Street, Aldgate",false
000995,BikePoints_116,1279122360000,,true,false,"Little Argyll Street, West End",false
000998,BikePoints_117,1279124220000,,true,false,"Lollard Street, Vauxhall",false
