terminal_name,installed,common_name,place_id,install_date,removal_date,temporary,locked
003434,true,"Sancroft Street, Vauxhall",BikePoints_86,1279027140000,,false,false
003438,true,"Devonshire Square, Liverpool Street",BikePoints_87,1279027680000,,false,false
001006,true,"Bayley Street , Bloomsbury",BikePoints_88,1279028280000,,false,false
003439,true,"Tavistock Place, Bloomsbury",BikePoints_89,1279029360000,,false,false
001038,true,"Harrington Square 1, Camden Town",BikePoints_90,1279030020000,,false,false
001076,true,"Walnut Tree Walk, Vauxhall",BikePoints_91,1279036740000,,false,false
001082,true,"Borough Road, Elephant & Castle",BikePoints_92,1279037040000,,false,false
002586,true,"Cloudesley Road, Angel",BikePoints_93,1279037760000,,false,false
001070,true,"Bricklayers Arms, Borough",BikePoints_94,1279038420000,,false,false
001047,true,"Falkirk Street, Hoxton",BikePoints_96,1279096980000,,false,false
003447,true,"Gloucester Road (North), Kensington",BikePoints_97,1279097580000,,false,false
000972,true,"Hampstead Road, Euston",BikePoints_98,1279099080000,,false,false
001085,true,"Old Quebec Street, Marylebone",BikePoints_99,1279099680000,,false,false
001059,true,"Albert Embankment, Vauxhall",BikePoints_100,1279099860000,,false,false
000999,true,"Queen Street 1, Bank",BikePoints_101,1279102680000,,false,false
001045,true,"Jewry Street, Aldgate",BikePoints_102,1279102860000,,false,false
003441,true,"Vicarage Gate, Kensington",BikePoints_103,1279103520000,,false,false
000991,true,"Crosswall, Tower",BikePoints_104,1279103760000,,false,false
001041,true,"Westbourne Grove, Bayswater",BikePoints_105,1279105320000,,false,false
001042,true,"Woodstock Street, Mayfair",BikePoints_106,1279106880000,,false,false
001049,true,"Finsbury Leisure Centre, St. Luke's",BikePoints_107,1279107480000,,false,false
003429,true,"Abbey Orchard Street, Westminster",BikePoints_108,1279107720000,,false,false
001052,true,"Soho Square , Soho",BikePoints_109,1279108320000,,false,false
001055,true,"Wellington Road, St. John's Wood",BikePoints_110,1279108920000,,false,false
001037,true,"Park Lane , Hyde Park",BikePoints_111,1279109160000,,false,false
001061,true,"Stonecutter Street, Holborn",BikePoints_112,1279115460000,,false,false
003435,true,"Gloucester Road (Central), South Kensington",BikePoints_113,1279116600000,,false,false
001050,true,"Park Road (Baker Street), The Regent's Park",BikePoints_114,1279119900000,,false,false
001062,true,"Braham Street, Aldgate",BikePoints_115,1279120680000,,false,false
000995,true,"Little Argyll Street, West End",BikePoints_116,1279122360000,,false,false
000998,true,"Lollard Street, Vauxhall",BikePoints_117,1279124220000,,false,false
