terminal_name,install_date,temporary,place_id,common_name,locked,installed,removal_date
003449,1279020240000,false,BikePoints_84,"Breams Buildings, Holborn",false,true,
000994,1279026060000,false,BikePoints_85,"Tanner Street, Bermondsey",false,true,
003434,1279027140000,false,BikePoints_86,"Sancroft Street, Vauxhall",false,true,
003438,1279027680000,false,BikePoints_87,"Devonshire Square, Liverpool Street",false,true,
001006,1279028280000,false,BikePoints_88,"Bayley Street , Bloomsbury",false,true,
003439,1279029360000,false,BikePoints_89,"Tavistock Place, Bloomsbury",false,true,
001038,1279030020000,false,BikePoints_90,"Harrington Square 1, Camden Town",false,true,
001076,1279036740000,false,BikePoints_91,"Walnut Tree Walk, Vauxhall",false,true,
001082,1279037040000,false,BikePoints_92,"Borough Road, Elephant & Castle",false,true,
002586,1279037760000,false,BikePoints_93,"Cloudesley Road, Angel",false,true,
001070,1279038420000,false,BikePoints_94,"Bricklayers Arms, Borough",false,true,
001065,1279096560000,false,BikePoints_95,"Aldersgate Street, Barbican",false,true,
001047,1279096980000,false,BikePoints_96,"Falkirk Street, Hoxton",false,true,
003447,1279097580000,false,BikePoints_97,"Gloucester Road (North), Kensington",false,true,
000972,1279099080000,false,BikePoints_98,"Hampstead Road, Euston",false,true,
001085,1279099680000,false,BikePoints_99,"Old Quebec Street, Marylebone",false,true,
001059,1279099860000,false,BikePoints_100,"Albert Embankment, Vauxhall",false,true,
000999,1279102680000,false,BikePoints_101,"Queen Street 1, Bank",false,true,
001045,1279102860000,false,BikePoints_102,"Jewry Street, Aldgate",false,true,
003441,1279103520000,false,BikePoints_103,"Vicarage Gate, Kensington",false,true,
000991,1279103760000,false,BikePoints_104,"Crosswall, Tower",false,true,
001041,1279105320000,false,BikePoints_105,"Westbourne Grove, Bayswater",false,true,
001042,1279106880000,false,BikePoints_106,"Woodstock Street, Mayfair",false,true,
001049,1279107480000,false,BikePoints_107,"Finsbury Leisure Centre, St. Luke's",false,true,
003429,1279107720000,false,BikePoints_108,"Abbey Orchard Street, Westminster",false,true,
001052,1279108320000,false,BikePoints_109,"Soho Square , Soho",false,true,
001055,1279108920000,false,BikePoints_110,"Wellington Road, St. John's Wood",false,true,
001037,1279109160000,false,BikePoints_111,"Park Lane , Hyde Park",false,true,
001061,1279115460000,false,BikePoints_112,"Stonecutter Street, Holborn",false,true,
003435,1279116600000,false,BikePoints_113,"Gloucester Road (Central), South Kensington",false,true,
001050,1279119900000,false,BikePoints_114,"Park Road (Baker Street), The Regent's Park",false,true,
001062,1279120680000,false,BikePoints_115,"Braham Street, Aldgate",false,true,
000995,1279122360000,false,BikePoints_116,"Little Argyll Street, West End",false,true,
000998,1279124220000,false,BikePoints_117,"Lollard Street, Vauxhall",false,true,
003457,1279124520000,false,BikePoints_118,"Rochester Row, Westminster",false,true,
000964,1279124760000,false,BikePoints_119,"Bath Street, St. Luke's",false,true,
001044,1279187040000,false,BikePoints_120,"The Guildhall, Guildhall",false,true,
001086,1279189200000,false,BikePoints_121,"Baker Street, Marylebone",false,true,
001068,1279190040000,false,BikePoints_122,"Norton Folgate, Liverpool Street",false,true,
000992,1279191300000,false,BikePoints_123,"St. John Street, Finsbury",false,true,
001069,1279191540000,false,BikePoints_124,"Eaton Square, Belgravia",false,true,
000996,1279192200000,false,BikePoints_125,"Borough High Street, The Borough",false,true,
001043,1279193340000,false,BikePoints_126,"Museum of London, Barbican",false,true,
001063,1279193520000,false,BikePoints_127,"Wood Street, Guildhall",false,true,
001116,1279194060000,false,BikePoints_128,"Emperor's Gate, South Kensington",false,true,
003451,1279198500000,false,BikePoints_129,"Golden Square, Soho",false,true,
001071,1279198800000,false,BikePoints_130,"Tower Gardens , Tower",false,true,
001005,1279199280000,false,BikePoints_131,"Eversholt Street , Camden Town",false,true,
000973,1279199520000,false,BikePoints_132,"Bethnal Green Road, Shoreditch",false,true,
003436,1279200240000,false,BikePoints_133,"Derry Street, Kensington",false,true,
