temporary,installed,place_id,terminal_name,common_name,install_date,removal_date,locked
false,true,BikePoints_84,003449,"Breams Buildings, Holborn",1279020240000,,false
false,true,BikePoints_85,000994,"Tanner Street, Bermondsey",1279026060000,,false
false,true,BikePoints_86,003434,"Sancroft Street, Vauxhall",1279027140000,,false
false,true,BikePoints_87,003438,"Devonshire Square, Liverpool Street",1279027680000,,false
false,true,BikePoints_88,001006,"Bayley Street , Bloomsbury",1279028280000,,false
false,true,BikePoints_89,003439,"Tavistock Place, Bloomsbury",1279029360000,,false
false,true,BikePoints_90,001038,"Harrington Square 1, Camden Town",1279030020000,,false
false,true,BikePoints_91,001076,"Walnut Tree Walk, Vauxhall",1279036740000,,false
false,true,BikePoints_92,001082,"Borough Road, Elephant & Castle",1279037040000,,false
false,true,BikePoints_93,002586,"Cloudesley Road, Angel",1279037760000,,false
false,true,BikePoints_94,001070,"Bricklayers Arms, Borough",1279038420000,,false
false,true,BikePoints_95,001065,"Aldersgate Street, Barbican",1279096560000,,false
false,true,BikePoints_96,001047,"Falkirk Street, Hoxton",1279096980000,,false
false,true,BikePoints_97,003447,"Gloucester Road (North), Kensington",1279097580000,,false
false,true,BikePoints_98,000972,"Hampstead Road, Euston",1279099080000,,false
false,true,BikePoints_99,001085,"Old Quebec Street, Marylebone",1279099680000,,false
false,true,BikePoints_100,001059,"Albert Embankment, Vauxhall",1279099860000,,false
false,true,BikePoints_101,000999,"Queen Street 1, Bank",1279102680000,,false
false,true,BikePoints_102,001045,"Jewry Street, Aldgate",1279102860000,,false
false,true,BikePoints_103,003441,"Vicarage Gate, Kensington",1279103520000,,false
false,true,BikePoints_104,000991,"Crosswall, Tower",1279103760000,,false
false,true,BikePoints_105,001041,"Westbourne Grove, Bayswater",1279105320000,,false
false,true,BikePoints_106,001042,"Woodstock Street, Mayfair",1279106880000,,false
false,true,BikePoints_107,001049,"Finsbury Leisure Centre, St. Luke's",1279107480000,,false
false,true,BikePoints_108,003429,"Abbey Orchard Street, Westminster",1279107720000,,false
false,true,BikePoints_109,001052,"Soho Square , Soho",1279108320000,,false
false,true,BikePoints_110,001055,"Wellington Road, St. John's Wood",1279108920000,,false
false,true,BikePoints_111,001037,"Park Lane , Hyde Park",1279109160000,,false
false,true,BikePoints_112,001061,"Stonecutter Street, Holborn",1279115460000,,false
false,true,BikePoints_113,003435,"Gloucester Road (Central), South Kensington",1279116600000,,false
