removal_date,temporary,install_date,locked,place_id,common_name,installed,terminal_name
,false,1279020240000,false,BikePoints_84,"Breams Buildings, Holborn",true,003449
,false,1279026060000,false,BikePoints_85,"Tanner Street, Bermondsey",true,000994
,false,1279027140000,false,BikePoints_86,"Sancroft Street, Vauxhall",true,003434
,false,1279027680000,false,BikePoints_87,"Devonshire Square, Liverpool Street",true,003438
,false,1279028280000,false,BikePoints_88,"Bayley Street , Bloomsbury",true,001006
,false,1279029360000,false,BikePoints_89,"Tavistock Place, Bloomsbury",true,003439
,false,1279030020000,false,BikePoints_90,"Harrington Square 1, Camden Town",true,001038
,false,1279036740000,false,BikePoints_91,"Walnut Tree Walk, Vauxhall",true,001076
,false,1279037040000,false,BikePoints_92,"Borough Road, Elephant & Castle",true,001082
,false,1279037760000,false,BikePoints_93,"Cloudesley Road, Angel",true,002586
,false,1279038420000,false,BikePoints_94,"Bricklayers Arms, Borough",true,001070
,false,1279096560000,false,BikePoints_95,"Aldersgate Street, Barbican",true,001065
,false,1279096980000,false,BikePoints_96,"Falkirk Street, Hoxton",true,001047
,false,1279097580000,false,BikePoints_97,"Gloucester Road (North), Kensington",true,003447
,false,1279099080000,false,BikePoints_98,"Hampstead Road, Euston",true,000972
,false,1279099680000,false,BikePoints_99,"Old Quebec Street, Marylebone",true,001085
,false,1279099860000,false,BikePoints_100,"Albert Embankment, Vauxhall",true,001059
,false,1279102680000,false,BikePoints_101,"Queen Street 1, Bank",true,000999
,false,1279102860000,false,BikePoints_102,"Jewry Street, Aldgate",true,001045
,false,1279103520000,false,BikePoints_103,"Vicarage Gate, Kensington",true,003441
,false,1279103760000,false,BikePoints_104,"Crosswall, Tower",true,000991
,false,1279105320000,false,BikePoints_105,"Westbourne Grove, Bayswater",true,001041
,false,1279106880000,false,BikePoints_106,"Woodstock Street, Mayfair",true,001042
,false,1279107480000,false,BikePoints_107,"Finsbury Leisure Centre, St. Luke's",true,001049
,false,1279107720000,false,BikePoints_108,"Abbey Orchard Street, Westminster",true,003429
,false,1279108320000,false,BikePoints_109,"Soho Square , Soho",true,001052
,false,1279108920000,false,BikePoints_110,"Wellington Road, St. John's Wood",true,001055
,false,1279109160000,false,BikePoints_111,"Park Lane , Hyde Park",true,001037
,false,1279115460000,false,BikePoints_112,"Stonecutter Street, Holborn",true,001061
,false,1279116600000,false,BikePoints_113,"Gloucester Road (Central), South Kensington",true,003435
