locked,place_id,installed,common_name,install_date,terminal_name,removal_date,temporary
false,BikePoints_84,true,"Breams Buildings, Holborn",1279020240000,003449,,false
false,BikePoints_85,true,"Tanner Street, Bermondsey",1279026060000,000994,,false
false,BikePoints_86,true,"Sancroft Street, Vauxhall",1279027140000,003434,,false
false,BikePoints_87,true,"Devonshire Square, Liverpool Street",1279027680000,003438,,false
false,BikePoints_88,true,"Bayley Street , Bloomsbury",1279028280000,001006,,false
false,BikePoints_89,true,"Tavistock Place, Bloomsbury",1279029360000,003439,,false
false,BikePoints_90,true,"Harrington Square 1, Camden Town",1279030020000,001038,,false
false,BikePoints_91,true,"Walnut Tree Walk, Vauxhall",1279036740000,001076,,false
false,BikePoints_92,true,"Borough Road, Elephant & Castle",1279037040000,001082,,false
false,BikePoints_93,true,"Cloudesley Road, Angel",1279037760000,002586,,false
false,BikePoints_94,true,"Bricklayers Arms, Borough",1279038420000,001070,,false
false,BikePoints_95,true,"Aldersgate Street, Barbican",1279096560000,001065,,false
false,BikePoints_96,true,"Falkirk Street, Hoxton",1279096980000,001047,,false
false,BikePoints_97,true,"Gloucester Road (North), Kensington",1279097580000,003447,,false
false,BikePoints_98,true,"Hampstead Road, Euston",1279099080000,000972,,false
false,BikePoints_99,true,"Old Quebec Street, Marylebone",1279099680000,001085,,false
false,BikePoints_100,true,"Albert Embankment, Vauxhall",1279099860000,001059,,false
false,BikePoints_101,true,"Queen Street 1, Bank",1279102680000,000999,,false
false,BikePoints_102,true,"Jewry Street, Aldgate",1279102860000,001045,,false
false,BikePoints_103,true,"Vicarage Gate, Kensington",1279103520000,003441,,false
false,BikePoints_104,true,"Crosswall, Tower",1279103760000,000991,,false
false,BikePoints_105,true,"Westbourne Grove, Bayswater",1279105320000,001041,,false
false,BikePoints_106,true,"Woodstock Street, Mayfair",1279106880000,001042,,false
false,BikePoints_107,true,"Finsbury Leisure Centre, St. Luke's",1279107480000,001049,,false
false,BikePoints_108,true,"Abbey Orchard Street, Westminster",1279107720000,003429,,false
false,BikePoints_109,true,"Soho Square , Soho",1279108320000,001052,,false
false,BikePoints_110,true,"Wellington Road, St. John's Wood",1279108920000,001055,,false
false,BikePoints_111,true,"Park Lane , Hyde Park",1279109160000,001037,,false
false,BikePoints_112,true,"Stonecutter Street, Holborn",1279115460000,001061,,false
false,BikePoints_113,true,"Gloucester Road (Central), South Kensington",1279116600000,003435,,false
false,BikePoints_114,true,"Park Road (Baker Street), The Regent's Park",1279119900000,001050,,false
false,BikePoints_115,true,"Braham Street, Aldgate",1279120680000,001062,,false
false,BikePoints_116,true,"Little Argyll Street, West End",1279122360000,000995,,false
false,BikePoints_117,true,"Lollard Street, Vauxhall",1279124220000,000998,,false
false,BikePoints_118,true,"Rochester Row, Westminster",1279124520000,003457,,false
false,BikePoints_119,true,"Bath Street, St. Luke's",1279124760000,000964,,false
false,BikePoints_120,true,"The Guildhall, Guildhall",1279187040000,001044,,false
false,BikePoints_121,true,"Baker Street, Marylebone",1279189200000,001086,,false
false,BikePoints_122,true,"Norton Folgate, Liverpool Street",1279190040000,001068,,false
false,BikePoints_123,true,"St. John Street, Finsbury",1279191300000,000992,,false
false,BikePoints_124,true,"Eaton Square, Belgravia",1279191540000,001069,,false
false,BikePoints_125,true,"Borough High Street, The Borough",1279192200000,000996,,false
false,BikePoints_126,true,"Museum of London, Barbican",1279193340000,001043,,false
false,BikePoints_127,true,"Wood Street, Guildhall",1279193520000,001063,,false
false,BikePoints_128,true,"Emperor's Gate, South Kensington",1279194060000,001116,,false
false,BikePoints_129,true,"Golden Square, Soho",1279198500000,003451,,false
false,BikePoints_130,true,"Tower Gardens , Tower",1279198800000,001071,,false
false,BikePoints_131,true,"Eversholt Street , Camden Town",1279199280000,001005,,false
false,BikePoints_132,true,"Bethnal Green Road, Shoreditch",1279199520000,000973,,false
false,BikePoints_133,true,"Derry Street, Kensington",1279200240000,003436,,false
false,BikePoints_134,true,"Wapping High Street, Wapping",1279200900000,001039,,false
false,BikePoints_135,true,"Clerkenwell Green, Clerkenwell",1279201080000,001053,,false
false,BikePoints_136,true,"Queen Victoria Street, St. Paul's",1279201200000,001048,,false
false,BikePoints_138,true,"Green Street, Mayfair",1279205220000,003464,,false
false,BikePoints_139,true,"Lambeth Road, Vauxhall",1279205460000,001078,,false
false,BikePoints_140,true,"Finsbury Square , Moorgate",1279205580000,001056,,false
false,BikePoints_141,true,"Chapel Place, Marylebone",1279210980000,001003,,false
false,BikePoints_142,true,"West Cromwell Road, Earl's Court",1279211220000,001001,,false
false,BikePoints_143,true,"Pont Street, Knightsbridge",1279211400000,001114,,false
false,BikePoints_144,true,"Kennington Cross, Kennington",1279211580000,001093,,false
false,BikePoints_145,true,"Ilchester Place, Kensington",1279212180000,001115,,false
false,BikePoints_146,true,"Vauxhall Bridge , Pimlico",1279212360000,001046,,false
false,BikePoints_147,true,"Portugal Street, Holborn",1279214760000,003456,,false
false,BikePoints_148,true,"Tachbrook Street, Victoria",,000965,,false
false,BikePoints_149,true,"Kennington Road Post Office, Oval",1279215360000,001073,,false
false,BikePoints_150,true,"Holy Trinity Brompton, Knightsbridge",1279215540000,001002,,false
false,BikePoints_151,true,"Chepstow Villas, Notting Hill",1279215720000,001120,,false
false,BikePoints_152,true,"Hampton Street, Walworth",1279215900000,001118,,false
false,BikePoints_153,true,"Bayswater Road, Hyde Park",1279216080000,001096,,false
false,BikePoints_154,true,"Waterloo Station 3, Waterloo",,001072,,false
false,BikePoints_155,true,"Lexham Gardens, Kensington",1279272660000,001121,,false
false,BikePoints_156,true,"New Kent Road, The Borough",1279273080000,000966,,false
false,BikePoints_157,true,"Wright's Lane, Kensington",1279273200000,001094,,false
false,BikePoints_158,true,"Trebovir Road, Earl's Court",1279273320000,001113,,false
false,BikePoints_160,true,"Waterloo Place, St. James's",1279274280000,003458,,false
false,BikePoints_161,true,"Guildhouse Street, Victoria",1279286940000,003478,,false
false,BikePoints_162,true,"Southampton Place, Holborn",1279287120000,001123,,false
false,BikePoints_163,true,"Sloane Avenue, Knightsbridge",1279287300000,003461,,false
false,BikePoints_164,true,"Cleveland Gardens, Bayswater",1279287600000,001178,,false
false,BikePoints_165,true,"Orsett Terrace, Bayswater",1279287960000,002585,,false
false,BikePoints_430,true,"South Parade, Chelsea",1324549980000,022182,,false
false,BikePoints_431,true,"Crinan Street, King's Cross",1323355020000,022183,,false
false,BikePoints_432,true,"Exhibition Road Museums 1, South Kensington",1319448720000,022158,,false
false,BikePoints_433,true,"Wren Street, Holborn",1323361560000,022169,,false
false,BikePoints_435,true,"Kennington Station, Kennington",1323346020000,022170,,false
false,BikePoints_436,true,"Red Lion Street, Holborn",1323350220000,022171,,false
false,BikePoints_437,true,"Vauxhall Walk, Vauxhall",1325746380000,200056,,false
false,BikePoints_439,true,"Killick Street, King's Cross",1325705460000,200053,,false
false,BikePoints_440,true,"Kennington Oval, Oval",1325708160000,200032,,false
false,BikePoints_441,true,"Sail Street, Vauxhall",1325711220000,200039,,false
false,BikePoints_442,true,"Walmer Road, Avondale",1325940420000,200035,,false
false,BikePoints_443,true,"Philpot Street, Whitechapel",1325941800000,200033,,false
false,BikePoints_444,true,"Bethnal Green Garden, Bethnal Green",1325944680000,200047,,false
false,BikePoints_445,true,"Cheshire Street, Bethnal Green",1325945820000,200003,,false
false,BikePoints_446,true,"York Hall, Bethnal Green",1325948880000,200042,,false
false,BikePoints_447,true,"Jubilee Crescent, Cubitt Town",1325949000000,200054,,false
false,BikePoints_448,true,"Fisherman's Walk West, Canary Wharf",1325952660000,022165,,false
false,BikePoints_449,true,"Shadwell Station, Shadwell",1325952900000,200020,,false
false,BikePoints_450,true,"Jubilee Street, Stepney",1326105240000,200002,,false
false,BikePoints_451,true,"Hermitage Court, Wapping",1325501400000,200021,,false
false,BikePoints_452,true,"St. Katharine's Way, Tower",1326109140000,200049,,false
false,BikePoints_453,true,"Garnet Street, Shadwell",1326111060000,200045,,false
false,BikePoints_454,true,"Napier Avenue, Millwall",1326115380000,200046,,false
false,BikePoints_455,true,"East Ferry Road, Cubitt Town",1326117780000,200031,,false
false,BikePoints_456,true,"Parkway, Camden Town",1326197580000,200118,,false
false,BikePoints_457,true,"Castlehaven Road, Camden Town",1326203280000,200016,,false
false,BikePoints_458,true,"Wapping Lane, Wapping",1326294780000,200034,,false
false,BikePoints_459,true,"Gunmakers Lane, Old Ford",,200014,,false
false,BikePoints_460,true,"Burdett Road, Mile End",1326284820000,200123,,false
false,BikePoints_461,true,"Aston Street, Stepney",1326293640000,200013,,true
false,BikePoints_462,true,"Bonny Street, Camden Town",1326294600000,200105,,false
false,BikePoints_463,true,"Thurtle Road, Haggerston",,200093,,false
false,BikePoints_464,true,"St. Mary & St. Michael Church, Stepney",1326304980000,200082,,false
false,BikePoints_465,true,"Pitfield Street North,Hoxton",1333613280000,200152,,false
false,BikePoints_466,true,"Whiston Road, Haggerston",1326360000000,200158,,false
false,BikePoints_467,true,"Southern Grove, Bow",1326374040000,200168,,false
false,BikePoints_468,true,"Cantrell Road, Bow",1326375720000,200150,,false
false,BikePoints_469,true,"Lindfield Street, Poplar",1326381060000,022178,,false
false,BikePoints_470,true,"Mostyn Grove, Bow",1326790620000,200174,,false
false,BikePoints_471,true,"Hewison Street, Old Ford",1326790860000,200006,,false
false,BikePoints_472,true,"Malmesbury Road, Bow",1326791160000,200019,,false
false,BikePoints_473,true,"Millharbour, Millwall",1326816540000,022167,,false
false,BikePoints_474,true,"Gascoyne Road, Victoria Park",1326822960000,200155,,false
false,BikePoints_475,true,"Lightermans Road, Millwall",1326825480000,200004,,false
false,BikePoints_476,true,"Stebondale Street, Cubitt Town",1326962100000,200009,,false
false,BikePoints_477,true,"Spindrift Avenue, Millwall",1326963780000,200018,,false
false,BikePoints_478,true,"Stepney Green Station, Stepney",1326965580000,200012,,false
false,BikePoints_479,true,"Pott Street, Bethnal Green",1326966240000,200156,,false
false,BikePoints_480,true,"Flamborough Street, Limehouse",1326975420000,200115,,false
false,BikePoints_481,true,"Saunders Ness Road, Cubitt Town",1326996480000,200022,,false
