locked,install_date,terminal_name,removal_date,place_id,temporary,common_name,installed
false,1279020240000,003449,,BikePoints_84,false,"Breams Buildings, Holborn",true
false,1279026060000,000994,,BikePoints_85,false,"Tanner Street, Bermondsey",true
false,1279027140000,003434,,BikePoints_86,false,"Sancroft Street, Vauxhall",true
false,1279027680000,003438,,BikePoints_87,false,"Devonshire Square, Liverpool Street",true
false,1279028280000,001006,,BikePoints_88,false,"Bayley Street , Bloomsbury",true
false,1279029360000,003439,,BikePoints_89,false,"Tavistock Place, Bloomsbury",true
false,1279030020000,001038,,BikePoints_90,false,"Harrington Square 1, Camden Town",true
false,1279036740000,001076,,BikePoints_91,false,"Walnut Tree Walk, Vauxhall",true
false,1279037040000,001082,,BikePoints_92,false,"Borough Road, Elephant & Castle",true
false,1279037760000,002586,,BikePoints_93,false,"Cloudesley Road, Angel",true
false,1279038420000,001070,,BikePoints_94,false,"Bricklayers Arms, Borough",true
false,1279096560000,001065,,BikePoints_95,false,"Aldersgate Street, Barbican",true
false,1279096980000,001047,,BikePoints_96,false,"Falkirk Street, Hoxton",true
false,1279097580000,003447,,BikePoints_97,false,"Gloucester Road (North), Kensington",true
false,1279099080000,000972,,BikePoints_98,false,"Hampstead Road, Euston",true
false,1279099680000,001085,,BikePoints_99,false,"Old Quebec Street, Marylebone",true
false,1279099860000,001059,,BikePoints_100,false,"Albert Embankment, Vauxhall",true
false,1279102680000,000999,,BikePoints_101,false,"Queen Street 1, Bank",true
false,1279102860000,001045,,BikePoints_102,false,"Jewry Street, Aldgate",true
false,1279103520000,003441,,BikePoints_103,false,"Vicarage Gate, Kensington",true
false,1279103760000,000991,,BikePoints_104,false,"Crosswall, Tower",true
false,1279105320000,001041,,BikePoints_105,false,"Westbourne Grove, Bayswater",true
false,1279106880000,001042,,BikePoints_106,false,"Woodstock Street, Mayfair",true
false,1279107480000,001049,,BikePoints_107,false,"Finsbury Leisure Centre, St. Luke's",true
false,1279107720000,003429,,BikePoints_108,false,"Abbey Orchard Street, Westminster",true
false,1279108320000,001052,,BikePoints_109,false,"Soho Square , Soho",true
false,1279108920000,001055,,BikePoints_110,false,"Wellington Road, St. John's Wood",true
false,1279109160000,001037,,BikePoints_111,false,"Park Lane , Hyde Park",true
false,1279115460000,001061,,BikePoints_112,false,"Stonecutter Street, Holborn",true
false,1279116600000,003435,,BikePoints_113,false,"Gloucester Road (Central), South Kensington",true
false,1279119900000,001050,,BikePoints_114,false,"Park Road (Baker Street), The Regent's Park",true
