place_id,common_name,lat,lon,terminal_name,installed,temporary,install_date,removal_date,valid_from,valid_to
BikePoints_1,"River Street , Clerkenwell",51.529163,-0.10997,001023,true,false,2010-07-12,,2022-04-29,
BikePoints_2,"Phillimore Gardens, Kensington",51.499606,-0.197574,001018,true,false,2010-07-08,,2022-04-29,
BikePoints_3,"Christopher Street, Liverpool Street",51.521283,-0.084605,001012,true,false,2010-07-04,,2022-04-29,
BikePoints_4,"St. Chad's Street, King's Cross",51.530059,-0.120973,001013,true,false,2010-07-04,,2022-04-29,
BikePoints_5,"Sedding Street, Sloane Square",51.49313,-0.156876,003420,true,false,2010-07-04,,2022-04-29,
BikePoints_6,"Broadcasting House, Marylebone",51.518117,-0.144228,003424,true,false,2010-07-04,,2022-04-29,
BikePoints_7,"Charlbert Street, St. John's Wood",51.5343,-0.168074,003422,true,false,2010-07-04,,2022-04-29,
BikePoints_8,"Maida Vale, Maida Vale",51.529857,-0.183486,003423,true,false,2018-10-31,,2022-04-29,
BikePoints_9,"New Globe Walk, Bankside",51.507385,-0.09644,001015,true,false,2010-07-04,,2022-04-29,
BikePoints_10,"Park Street, Bankside",51.505974,-0.092754,001024,true,false,2010-07-04,,2022-04-29,
BikePoints_11,"Brunswick Square, Bloomsbury",51.523951,-0.122502,001022,true,false,2010-07-05,,2022-04-29,
BikePoints_12,"Malet Street, Bloomsbury",51.52168,-0.130431,000980,true,false,2010-07-05,,2022-04-29,
BikePoints_13,"Scala Street, Fitzrovia",51.519914,-0.136039,000970,true,false,2010-07-05,,2022-04-29,
BikePoints_14,"Belgrove Street , King's Cross",51.529943,-0.123616,001011,true,false,2010-07-05,,2022-04-29,2023-07-18
BikePoints_14,"Arglye Street, Kings Cross",51.529416,-0.123944,001011,true,false,2010-07-05,,2023-07-18,2023-07-19
BikePoints_14,"Argyle Street, Kings Cross",51.529416,-0.123944,001011,true,false,2010-07-05,,2023-07-19,
BikePoints_15,"Great Russell Street, Bloomsbury",51.517727,-0.127854,000988,true,false,2010-07-05,,2022-04-29,
BikePoints_16,"Cartwright Gardens , Bloomsbury",51.526357,-0.125979,001010,true,false,2010-07-05,,2022-04-29,
BikePoints_17,"Hatton Wall, Holborn",51.521661,-0.109006,001008,true,false,2010-07-06,,2022-04-29,
BikePoints_18,"Drury Lane, Covent Garden",51.51477,-0.122219,001007,true,false,2010-07-06,,2022-04-29,
BikePoints_19,"Taviton Street, Bloomsbury",51.52505,-0.131161,001009,true,false,2010-07-06,,2022-04-29,
BikePoints_20,"Drummond Street , Euston",51.527326,-0.136052,000993,true,false,2018-12-13,,2022-04-29,
BikePoints_21,"Lansdowne Drive, Hackney Central",51.539834,-0.062806,003426,true,false,2010-07-06,,2022-04-29,
BikePoints_22,"Northington Street , Holborn",51.522264,-0.114079,003425,true,false,2010-07-06,,2022-04-29,
BikePoints_23,"Red Lion Square, Holborn",51.519435,-0.119123,003421,true,false,2010-07-06,,2022-04-29,
BikePoints_24,"British Museum, Bloomsbury",51.51908,-0.124678,000981,true,false,2010-07-06,,2022-04-29,
BikePoints_25,"Doric Way , Somers Town",51.528833,-0.13225,001004,true,false,2010-07-06,,2022-04-29,
BikePoints_26,"Ampton Street , Clerkenwell",51.52728,-0.118295,001019,true,false,2010-07-06,,2022-04-29,
BikePoints_27,"Bouverie Street, Temple",51.513821,-0.107927,001021,true,false,2010-07-07,,2022-04-29,
BikePoints_28,"Bolsover Street, Fitzrovia",51.523518,-0.143613,001025,true,false,2010-07-07,,2022-04-29,
BikePoints_29,"Hereford Road, Bayswater",51.513735,-0.193487,001016,true,false,2010-07-07,,2022-04-29,
BikePoints_30,"Windsor Terrace, Hoxton",51.529154,-0.093421,001029,true,false,2010-07-07,,2022-04-29,
BikePoints_31,"Fanshaw Street, Hoxton",51.529537,-0.083353,003427,true,false,2010-07-07,,2022-04-29,
BikePoints_32,"Leonard Circus , Shoreditch",51.524696,-0.084439,001020,true,false,2010-07-07,,2022-04-29,
BikePoints_33,"Central House, Aldgate",51.515231,-0.07015,003430,true,false,2010-07-07,,2022-04-29,
BikePoints_34,"Pancras Road, King's Cross",51.534123,-0.129386,003428,true,false,2010-07-07,,2022-04-29,
